CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007	 2006
Giá vốn hàng bán###Cost of goods sold	24373	105079	26356	25990	28250	24483	110809	27868	28265	28285	26390	99329	27563	24743	24053	23165	95849	26380	23076	18056	20030	108717	27922	25567	29081	26148	85435	25357	30904	11433	17600	77819	17447	16502	22741	19545	90316	18119	24004	29718	19158	90501	22603	23810	24066	18450	79454	18206	19657	19491	22098	88813	23180	25640	86913	63714	2445
Lợi nhuận gộp###Gross profit	2608	19125	6111	4921	4078	4015	13422	4643	2939	2965	2876	13899	3785	3263	4243	2384	20113	5174	3559	5506	5827	27098	6694	6613	7549	6242	26248	6189	6785	7483	5932	29671	5918	7071	9247	7462	30061	7389	9162	8617	5106	27333	4848	7369	8347	6993	23804	7433	6706	5002	4665	21947	5586	6484	17467	18367	32875
Doanh thu hoạt động tài chính###Financial activities Revenues	1366	6606	1939	1052	2246	1364	18777	2546	1688	9981	4527	4282	3223	272	523	275	11404	5457	4161	1240	282	3941	1659	1373	863	83	3681	1472	777	810	656	2310	612	476	476	962	4841	1204	987	903	1747	7286	2363	2114	1281	1482	6166	1534	1460	2530	637	1813	635	280	2322	904	1276
Chi phí tài chính###Financial Expenses	53	2865	2300	124	386	56	12568	2627	141	7248	2551	1520	1461	11	10	37	154	86	129	39	13	165	22	104	50	26	201	0	169	-70	94	104	2	72	3	27	38	2	4	14	18	302	93	55	139	14	523	44	20	451	9	1079	944	-272	1861	1958	1
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20369
Chi phí quản lý doanh nghiệp###Managing Expenses	1916	8841	2379	1985	2284	2194	9568	2063	2674	2408	2394	9870	2963	2251	1837	2547	9928	2497	2449	2460	2467	8876	2420	2006	2233	2214	9947	2595	2435	2357	2129	10314	2661	2404	2824	2391	11573	3004	3097	2799	2653	10735	2845	2673	2418	2500	9424	2604	2624	2236	1960	7636	1985	2213	6566	6763	6365
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2005	14025	3372	3864	3655	3129	12616	2499	1811	5854	2459	21650	5695	5662	7477	2904	33676	11059	8679	7324	6299	36843	9995	10908	8475	7757	19781	8850	8935	9301	9135	21564	3867	5072	6896	6006	43323	5587	7048	6707	4181	43681	4273	6756	7071	5961	41845	6319	5522	4844	3333	15045	3292	4823	11361	10551	7416
Thu nhập khác###Other incomes	218	446	250	57	10	53	1485	810	509	156	75	2222	283	2887	0	4	2020	18	4277	152	420	1425	16	1361	48	0	21391	391	29	7845	13126	1565	382	91	474	618	4895	4160	5	485	246	1517	79	0	1220	218	250	125	0	125	0	25	0	0	2547	679	0
Chi phí khác###Other Expenses	10	578	353	18	123	8	101	34	85	-77	124	215	265	747	12	144	197	80	2897	-79	141	16	6	0	10	0	9192	1	1	77	9113	612	81	0	139	392	3938	3449	7	342	141	445	188	3	205	48	2162	2115	2	44	2	238	90	2	13	595	0
Lợi nhuận khác###Other profits	208	-132	-103	39	-113	45	1384	776	424	233	-49	2007	18	2141	-12	-140	1823	-62	1380	231	279	1410	10	1361	38	0	12198	390	28	7767	4013	953	301	90	335	226	956	711	-2	142	105	1072	-109	-3	1015	170	-1912	-1990	-2	81	-2	-213	-90	-2	2534	84	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2212	13893	3269	3903	3542	3175	14000	3275	2235	6087	2410	23657	5713	7802	7465	2764	35499	10998	10059	7555	6578	38252	10005	12269	8514	7757	47784	9240	8963	17068	13148	44973	10961	11199	12540	10373	44279	12007	12677	11905	7839	44753	44665	37028	13078	12167	39933	10742	11401	10487	7354	29678	6947	9881	35617	23796	7416
Chi phí thuế TNDN###Corporate Income Tax Expenses	368	1997	488	559	423	522	2574	557	316	1210	473	1630	408	621	411	160	4437	1640	1373	678	823	4974	1131	1618	1232	984	7034	988	1132	3120	1779	5699	1031	1164	2000	0	4572	0	0	0	1039	4497	752	136	2053	1578	5241	1559	1434	1473	772	2685	680	0	2215	2511	1804
Chi phí thuế TNDN###Corporate Income Tax Expenses	385	1948	471	541	425	506	2558	554	326	1206	470	1640	383	619	441	187	4574	1637	1370	737	907	5022	1131	1618	1285	984	7034	988	1132	3120	1779	5699	1031	1164	2000	1502	4572	1138	1079	1220	1039	4497	752	136	2053	1578	5241	1559	1434	1473	772	2685	680	806	2215	2511	1804
Chi phí thuế TNDN###Corporate Income Tax Expenses	-17	49	17	17	-2	16	16	3	-10	4	3	-10	24	2	-30	-27	-138	3	3	-59	-84	-48	0	0	-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1855	12000	2808	3374	3143	2676	11511	2748	1933	4877	1957	22090	5319	7234	7069	2584	31127	9358	8687	6876	5755	33401	8873	10650	7282	6773	40935	8252	7831	13948	11369	39274	9930	10034	10539	8871	39707	10869	11598	10686	6800	40256	6885	11647	11024	10589	34692	9183	9967	9015	6582	26994	6267	9074	33402	21285	5612
---Cac Chi So Tai Chinh---																																																									
EBITDA	-0.10	-0.32	-0.32	-0.31	-0.10	0.10	0.11	0.11	0.18	0.17	0.13	0.08	0.08	-0.02	0.03	0.30	0.59	0.59	0.62	0.70	0.52	0.44	0.44	0.56	0.63	0.71	0.59	0.59	0.59	0.47	0.23	0.42	0.42	0.31	0.30	0.53	0.61	0.61	0.57	0.78	0.93	1.08	1.08	1.12	1.03	0.85	0.85	0.85	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	8.90	10.00	10.00	9.02	9.02	9.92	10.28	10.28	10.11	9.25	7.85	8.11	8.11	8.18	8.53	8.66	8.86	8.86	9.23	9.72	9.54	9.42	9.42	9.76	10.59	12.09	13.01	13.01	11.64	8.92	10.47	8.56	8.56	7.10	6.67	6.46	5.24	5.24	5.12	4.37	3.98	3.37	3.37	3.48	2.68	2.95	3.37	3.37	3.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
