CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	5970	15749	-14268	1166	8505	19943	135870	85855	24138	9213	23765	136928	61844	17034	16348	89338	77236	73369	5938	12498	4482	27804	22216	6381	5573	9316	24643	16513	12777	9417	8877	10471	-3864	507	21944	462	-215837	-59841	-154407	62672	-40334	-121556	-58677	-25642	-36307	-7171	36659	2196	6827	25730	2055	85857	23135	42207	14262	6210	74771	-69626	42141	67950	34319	164659	47685	52175	30250	18453	17798	1155
Thu nhập khác###Other incomes	96	7757	1762	2075	1663	1847	10600	3474	2978	2448	1700	8832	4047	3461	1231	1440	8155	3374	4332	158	291	1368	501	289	-2	579	9332	8332	639	124	238	1263	1086	37	101	39	80	6	2	0	7	186	51	19	0	0	27	0	0	24	3	944	54	254	37	599	7439	-62	339	0	7135	715	492	0	0	2414	0	0
Chi phí khác###Other Expenses	234	1933	1240	471	74	148	1883	295	1392	167	36	7584	2662	2975	627	905	6272	2989	1732	960	591	895	504	270	84	37	1886	1080	24	259	217	1196	1187	0	0	9	14125	-11155	0	12664	191	3036	5430	0	0	0	88	0	0	88	0	1649	44	1390	11	204	7315	-351	432	0	7134	56	23	0	0	0	0	0
Lợi nhuận khác###Other profits	-138	5825	522	1603	1589	1699	8716	3179	1586	2281	1664	1249	1386	486	604	535	1883	385	2600	-802	-300	472	-3	19	-86	542	7446	7251	615	-136	21	67	-101	37	101	31	-14044	11161	2	-12664	-184	-2850	-5379	19	0	0	-61	0	0	-64	3	-705	10	-1136	26	395	124	289	-93	0	1	658	468	0	0	2414	0	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5833	21574	-13746	2769	10094	21642	144586	89034	25724	11494	25429	138177	63230	17519	16952	89873	79120	73754	8538	11696	4183	28276	22213	6401	5487	9858	32089	23764	13392	9281	8897	16128	3386	507	20357	493	-229882	-18956	-178649	41629	-44943	-124406	-133157	-25623	-36307	-7171	36598	2196	6827	25666	2058	85151	23145	41071	14289	6605	74895	-69337	42048	67950	34320	165318	48153	52175	30250	20866	17798	1155
Chi phí thuế TNDN###Corporate Income Tax Expenses	2558	10377	1063	1591	2518	5045	26630	14023	4796	1513	6291	26973	15350	1566	3219	20786	28121	12889	3459	11895	219	5944	4176	157	1329	296	3432	3154	130	-3862	3861	12296	1403	0	10893	0	14560	0	0	0	1772	2662	-161	-93	-222	3138	4214	-3399	1822	5795	0	4188	987	12031	68	15	1469	-28	209	488	874	28628	3443	4838	0	1824	0	114
Chi phí thuế TNDN###Corporate Income Tax Expenses	2720	10538	1063	1591	2518	5206	26792	14023	4796	1513	6453	26987	-18719	1875	2910	20947	28431	12889	3459	11895	380	6106	4176	157	1329	296	1753	1516	88	-179	328	5947	-1567	0	7513	0	1507	-24118	0	23453	1772	2662	-161	-93	-222	3138	4214	-3399	1822	5795	0	4188	987	12031	68	15	1469	-28	209	488	875	28628	3444	11254	6511	1824	1523	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-161	-161	0	0	0	-161	-161	0	0	0	-161	-14	34070	-309	309	-161	-309	0	0	0	-161	-161	0	0	0	0	1679	1638	42	-3683	3533	6350	2970	0	3380	0	13054	12429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3759	11443	-14744	1158	7839	16568	117956	75020	20928	9981	19137	111204	47880	15953	13733	69087	50998	60865	5079	-199	3964	22332	18037	6244	4157	9562	28657	20610	13262	13143	5036	3832	1983	507	9464	493	-244442	-7267	-178649	18176	-46715	-127068	-63895	-25531	-36084	-10309	32383	5595	5006	19872	2058	80963	22157	29039	14221	6590	73426	-69309	41839	67463	33445	136690	44709	40921	23739	19043	16275	1040
---Cac Chi So Tai Chinh---																																																																				
EBITDA	0.19	-0.16	-0.16	0.06	-0.14	0.28	0.33	0.33	0.41	0.45	0.39	0.43	0.43	0.57	-0.53	-0.90	-0.47	-0.47	-0.54	-0.09	0.11	0.19	0.19	0.25	0.53	0.41	0.04	0.04	-0.02	-0.13	0.84	1.08	1.08	1.20	0.89	0.22	0.03	0.03	0.00	-0.06	0.08	0.29	0.29	0.50	0.82	1.26	1.40	1.40	1.34	1.09	1.23	1.26	1.26	1.30	1.24	0.98	0.99	0.99	0.75	0.82	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.40	4.89	4.89	7.21	7.05	5.30	5.70	5.70	5.40	5.70	6.75	7.00	7.00	8.12	10.20	4.95	5.30	5.30	4.50	3.60	4.60	5.50	5.50	3.40	4.70	5.00	5.90	5.90	4.60	4.10	4.10	4.40	4.40	2.20	1.90	2.40	4.50	4.50	4.50	6.10	4.80	7.70	7.70	8.50	8.90	8.10	12.20	12.20	15.90	24.50	23.91	23.55	23.55	25.45	22.73	13.75	21.98	21.98	29.41	25.53	34.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00
