CAN DOI KE TOAN	 2018	 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Giá vốn hàng bán###Cost of goods sold	0	2953	2870	29997	8315	9715	4163	8084	36463	7642	15059	7208	6506	46579	12089	15304	11233	8323	34838	12988	11043	4730	6078	33579	11174	6622	9614	6169	49679	17757	13175	15231	4378	33015	12295	9009	7470	6608	42415	12111	6928	10697	12413	45067	13379	7711	12175	12363	47755	14122	12183	12594	9091	27518	10621	23200
Lợi nhuận gộp###Gross profit	1210	2378	434	3436	-1372	1467	1360	1700	5995	1953	2042	629	1420	11819	2995	3005	2434	3015	9793	2872	2762	1741	2417	13304	3476	4411	3000	2417	14995	3756	5183	2827	2358	11680	4585	2166	44395	46878	11363	3307	2719	2723	2880	13361	3994	3094	2739	2974	11727	3673	3104	2812	1903	7558	2399	6648
Doanh thu hoạt động tài chính###Financial activities Revenues	75	88	37	380	13	4	339	24	566	10	95	447	14	627	46	108	451	21	620	30	84	471	34	541	38	22	426	55	1879	83	608	1008	217	1060	20	438	324583	82279	675	157	30	200	288	868	131	188	392	50	166	51	59	22	34	80	26	45
Chi phí tài chính###Financial Expenses	1	131	116	501	52	130	147	147	940	159	339	277	165	680	179	200	199	102	529	110	128	223	68	278	44	73	49	68	1079	158	656	129	94	1281	264	263	60490	15360	1360	623	187	199	244	968	279	61	155	331	678	232	267	153	27	168	20	22
Chi phí bán hàng###Selling Expenses	0	131	115	645	128	238	174	105	1072	90	550	235	196	1952	384	546	382	641	1314	464	513	246	136	1464	635	302	390	136	1843	608	672	289	243	1343	860	119	26512	26147	1313	374	173	408	264	1654	649	102	477	427	1593	550	330	448	264	391	366	160
Chi phí quản lý doanh nghiệp###Managing Expenses	258	671	413	4596	1453	1020	1026	1097	4334	1406	1281	528	1118	5729	1426	1440	1437	1387	5096	1650	1267	1078	1099	4986	1529	1366	1192	900	5713	1452	1714	1643	933	3860	1162	1210	3307	3145	4260	1003	974	931	1263	5976	1914	1928	1098	1038	4208	966	1110	1089	929	3825	1042	3431
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1026	1534	-173	-1926	-2991	83	351	375	217	308	-33	36	-46	4085	1053	927	869	907	3475	679	939	664	1148	7117	1307	2691	1795	1368	8240	1621	2748	1775	1304	6256	2319	1013	278670	84506	5106	1463	1415	1384	1397	5631	1283	1191	1401	1228	5413	1975	1456	1144	716	3254	997	3079
Thu nhập khác###Other incomes	622	1144	553	143	8	68	49	18	566	33	129	100	261	536	197	56	78	181	1287	850	198	216	23	2163	124	51	110	278	954	288	306	232	138	759	65	622	263	227	454	366	34	28	24	658	383	236	28	10	79	27	20	22	6	2061	1099	1016
Chi phí khác###Other Expenses	611	226	122	53	19	3	4	27	297	16	25	75	182	238	143	11	10	74	317	50	28	151	88	238	36	41	20	141	868	119	9	85	90	634	192	441	-44	48	5	0	0	0	0	329	0	0	33	0	11	9	0	0	2	1922	1000	676
Lợi nhuận khác###Other profits	12	917	432	90	-12	65	45	-9	269	17	104	26	79	298	55	45	67	106	969	801	170	65	-66	1925	88	10	91	137	86	169	297	147	48	125	-128	181	307	178	449	366	34	28	24	329	383	236	-5	10	69	18	20	22	5	139	98	340
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1038	2451	258	-1836	-3003	148	396	367	485	325	71	62	33	4382	1107	972	936	1013	4444	1479	1109	729	1082	9042	1394	2702	1886	1505	8326	8110	3046	1922	1352	6381	2191	1194	287991	90005	5554	1829	1449	1411	1421	5960	1666	1427	1396	1237	5482	1993	1476	1166	721	3393	1095	3419
Chi phí thuế TNDN###Corporate Income Tax Expenses	382	157	0	0	-159	30	49	81	116	115	3	-7	7	1011	276	248	190	223	1158	296	277	0	0	1579	0	0	0	376	1509	313	533	479	338	1702	694	298	389	321	720	311	181	176	178	904	1352	200	195	173	849	334	206	163	100	519	153	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	382	157	0	0	-159	30	49	81	116	115	3	-7	7	1011	276	248	190	223	1158	296	277	151	271	1355	-180	675	460	376	1509	313	533	479	338	1702	694	298	65405	16398	720	311	181	176	178	1128	196	200	195	173	839	318	207	163	101	529	153	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-224	0	0	0	0	10	0	0	0	0	-10	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	656	2294	258	-1836	-2844	118	348	286	369	211	68	69	26	3371	832	725	746	790	3286	1183	832	578	812	7463	1574	2026	1425	1128	6818	1477	2513	1444	1014	4679	1497	895	222586	73607	4835	1519	1268	1235	1244	5056	1470	1227	1200	1064	4633	1676	1270	1003	620	2874	942	3419
---Cac Chi So Tai Chinh---																																																								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	27.00	10.50	11.20	9.60	9.60	13.00	12.50	13.60	14.50	14.50	14.00	12.86	13.30	13.39	13.39	14.73	12.86	13.52	10.46	10.46	11.27	14.40	8.39	7.11	7.11	10.53	6.47	7.17	4.86	4.86	6.56	4.98	5.46	6.29	6.29	10.54	10.02	11.57	12.61	12.61	10.23	7.49	4.36	4.81	4.81	8.87	9.86	9.93	16.24	16.24	10.04	12.79	14.59	4.42	4.42	0.00
