CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	105586	76780	541908	170152	140284	130898	100732	468302	158274	108624	113981	86950	395590	132314	90959	101908	68933	327033	111196	82620	63049	66548	228382	78348	58693	52286	38622	142351	34173	33719	42410	32216	123686	31448	31895	26714	33695	67130	18089	18575	16418	14018	68698	12492	20785	19847	15575	48777	5729	16706	11763	14580	18635	19870	6848	27708
Thu nhập khác###Other incomes	3852	2183	11991	3008	5788	2495	2029	11967	4942	2503	1476	3291	33924	21796	6663	3989	3141	12699	2144	2357	4946	3252	8270	2185	1861	1858	2366	8773	2627	2323	1173	3493	6256	2573	1205	1266	1211	23189	14188	1722	2837	4347	7357	2671	1561	1861	1264	5833	2106	1007	1834	886	4780	1727	104	2447
Chi phí khác###Other Expenses	1383	1971	3863	2862	1275	1100	134	5196	1373	901	109	2582	5264	1367	1994	1091	1224	2051	100	268	1376	306	1116	44	318	468	206	981	177	460	298	934	1503	682	163	83	562	3039	886	640	660	608	2917	983	372	1548	14	2031	1064	685	12	269	948	92	0	370
Lợi nhuận khác###Other profits	2470	211	8128	146	4513	1395	1895	6771	3569	1601	1368	709	28660	20430	4670	2898	1917	10649	2043	2089	3570	2946	7154	2141	1543	1390	2160	7793	2450	1863	875	2559	4753	1891	1043	1183	649	20150	13302	1082	2177	3739	4440	1688	1189	314	1250	3802	1041	322	1822	617	3832	1635	103	2077
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	108056	76991	550035	170297	144796	132292	102627	475073	161843	110225	115349	87660	424250	152744	95629	104806	70850	337682	113239	84709	66619	69495	235536	80488	60236	53675	40782	150143	36623	35582	43285	34775	128439	33339	32937	27896	34344	87280	31390	19657	18595	17757	73139	73139	58959	20031	16696	52580	6770	17029	13585	15197	22467	21505	6951	29785
Chi phí thuế TNDN###Corporate Income Tax Expenses	19636	12976	93232	29805	25040	22404	16032	75264	27061	16645	19586	12262	63091	22096	14803	16004	10403	59458	20061	14038	13078	12279	52080	18169	13237	11678	8931	29024	7247	6953	8654	6197	26852	5289	7780	6700	0	16731	0	0	0	3372	14346	956	5739	4609	3042	11876	1441	3879	3046	3510	4081	2425	973	4093
Chi phí thuế TNDN###Corporate Income Tax Expenses	19563	12985	92970	29570	25076	22332	16050	75363	26948	16755	19535	12415	64093	22190	14934	16773	10397	58723	19319	14031	13109	12262	52153	18232	13241	11746	8947	29208	7388	6845	8756	6192	26869	5311	7873	6750	6933	16633	5401	4796	3064	3372	14159	769	5739	4609	3042	11697	1262	3879	3046	3510	4444	2640	973	4116
Chi phí thuế TNDN###Corporate Income Tax Expenses	73	-9	263	235	-36	72	-19	-99	113	-111	51	-153	-1002	-94	-131	-769	6	736	742	7	-31	17	-73	-62	-4	-68	-17	-184	-142	108	-102	5	-17	-22	-93	-50	2	99	129	0	0	0	187	187	0	0	0	179	179	0	0	0	-363	-215	0	-23
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	94831	67470	478230	147251	126568	114772	89551	414990	140050	97960	95763	77703	377780	136932	84701	91980	63856	291612	93178	70670	53540	57216	193579	62319	46999	41997	31852	130741	29376	28629	34632	28579	101587	28051	25157	21196	27409	70548	25861	14861	15531	14385	58792	13224	16235	15422	13653	40703	5329	13149	10538	11687	18386	19080	5978	25693
---Cac Chi So Tai Chinh---																																																								
EBITDA	1.59	1.56	0.50	0.50	0.60	0.88	0.74	0.59	0.59	0.57	0.48	0.43	0.71	0.71	1.18	0.64	0.67	0.72	0.72	0.57	0.53	0.52	0.53	0.53	0.50	0.53	0.72	0.71	0.71	0.78	0.85	0.72	1.00	1.00	0.96	0.83	0.74	0.22	0.22	0.22	0.08	-0.01	0.04	0.04	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	47.16	32.33	65.79	65.79	65.51	63.73	56.23	54.45	54.45	56.59	49.99	64.67	68.08	68.08	72.84	57.73	58.67	52.88	52.88	52.37	46.75	34.26	23.90	23.90	16.74	15.19	15.10	13.57	13.57	15.86	10.28	10.79	9.16	9.16	8.18	6.48	5.56	2.94	2.94	2.40	2.69	2.65	2.21	2.21	1.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
