CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	960879	958070	981674	981562	970359	955625	965322	955236	955476	979577	956020	974495	961281	961281	992750	968344	985305	966832	966966	1003292	979830	1065535	1068757	1066959	1135757	1095424	1136070	1134677	1131152	1133729	1068707	1080069	913528	930620	890793	848542	850838	1032956	801675	755863	722114	757873	967452	740126	790676	715019	650579	563709	350639	356798	200667	201319	192244	191882	175844	170471	169763	164566	166458	175639	166476	164994	160085	161712	154802	130562	133457
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	645	645	435	435	0	0	0	0	0	0	0	0	0	1184	213	338	95	1047	1237	1153	729	391	0	1628	2356	2156	0
Vốn chủ sở hữu ###Owners equity	960879	958070	981674	981562	970359	955625	965322	955236	955476	979577	956020	974495	961281	961281	992750	968344	985305	966832	966966	1003292	979830	1065535	1068757	1066959	1135757	1095424	1136070	1134677	1131152	1133729	1068707	1080069	913528	930620	890793	848542	850838	1032956	801675	755218	721469	757228	967017	739691	790676	715019	650579	563709	350639	356798	200667	201319	192244	190698	175631	170132	169668	163518	165222	174486	165747	164603	160085	160085	152446	128406	133457
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179582	0	193760	184112	166813	189527	247726	234012	246604	225698	229557	222587	229570	232705	211142	264319	229906	228884	210612	183740	238681	213070	213070	129394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3160912	2949051	3069728	3090558	2991267	2805016	2821000	2921342	2935919	3100852	2893654	3435771	3276476	3272200	3157136	2917512	2703808	2485571	2758951	2064783	1449223	1266006	1231678	1236836	1105138	865411	820888	824779	833690	992168	893856	653817	757088	750490	623678	694450	375796



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1067913	1397376	6788307	1801912	1630695	1744822	1612255	6939395	1899754	1871840	1669015	1515248	6398580	1769205	1641065	1289015	1709956	5176015	1515153	1389827	1274460	1285916	6165258	1489136	1465629	1632439	1431047	7661192	1883152	1961858	1991149	1702835	7057524	2101529	1815091	1579056	1473709	6441716	1646260	1452467	1419591	1762933	5807488	1657277	1434668	1464938	1217109	3745218	1220145	997792	847201	642339	1978865	808009	547871	354235	270949	1713015	516230	393740	402790	400255	1383489	466804	322815	598564	828560
Các khoản giảm trừ doanh thu###Deduction revenues	71649	92865	405475	99543	106602	99664	98544	364799	102216	88180	86248	85391	307717	71396	77028	74762	59528	204112	0	0	51272	56896	208910	0	0	68151	0	173480	0	0	64139	0	155531	0	0	0	0	66777	0	0	15281	0	43323	0	0	0	0	39726	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	1812	10520
Doanh thu thuần###Net Sales	996265	1304511	6382833	1702370	1524094	1645159	1513710	6574596	1797538	1783660	1582767	1429857	6090863	1697809	1564037	1214253	1650428	4971903	1515153	1389827	1223188	1229020	5956348	1489136	1465629	1564288	1431047	7487712	1883152	1961858	1927009	1702835	6901993	2101529	1815091	1547240	1473709	6374939	1646260	1452467	1404310	1762933	5764166	1657277	1434668	1464938	1217109	3705491	1220145	997792	847201	642265	1978865	808009	547871	354235	270949	1713015	516230	393740	402790	400255	1383489	466804	322815	596752	818040
Giá vốn hàng bán###Cost of goods sold	803027	1113041	5307420	1407277	1248421	1390762	1263558	5452508	1500374	1469868	1303821	1192586	4965209	1392335	1265644	944466	1386580	4030917	1208494	1132603	983949	1012826	4827094	1215881	1173270	1263288	1172790	6339100	1613545	1641758	1639518	1441439	5805958	1841588	1518092	1254360	1210291	5390867	1341386	1167792	1197769	1574956	4803210	1429070	1151871	1170905	1055465	3304913	1032454	876470	797296	599559	1834900	761767	509631	320788	244284	1632516	493053	376965	382505	379994	1305959	438909	306319	557616	740841
