CAN DOI KE TOAN	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007


KET QUA KINH DOANH	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	139835	620035	238237	223261	113813	121599	521904	204227	198285	89903	108167	446866	160031	147934	85192	110299	502022	157323	174407	103730	117377	487358	144288	161501	101769	128795	587726	193534	196175	127262	138501	480140	173980	156763	95978	97678	460027	137339	134610	125333	92649	402448	115729	73252	68596	306066	415692	243703
Các khoản giảm trừ doanh thu###Deduction revenues	18	200	62	63	40	34	306	48	87	107	64	470	258	64	117	31	923	206	208	206	302	627	175	160	122	170	707	270	142	185	110	588	106	141	170	159	687	191	180	196	120	530	173	141	102	554	527	470
Doanh thu thuần###Net Sales	139818	619835	238176	223198	113773	121565	521598	204179	198198	89796	108103	446396	159774	147870	85075	110268	501099	157117	174199	103524	117075	486731	144113	161341	101648	128625	587019	193264	196033	127078	138391	479552	173874	156622	95809	97519	459341	137148	134430	125138	92528	401918	115556	73111	68493	305513	415165	243233
Giá vốn hàng bán###Cost of goods sold	133216	567652	221510	211877	99930	114055	480969	191393	187464	80882	103423	407846	147700	140309	76437	102908	476328	150458	167722	96443	114951	458350	135348	156020	96334	124947	551553	184110	189054	113358	132778	456349	167959	150496	89393	91225	431819	128923	127074	118100	87213	377745	108084	67787	64503	284872	359736	226992
Lợi nhuận gộp###Gross profit	6602	52183	16665	11321	13843	7510	40629	12785	10734	8914	4680	38550	12074	7561	8638	7360	24772	6658	6477	7081	2124	28380	8765	5321	5314	3678	35466	9154	6979	13720	5613	23203	5914	6127	6416	6293	27522	8225	7356	7038	5315	24172	7472	5324	3991	20641	55430	16241
Doanh thu hoạt động tài chính###Financial activities Revenues	12	500	19	44	-1	387	3051	2750	30	79	193	571	54	29	157	331	293	46	13	56	178	206	20	45	21	121	804	114	136	203	320	1829	240	457	545	604	2914	664	778	755	717	3477	922	830	1138	3420	5568	489
Chi phí tài chính###Financial Expenses	503	1534	435	182	-1087	248	1798	387	181	650	579	2411	675	456	762	518	1625	580	443	441	161	207	62	6	46	14	393	30	11	103	19	89	19	14	35	38	313	27	29	156	90	352	42	21	31	275	1244	71
