CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	 2011	 2010	 2009
Lợi nhuận gộp###Gross profit	9880	6020	67578	20937	23552	13581	11870	80565	29832	24822	16892	10612	71485	29753	16517	16857	13414	64876	31724	15391	2960	14441	69523	21590	19787	22416	9280	76145	27041	17552	21342	8957	84639	19812	14031	38618	98512	76537	142830	169426
Doanh thu hoạt động tài chính###Financial activities Revenues	1975	688	2091	211	560	551	745	1179	446	-215	584	363	2851	-184	569	1662	804	7082	3221	702	3702	1380	41672	41149	-434	712	904	5318	11270	863	104	581	5641	662	1468	365	21926	17621	17347	7035
Chi phí tài chính###Financial Expenses	40	1257	496	240	141	28	86	7645	550	904	1631	1001	2128	1799	220	101	9	3337	2757	472	1092	499	10851	6582	3713	531	107	4369	13592	1580	895	786	7087	-249	1504	2061	1422	4509	16356	26226
Chi phí bán hàng###Selling Expenses	12771	12754	40422	10032	15805	9745	8318	43125	29311	8550	8641	7741	39985	18838	10400	5756	10164	31282	7413	8600	7754	8483	41217	22515	8361	10482	5217	35726	9559	5703	7126	11146	37240	9535	8160	10264	35554	41526	29419	24332
Chi phí quản lý doanh nghiệp###Managing Expenses	4263	-1894	24977	9242	4951	5423	4421	31479	6554	5151	5920	5749	32309	9321	6780	8274	7395	31166	14420	9235	8597	7209	39402	9099	6780	13833	7596	40318	13042	9925	7163	8677	45528	11193	10808	12621	61980	67500	66728	52176
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-5220	-3618	5495	1634	3215	295	153	1411	-6138	10003	1887	-3515	1065	-390	1108	3409	-3350	5390	10354	-2213	-9989	-370	20296	24544	498	-1077	-2736	1050	2118	4472	2997	-11070	426	-5	-4971	14038	19349	-17712	47352	73727
Thu nhập khác###Other incomes	1813	1269	2580	400	551	388	1242	2169	1140	426	528	177	2709	1730	152	500	327	2758	488	449	706	1112	2537	1293	652	420	482	6779	1560	3399	468	1318	6186	1913	2038	1329	6213	4673	2685	1452
Chi phí khác###Other Expenses	4	3	79	6	37	0	36	308	0	13	326	1	8	0	0	0	8	544	118	19	-10	416	607	-2502	400	101	204	223	20	2	4	74	3408	198	50	72	1825	2096	6653	4481
Lợi nhuận khác###Other profits	1810	1266	2501	393	514	388	1206	1861	1140	413	203	176	2701	1730	152	500	320	2215	370	430	715	696	1930	3794	252	319	278	6556	1540	3397	464	1244	2778	1715	1989	1257	4388	2577	-3968	-3029
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-3410	-2352	7996	2027	3729	683	1359	3273	-4998	10415	2089	-3339	3767	1340	1260	3909	-3031	7605	10724	-1783	-9274	326	22227	28338	750	-758	-2457	7017	3658	7870	3461	-9826	4017	1710	-2983	15295	23737	-15135	43384	70698
Chi phí thuế TNDN###Corporate Income Tax Expenses	252	502	2068	423	1132	567	237	1739	-443	1268	757	0	1917	508	151	1056	22	1871	1137	-181	-415	803	7064	5955	-2560	3772	0	1772	1077	-246	764	0	2433	583	0	3832	5569	11806	7472	9599
Chi phí thuế TNDN###Corporate Income Tax Expenses	252	502	2070	423	1132	567	239	1887	0	0	600	0	1334	0	151	462	22	1529	956	0	-617	798	7838	6191	232	180	0	1772	1077	-246	764	0	1662	583	0	3061	2772	4868	9864	17497
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-2	0	0	0	-2	-148	-443	1268	157	0	583	508	0	594	0	341	181	-181	202	4	-774	-236	-2793	3593	0	0	0	0	0	0	771	0	0	771	2797	6938	-2392	-7898
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-3662	-2854	5928	1604	2597	116	1121	1534	-4555	9147	1332	-3339	1850	832	1109	2853	-3053	5731	9587	-1602	-8859	-477	15163	22384	3311	-4530	-2457	5246	2582	8116	2697	-9826	1584	1127	-2983	11463	18168	-26942	35912	61099
---Cac Chi So Tai Chinh---																																								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	7.10	5.20	6.60	6.60	6.60	7.00	5.70	6.90	6.90	7.30	6.57	6.10	5.92	5.92	5.63	5.16	4.32	4.13	4.13	4.23	6.67	6.02	5.07	5.07	4.81	6.19	3.77	3.40	3.40	3.92	3.99	5.03	4.21	4.21	4.73	4.06	3.18	4.56	10.68	10.88
