CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Chi phí tài chính###Financial Expenses	12814	12642	23040	10790	5465	3674	3112	16260	16260	3655	3997	3804	5855	2675	854	1264	1121	5393	1246	887	1634	1629	9611	1432	2333	2431	3476	9350	2242	2591	1982	2443	11660	8717	1944	-3621	3470	16114	4583	3251	4663	3608	30201	13581	6269	6190	4161	13717	5447	2848	3095	2328	34352	1900	9127	2175	35850
Chi phí bán hàng###Selling Expenses	0	0	86	-194	239	-195	238	885	885	157	322	241	1718	-158	127	623	1121	5576	692	1173	1908	1803	7836	2354	1595	1590	2258	7088	1746	1729	1757	1859	6671	1914	1133	804	3201	8444	1977	2084	1993	2390	11606	2595	2986	3029	2996	12699	3481	2786	3414	3018	5582	2000	1140	706	2324
Chi phí quản lý doanh nghiệp###Managing Expenses	5082	7805	27342	8757	6548	5151	6977	20712	20712	4815	3877	3728	11591	2092	2825	5330	1403	10601	6058	1939	731	1846	8465	4373	1176	1365	1015	5554	1677	885	1455	963	6370	3166	839	-285	2650	14455	3845	3249	3667	3259	12861	3373	3134	3206	3148	15680	6215	4584	4639	4204	15388	8640	1996	2385	8443
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1047	487	18732	17111	51	1430	179	22922	22922	449	1022	166	15963	13952	721	818	423	2925	1256	911	432	182	1409	261	537	427	55	2788	2769	-712	1160	-522	22606	416	273	31220	-9170	-5873	13277	-5158	-4629	-8288	-6470	-8106	447	2914	-1726	10110	840	95	1202	6046	5156	14175	2431	320	999
Thu nhập khác###Other incomes	0	3	6632	1111	5448	-743	816	995	995	0	98	1	391	374	0	18	290	59	0	4	46	9	714	284	0	385	46	449	-783	1212	21	0	136	125	0	11	0	1052	909	126	11	6	2827	-600	1632	1796	0	1718	1226	70	421	1	657	1	0	572	-278
Chi phí khác###Other Expenses	4	0	1377	-3962	4520	0	819	435	435	63	150	18	1067	1321	6	25	6	179	0	154	20	5	431	0	51	375	5	1937	1615	134	188	0	1043	96	98	22	827	2175	1648	228	-26	314	1178	-285	997	205	260	3543	1261	2187	6	90	1012	849	100	60	0
Lợi nhuận khác###Other profits	-4	3	5255	5073	928	-743	-3	560	560	-63	-53	-18	-676	-947	-6	-7	284	-120	0	-151	27	4	283	283	-51	10	41	-1488	-2399	1078	-168	0	-907	28	-98	-11	-827	-1123	-740	-103	38	-308	1650	-316	635	1591	-260	-1826	-35	-2116	415	-89	-355	-848	-100	511	-278
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1043	490	23987	22183	980	687	176	23482	23482	387	969	148	15287	13005	715	811	706	2805	1256	760	459	186	1692	545	486	436	96	1299	371	365	992	-522	21699	444	175	31210	-9997	-6996	12538	-5260	-4591	-8596	-4820	-8421	1082	4505	-1987	8285	805	-2021	1617	5957	4802	13327	2331	831	722
Chi phí thuế TNDN###Corporate Income Tax Expenses	226	115	4977	4558	196	177	53	4798	4798	107	226	50	3230	2626	161	202	141	585	271	152	97	37	388	105	130	97	21	286	82	80	103	0	252	129	44	0	0	121	0	0	0	0	489	-1633	673	1308	142	3702	836	236	1014	2125	1098	4211	0	0	171
Chi phí thuế TNDN###Corporate Income Tax Expenses	226	115	4977	4558	196	177	53	4798	4798	107	226	50	3230	2626	161	202	141	585	271	152	97	37	388	105	130	97	21	286	82	80	103	0	252	129	44	113	0	121	40	6	31	0	489	-1633	673	1308	142	3702	836	236	1014	2125	1098	339	560	1	171
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	817	375	19010	17625	784	510	122	18684	18684	280	743	98	12057	10379	554	609	565	2220	986	608	362	149	1304	440	357	339	75	1014	289	285	889	-522	21447	315	131	31097	-9997	-7117	12498	-5266	-4623	-8596	-5309	-6788	410	3198	-2129	4583	-30	-2257	602	3832	3704	13008	1771	831	551
---Cac Chi So Tai Chinh---																																																									
EBITDA	-0.11	-0.67	-1.61	-1.61	-0.76	-0.55	-0.25	0.45	0.45	0.32	0.49	0.94	-0.49	-0.49	-0.72	-0.24	0.25	0.53	0.53	0.82	0.35	0.34	0.28	0.28	0.49	0.68	0.52	0.98	0.98	0.78	0.78	1.27	0.82	0.82	1.03	0.75	0.62	0.73	0.73	0.74	0.93	0.85	0.92	0.92	1.02	1.05	0.99	0.95	0.95	0.59	-2.63	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	7.80	6.70	6.40	6.40	6.40	7.30	9.50	15.70	15.70	9.75	10.96	8.83	3.06	3.06	2.92	2.92	2.71	2.78	2.78	2.78	2.78	2.92	2.85	2.85	2.71	2.78	2.56	2.78	2.78	3.13	2.63	4.06	4.06	4.06	3.13	1.71	2.06	2.42	2.42	1.57	1.85	2.63	1.92	1.92	2.85	3.20	4.84	6.19	6.19	10.04	15.09	0.00	0.00	0.00	0.00	0.00	0.00
