CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	 2010	 2009
Giá vốn hàng bán###Cost of goods sold	20515417	23193243	82686445	20045942	20201529	21855342	20583632	71224159	17285079	17205031	17945292	18788756	55198025	15674487	13557090	13032374	12934074	37399226	11641490	9292028	8427888	8037820	21330302	6461720	5622848	4550369	4695365	13360606	4146013	3311180	2960190	2943224	8091484	2058752	1730243	6180426	4431536	2308159	1730633
Lợi nhuận gộp###Gross profit	5770142	6159970	19487799	5365047	4940557	4748417	4433778	15292128	3753172	3702551	3861642	3974763	11141779	3044213	2823732	2621872	2651963	7214106	2195937	1834279	1594696	1589194	3922431	1284540	1023873	812902	801116	2396119	690703	633943	526872	544601	1407365	369566	312362	1194541	955970	508443	229284
Doanh thu hoạt động tài chính###Financial activities Revenues	169373	124886	631178	181645	178021	161373	110138	342084	107458	86457	71909	76260	250510	97381	52990	52899	47239	135328	64311	23665	18878	28473	80986	24878	24451	15061	16596	71335	26334	20994	8136	15871	29466	6025	6451	3195	7639	7454	5551
Chi phí tài chính###Financial Expenses	137081	178248	569755	156475	146142	133783	133355	436573	110939	104974	105700	114960	234287	65372	46022	56014	65471	120086	39161	25233	25827	29865	40666	11751	6629	10028	12258	21291	5445	5095	331	10421	26843	2747	10011	56441	27856	13152	3763
Chi phí bán hàng###Selling Expenses	3538368	3782775	12437283	3694583	3284926	2991595	2466179	9659741	2449962	2436750	2464220	2308809	7017061	1978929	1781349	1671086	1585644	4287696	1380711	1093577	906270	907142	2351095	788749	614547	490951	456848	1349301	417052	356162	291020	285067	935794	231179	229738	910879	675867	309586	140696
Chi phí quản lý doanh nghiệp###Managing Expenses	1000645	779758	2073783	519660	550014	391155	612954	1761614	384883	390396	397865	588469	1345497	369266	333057	300055	344580	934777	388002	220957	164005	161813	249315	86661	66203	45560	50892	240543	57969	71619	60973	49982	125646	30514	23268	67187	51216	41836	32011
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1262259	1542672	5034683	1174063	1136428	1392800	1331392	3774182	916023	854343	965031	1038785	2795444	728027	716294	647617	703506	2006875	452375	518178	517472	518846	1362341	422257	360944	281425	297714	856319	236572	222060	182684	215002	348548	111152	55795	163228	208670	151322	58365
Thu nhập khác###Other incomes	8819	8822	41557	13230	7734	7754	12839	33233	9910	8771	6488	8064	17685	7572	4006	3118	2989	31130	5664	8822	10202	6443	25193	5887	10801	5844	2661	15118	4279	5447	-144	5536	10158	2210	1084	7354	5966	5447	3310
Chi phí khác###Other Expenses	17415	7433	22793	7724	7059	4937	3073	21097	6995	6962	3276	3864	3816	1556	1050	324	886	32091	1050	28317	2361	362	1750	358	711	432	249	3240	205	219	-2328	5143	7918	2520	473	2114	2032	2483	3285
Lợi nhuận khác###Other profits	-8597	1389	18764	5506	674	2817	9766	12136	2915	1809	3212	4200	13868	6016	2956	2793	2103	-961	4613	-19496	7841	6081	23443	5529	10090	5412	2413	11878	4074	5227	2184	393	2240	-310	610	5241	3935	2964	25
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1253662	1544061	5053447	1179569	1137102	1395617	1341158	3786319	918938	856152	968243	1042985	2809312	734043	719251	650410	705609	2005914	456988	498682	525313	524927	1385784	427786	371034	286836	300127	868197	240646	227288	184868	215395	350788	110842	56406	168469	212605	154286	58390
Chi phí thuế TNDN###Corporate Income Tax Expenses	359239	411942	1217207	319548	281570	316052	300038	906010	225834	208518	236137	235521	602415	161785	154180	138965	147484	427663	101175	111160	108427	106902	310013	95749	83026	64200	67036	194453	54986	50918	41816	46733	92319	28867	14219	42288	55795	43931	9831
Chi phí thuế TNDN###Corporate Income Tax Expenses	367654	423562	1248353	342488	295670	314080	296115	933837	231697	214306	246529	241304	639744	186779	156439	145064	151462	495801	115085	113863	110002	109232	312611	94666	88985	63680	65280	203799	57195	50409	49872	46323	92542	29863	14219	44460	53183	46087	11353
Chi phí thuế TNDN###Corporate Income Tax Expenses	-8415	-11620	-31146	-22941	-14100	1972	3922	-27827	-5863	-5789	-10393	-5783	-37329	-24993	-2258	-6099	-3977	-68137	-13911	-2703	-1575	-2330	-2598	1083	-5958	520	1756	-9346	-2209	509	-8056	411	-223	-997	0	-2171	2612	-2155	-1522
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	894936	1132721	3838211	860474	855983	1079953	1041800	2881894	694182	647905	732106	807563	2208114	572576	565380	511723	558434	1579129	355814	387523	416886	418025	1079649	332037	288008	222636	233091	679382	185660	176370	143052	168662	258469	81976	42187	126180	156810	110355	48559
---Cac Chi So Tai Chinh---																																							
EBITDA	1.28	1.34	1.10	1.10	1.22	1.30	0.88	0.73	0.73	0.61	0.54	0.58	0.81	0.81	0.56	0.50	0.38	0.84	0.84	0.97	1.09	1.07	1.02	1.02	0.91	0.72	0.84	0.82	0.82	-0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	80.80	58.90	114.00	114.00	126.10	92.80	83.37	85.53	85.53	93.82	84.08	82.03	95.27	95.27	84.58	74.83	60.69	56.25	56.25	50.20	44.35	26.70	27.77	27.77	21.58	26.00	30.29	30.85	30.85	28.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
