CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Vốn chủ sở hữu ###Owners equity	2128517	2241248	2235291	2234391	2151330	2146184	2258293	2251956	2253506	2200999	2191036	2300715	2275437	2251606	1992207	1997976	2099224	2112258	2095941	2097496	2095475	2008922	1976871	1986769	1873614	1799294	1774513	1752006	1765387	1652544	1642878	1629567	1595831	1601045	1560884	1550786	1542145	1559662	1530019	1704579	1734909	1844564	1878356	1847297	1923940	1934425	2082024	2186312	2203351	2095397	2033146	1986825	1764517	1751138	1417061	1149955	1117787	1145681	1238458	1178822	1279664	1312461	1270894	1270894	1069413	623269	561380	539586	553598	460221	447205	0	442829
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	26370	27640	0	15066	0	15430	0	0	0	0	0	0	0	12968	13915	14166	30401	30350	31834	32993	32921	31906	33030	33251	33285	33531	32741	33476	38200	37163	37131	26722	26659	15694	8394	8311	6250	3630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5678493	5651820	5607236	5606556	5705218	5632183	5626870	5513232	5510217	5637858	5411894	5093807	5033731	5040081	4844495	0	4582482	4467394	4502557	3992136	3357396	3167387	2998502	3002391	2720311	1691060	1607338	1591150	1681114	1495907	1580007	1618371	1547235	1517180	1593932	1085123	1057674	936224	1002186	1057766	943583	141932	802852



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	46991	40634	723252	476997	47232	118953	77992	467073	345524	92932	12997	18072	45998	-1025	16873	17416	10345	514269	18300	16145	472581	15908	855564	386451	258332	169256	41353	1226572	1141840	37946	39612	7183	632017	419989	58461	107462	47328	52959	31039	11957	6241	24756	139763	37268	10274	77958	12293	1016750	405449	172174	392351	81005	1114884	731379	264984	153793	4062	314149	256680	141556	62249	104720	708107	378364	120220	203702	67013	336109	301997	25598	29976	23263	378088
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	27293	27293	0	0	0	0	0	0	0	2453	66164	65729	31	209	20	0	0	0	-36	36	112	30	13	37	31	510	0	448	47	132	575	128	89	118	240	2278	229	-57	1795	99	220	43	36	140	141	10	0	10	10	0	0	1548	52522	229	0	0	142038	0	80	822	0	0	0	0	0	0	0	0	0	0	104
Doanh thu thuần###Net Sales	46991	40634	695959	449704	47232	118953	77992	467073	345524	92932	12997	15619	-20166	-66754	16842	17207	10324	514269	18300	16145	472617	15872	855452	386421	258319	169219	41322	1226062	1141840	37499	39565	7051	631443	419861	58372	107344	47088	50681	30810	12013	4446	24657	139543	37225	10238	77818	12152	1016740	405449	172164	392341	81005	1114884	729831	212462	153564	4062	314149	114642	141556	62168	103898	708107	378364	120220	203702	67013	336109	301997	25598	29976	23263	377984
