CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005


KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	457092	392553	1716062	540429	375668	432972	366994	1808372	535351	472667	434376	366642	1880139	562956	452807	458400	405245	2005540	496838	486269	527437	494996	1976973	541215	478260	500383	461785	1660275	515697	415034	435372	292172	1691084	407521	429246	417632	436686	1408972	410475	352364	336355	309778	1073255	298668	254898	312310	207379	869799	250407	224173	187254	208719	753767	211632	192800	172389	176946	785389	207835	187656	213686	537502	0	262240
Các khoản giảm trừ doanh thu###Deduction revenues	1221	206	5623	1181	471	3124	847	10023	3911	5451	1469	1136	9697	5761	1121	1144	3196	7206	532	2789	2829	671	2971	1143	212	601	689	9553	899	1668	5343	1565	8720	2508	2154	3318	741	8269	4593	1152	1567	956	10462	1576	4505	3331	1050	10037	2447	4816	1763	1011	6726	1895	1017	1623	2190	5206	804	1817	1392	4281	0	1013
Doanh thu thuần###Net Sales	455871	392347	1710439	539248	375197	429848	366147	1798350	531440	467216	432906	365506	1870442	557196	451685	457257	402049	1998334	496306	483480	524608	494325	1974002	540072	478049	499783	461095	1650722	514798	413365	430030	290607	1682364	405013	427092	414314	435944	1400704	405881	351212	334789	308822	1062793	297092	250393	308979	206329	859762	247960	219357	185491	207708	747041	209737	191782	170766	174756	780183	207032	185838	212294	533221	360241	261227
Giá vốn hàng bán###Cost of goods sold	228267	173387	770011	226505	173545	179237	190724	863659	249017	223574	211795	180589	829784	240608	210249	192941	183200	1003653	237520	232154	271474	263074	1064757	305111	248729	266275	249944	936341	289284	220394	247178	178071	961230	229446	235245	231119	265421	821846	241379	199078	193697	187691	663666	174814	147026	202685	139141	596069	187810	145887	116979	145043	531920	143141	138529	118558	132040	618891	166280	145442	175165	392955	229395	151983
Lợi nhuận gộp###Gross profit	227604	218960	940428	312743	201651	250611	175423	934691	282423	243641	221112	184916	1040658	316588	241436	264316	218849	994681	258786	251327	253133	231251	909245	234961	229319	233507	211152	714381	225514	192971	182852	112536	721134	175568	191847	183196	170523	578858	164502	152134	141091	121130	399127	122278	103366	106294	67189	263693	60150	73471	68512	62665	215121	66595	53254	52208	42716	161292	40751	40396	37129	140266	130845	109244
Doanh thu hoạt động tài chính###Financial activities Revenues	1920	778	4774	1462	809	1525	979	2482	1279	284	687	232	3619	1951	360	538	766	15387	6764	1832	3427	3364	9007	3310	1940	1208	2536	5496	2080	1492	714	1463	5618	2645	1934	419	620	1825	562	87	974	203	7926	3236	2470	573	1647	4282	3097	526	423	240	4638	841	641	1320	1299	5589	1231	1204	1958	2505	714	670
Chi phí tài chính###Financial Expenses	3263	3480	17805	3872	4715	4655	4564	12354	4163	3572	2825	1794	2891	630	930	813	517	82652	20770	19174	18246	24462	76776	15595	20901	22010	18262	45284	36798	5761	1292	1432	22127	3090	5054	7194	6789	35099	6837	7813	10594	9856	27335	10001	4934	6192	6207	11609	3229	2635	3066	2679	6794	2971	1219	1333	1271	4433	930	1018	1712	9519	6419	5557
