CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3133582	2884358	3080620	3074412	2778377	2595012	2565469	2378265	2376694	2302558	2232348	2041388	1995707	1989043	1902411	2062787	1916646	1819735	1798436	1665147	1560877	1501437	1521973	1530810	1391490	1284418	1126790	1081782	1133478	1004104	1011850	1009638	942209	942860	878151	682974	590773	482847	482846	432396	381269	340577	292257



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	900319	935539	4413959	1444577	1003451	1111753	854178	4421560	1408851	946827	1040328	1031203	4569014	1568826	1013775	1031571	955942	4153859	1299426	1009684	961928	877989	4151727	1366333	1146223	875309	764326	3958710	1307446	920719	978520	740207	4230222	1335895	997930	1128818	772757	2949286	910233	718769	696100	624185	2510825	769826	573957	584843	582312	2052248	667756	520022	451322	414371	1770345	533517	430061	421344	384770	1518437	434935	352428	386946	385342	1285210	422158	308692	280315	274045	873072	281363	207471	199550	184687	556190
Các khoản giảm trừ doanh thu###Deduction revenues	80027	77083	517205	165193	129095	135930	86987	539432	190749	118737	107172	122774	506261	215411	111753	105874	73575	370814	125300	92887	86205	62576	543968	216672	155153	76472	95243	46192	-4179	12336	13082	12582	702865	196267	159893	349513	2370	18210	4171	5653	4583	3803	19945	6291	6830	3832	3000	17723	4587	2258	1949	8929	24322	6057	5917	6815	5533	32973	11379	13150	4441	3545	15930	5998	3803	2002	4128	4880	2101	1232	1107	441	2159
Doanh thu thuần###Net Sales	820292	858456	3896754	1279383	874357	975823	767191	3882128	1218101	828090	933157	908429	4062753	1353415	902022	925697	882367	3783045	1174126	916797	875723	815413	3607760	1149661	991070	798837	669083	3912518	1311626	908384	965437	727625	3527357	1139628	838037	779305	770387	2931076	906062	713117	691517	620381	2490880	763535	567127	581011	579312	2034525	663170	517764	449373	405442	1746022	527461	424143	414529	379237	1485464	423556	339278	382505	381798	1269280	416160	304889	278314	269917	868192	279262	206239	198444	184246	554031
Giá vốn hàng bán###Cost of goods sold	398764	435116	2184462	716994	504153	532680	430635	2165405	693675	446580	497285	530062	2279638	788816	498950	505004	486664	2070059	631745	491381	488004	447112	2194892	714957	626549	475191	377555	1781997	567656	415011	453066	346698	1886884	603767	449607	408470	425108	1487278	453171	347864	356871	329439	1282117	419775	305506	299061	301449	1015993	305462	265217	224599	211390	822446	249584	196140	190001	182901	694445	206209	164780	181323	181922	600778	185523	142263	149994	149848	402747	124710	97660	91649	88728	299403
Lợi nhuận gộp###Gross profit	421528	423340	1712292	562390	370204	443142	336556	1716723	524427	381510	435872	378367	1783116	564599	403072	420693	395704	1712986	542381	425416	387719	368301	1412868	434704	364521	323647	291528	2130521	743970	493373	512372	380927	1640474	535861	388430	370835	345279	1443799	452891	365253	334646	290942	1208763	343760	261622	281949	277862	1018532	357708	252547	224774	194053	923576	277877	228004	224527	196336	791019	217347	174498	201182	199876	668502	230637	162627	128320	120069	465445	154552	108580	106795	95518	254627
