CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013
Thu nhập khác###Other incomes	397212	208500	982553	395288	353398	277452	112559	995350	640206	86417	128316	114350	1124559	555291	255304	241386	69908	578376	277126	34102	708091	87028	1432283	577577	495031	690880	466649
Chi phí khác###Other Expenses	15676	5550	43893	183090	9707	4374	6375	38952	21841	6078	5810	5132	37418	16598	5959	118846	5490	44790	17908	10674	12722	5204	190196	11569	5217	109014	115892
Lợi nhuận khác###Other profits	381537	202951	938660	212198	343691	273077	106184	956398	618365	80340	122506	109218	1087141	538693	249345	122541	64418	533586	259218	23429	695369	81824	1242087	566008	489815	581866	350756
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-3981114	-2545115	3388896	77948	1506004	206734	1579060	3311905	813247	571155	426098	1429110	3154759	525961	1610750	168220	853725	2600582	-286325	850889	622264	1411671	1048814	148851	375642	724110	506519
Chi phí thuế TNDN###Corporate Income Tax Expenses	49556	66398	851435	74379	374268	37811	366670	713396	249317	113340	51772	292261	495646	116047	177469	91098	107642	495345	157476	110432	131072	96324	242935	70235	93074	307187	248984
Chi phí thuế TNDN###Corporate Income Tax Expenses	42783	65992	933964	157497	373787	30464	368134	695812	243693	106106	47385	290221	471378	110941	158487	96257	102140	340669	53707	95517	95127	96277	331671	98375	74825	249933	205859
Chi phí thuế TNDN###Corporate Income Tax Expenses	6774	407	-82529	-83118	481	7347	-1464	17583	5624	7234	4387	2040	24269	5105	18982	-5159	5502	154676	103769	14915	35944	47	-88735	-28140	18249	57254	43125
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-4116370	-2633618	2729120	-27762	1248969	258676	1227956	2861978	560614	562961	374326	1220971	2947726	409914	1567253	131273	748729	2155910	-443801	740457	491193	1315347	1105805	78616	282568	581355	257535
---Cac Chi So Tai Chinh---																											
EBITDA	1.08	0.92	0.93	0.93	0.93	1.06	1.53	1.62	1.62	1.94	1.92	1.94	1.74	1.74	0.44	0.47	2.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	25.10	17.80	33.75	33.75	33.60	42.00	40.09	32.26	32.26	40.38	32.56	42.32	36.79	36.79	21.54	22.11	23.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
