CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	 2010	 2009
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	90	1	0	-418	506	1042	0	1041	654	1	672	634	34	0	4	340	153	73	41	74	3106	16811	90	8862	297	1043	996	24	9	7	65	7	58	0	0	409	20	0
Doanh thu thuần###Net Sales	136953	124535	1112419	223134	214821	323045	354952	898529	269605	222152	286544	120213	897302	281168	159426	132288	328809	902374	393469	191882	188186	128404	475725	76080	133254	174967	123497	485191	130529	150170	136841	67658	603011	235173	76094	91375	100184	759224	183020	206960	315150	54093	124942	55846	56578
Giá vốn hàng bán###Cost of goods sold	130698	116834	1062596	197081	203526	312825	346346	848653	255606	209708	273145	109972	840870	256674	148768	120578	319238	864107	379575	183091	177840	122846	453721	72063	124859	167593	119220	456779	126867	142343	126163	62623	561318	213904	67844	91138	94216	688693	180024	190257	284131	34282	111069	40613	42933
Lợi nhuận gộp###Gross profit	6255	7701	49823	26053	11295	10220	8606	49875	13999	12444	13399	10241	56432	24494	10658	11710	9571	38268	13894	8791	10346	5558	22004	4017	8395	7374	4277	28411	3662	7826	10677	5035	41693	21269	8250	237	5968	70531	2997	16703	31019	19812	13873	15234	13645
Doanh thu hoạt động tài chính###Financial activities Revenues	1	1	97	15	2	56	3	84	0	4	5	49	21	10	4	3	5	39	13	5	7	13	1049	994	41	7	8	15	2	6	7	15	89	29	2	-48	53	4845	4726	99	13	8	102	24	74
Chi phí tài chính###Financial Expenses	2723	2477	14125	10013	2600	2540	1977	10377	2632	2782	2499	2435	6918	2098	1889	1586	1345	4260	1487	1053	852	828	3697	712	873	1030	666	7278	309	3042	922	1312	1932	762	754	-21	218	3495	675	399	1286	1135	2983	2872	1917
Chi phí bán hàng###Selling Expenses	1064	1931	8370	5978	1800	1868	1833	8225	2949	1692	1996	1678	5145	1699	1098	1405	942	2473	1150	534	365	504	2715	687	676	680	672	7540	806	772	5086	876	7009	5034	645	-18	674	5829	1467	532	2000	1830	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	2225	2838	16369	5107	3420	3801	4001	21084	4630	4615	4870	6516	39014	19063	6315	6202	5075	17607	8820	2441	3048	2126	10151	3057	1989	1980	2500	9899	2270	3222	1922	1976	8236	3313	2079	22	1411	9243	1221	2408	4170	1444	9255	11373	8194
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	244	456	11057	4971	3477	2067	798	10273	3789	3359	4040	-338	5377	1643	1360	2519	2214	13967	2450	4767	6088	2113	6489	555	4898	3690	448	3711	279	796	2095	886	24606	12190	4775	206	3718	56809	4360	13462	23576	15411	1739	1012	3608
Thu nhập khác###Other incomes	313	41	784	436	815	52	3	1845	1178	579	49	1046	1318	-2	15	369	934	1326	373	411	22	521	1195	12	269	614	138	1374	463	97	89	729	377	256	18	58	23	400	320	62	18	0	307	1924	517
Chi phí khác###Other Expenses	334	74	4764	2533	1094	1752	389	4165	4136	855	397	354	2175	1076	4	1288	23	687	194	138	354	1	651	166	224	44	41	838	544	90	205	2	57	3	15	-34	37	253	0	0	84	0	0	1144	3
Lợi nhuận khác###Other profits	-21	-33	-3980	-2097	-280	-1700	-386	-2320	-2958	-276	-348	691	-857	-1077	11	-919	911	639	179	273	-332	520	545	-154	45	570	96	536	-81	7	-116	727	320	253	3	92	-14	147	320	62	-67	0	306	780	514
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	223	423	7077	2874	3197	368	411	7953	831	3083	3692	353	4520	566	1371	1601	3125	14606	2630	5040	5756	2633	7034	401	4942	4261	544	4246	198	803	1979	1613	24926	12442	4777	298	3704	56955	4680	13524	23509	15411	2045	1791	4123
Chi phí thuế TNDN###Corporate Income Tax Expenses	74	85	2402	1306	480	271	82	1643	186	615	740	71	1195	113	286	334	630	3311	611	1013	1160	527	1789	125	1137	947	129	1119	164	197	625	355	6246	3115	1194	0	0	10012	0	0	0	0	358	450	721
Chi phí thuế TNDN###Corporate Income Tax Expenses	74	85	2402	1306	480	271	82	1643	186	615	740	71	1195	113	286	334	630	3311	611	1013	1160	527	1789	125	1137	947	129	1119	164	197	625	355	6246	3115	1194	66	935	10012	1170	3381	5898	3853	358	450	721
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	149	338	4674	1568	2717	97	329	6311	645	2468	2952	283	3325	453	1086	1267	2496	11295	2018	4028	4596	2106	5244	276	3806	3314	415	3128	34	607	1354	1258	18681	9328	3583	232	2769	46944	3510	10143	17611	11558	1687	1341	3401
---Cac Chi So Tai Chinh---																																													
EBITDA	-0.21	-0.45	-0.31	-0.31	-0.06	0.37	0.95	0.94	0.94	0.94	0.94	0.46	0.28	0.28	0.09	0.16	0.89	1.00	1.00	0.82	0.73	1.07	1.03	1.03	0.99	1.47	1.33	1.43	1.43	1.56	1.60	1.43	1.26	1.26	1.10	1.18	1.20	1.66	1.66	1.35	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	8.70	4.29	3.79	3.79	4.20	4.70	5.10	5.20	5.20	4.00	2.58	3.04	3.75	3.75	5.08	7.13	5.05	7.76	7.76	14.86	11.78	8.50	5.42	5.42	2.43	2.90	3.83	4.95	4.95	6.64	6.54	8.79	7.29	7.29	8.04	9.72	12.43	23.18	23.18	11.68	0.00	0.00	0.00	0.00	0.00
