CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Giá vốn hàng bán###Cost of goods sold	14517	4432	45531	3148	16010	21320	5053	41867	2969	17023	16571	5304	53367	2185	26445	19099	5639	55243	4262	22164	23655	5163	45993	1590	20260	18372	5771	48395	2920	22759	17741	4975	46922	1580	21437	19012	4892	48097	3789	21581	17506	5221	41114	2825	20535	14840	2914	41879	4950	20827	13160	2942	45060	3214	22725	13482	5640	40175	2117	21215	12719	4125	36178	4358	16018	11712	3582	28674	4214	20032
Lợi nhuận gộp###Gross profit	6560	1945	17459	1490	5085	8459	2425	16281	1661	4893	7664	2063	16168	2381	5005	6910	1872	16747	1998	5744	7270	1735	16106	1874	5798	6222	2212	16286	2210	6105	6160	1811	16067	1743	6654	5693	1978	14827	1774	5921	5415	1717	13840	1930	6278	4576	1057	12228	2226	5716	3507	779	10757	1871	4300	3251	1335	10217	2080	4086	2905	1146	8771	2133	3287	2518	1341	6498	997	5394
Doanh thu hoạt động tài chính###Financial activities Revenues	208	112	1025	510	129	178	208	615	261	107	57	191	557	314	38	106	99	462	118	171	19	155	177	66	4	37	70	233	81	4	32	115	68	22	10	31	6	178	187	5	48	12	174	54	35	49	36	753	84	430	40	199	109	22	43	39	28	254	99	28	17	110	34	10	8	14	2	13	6	15
Chi phí tài chính###Financial Expenses	-82	0	610	180	38	311	0	440	120	107	212	2	668	484	19	135	0	579	27	388	165	0	150	-160	89	172	49	226	103	41	79	3	146	-212	181	102	75	527	285	135	53	128	946	327	125	302	118	436	217	121	83	57	139	-44	76	56	51	544	272	105	63	104	430	172	258	0	7	141	33	62
Chi phí bán hàng###Selling Expenses	1875	458	4654	516	1639	1906	614	4059	468	1336	1831	424	3918	355	1439	1747	384	4105	514	1368	1964	258	3679	155	1609	1597	318	4586	695	1885	1600	407	4271	332	2058	1422	459	3803	477	1682	1279	365	3367	318	1866	889	344	3019	342	1839	673	157	2618	678	1067	651	221	2353	621	1006	587	136	1964	457	819	443	241	1584	426	1165
Chi phí quản lý doanh nghiệp###Managing Expenses	2240	1036	7475	1292	1695	3245	1260	6657	1332	1642	2421	1262	6347	1695	1589	2037	1032	6527	1330	2151	1974	1072	6673	1696	1989	1668	1320	5872	1342	1892	1663	974	5994	1416	1896	1737	945	5057	1113	1677	1505	763	4894	1188	1651	1299	731	4344	1347	1347	1090	542	3839	991	1207	1027	614	3422	801	1105	939	583	2927	1489	683	730	547	2106	602	1991
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2735	562	5744	12	1842	3174	759	5740	2	1915	3257	566	5793	161	1995	3098	556	5998	244	2007	3186	560	5781	250	2114	2821	596	5835	150	2292	2850	543	5725	229	2529	2463	505	5617	86	2433	2625	473	4807	151	2670	2135	-101	5182	404	2839	1701	223	4270	267	1993	1556	476	4152	485	1898	1332	433	3484	25	1534	1359	548	2681	-58	2191
Thu nhập khác###Other incomes	0	0	26	3	24	0	0	10	8	0	2	0	33	33	0	0	0	9	2	0	0	6	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	132	132	0	0	0	533	31	0	3	477	124	17	2	0	105	112	17	95	0	0	7	2	0	3	1	33	22	0	0	0	11	11	6
Chi phí khác###Other Expenses	17	0	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50	0	0	0	38	2	3	1	32	8	0	2	0	6	1	1	0	0	0	50	60	0	0	3	2	1	1	0	0	11	9	0
Lợi nhuận khác###Other profits	-17	0	-19	-43	24	0	0	10	8	0	2	0	33	33	0	0	0	-16	2	0	-25	6	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	83	83	0	0	0	495	29	-3	2	445	116	17	0	0	99	111	16	95	0	0	-44	-57	0	2	-2	31	21	-1	0	0	-1	1	6
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2718	562	5725	-30	1866	3174	759	5750	10	1915	3260	566	5826	194	1995	3098	556	5981	247	2007	3161	566	5784	250	2114	2824	596	5835	150	2292	2850	543	5725	229	2529	2463	505	5699	169	2433	2625	473	5302	180	2668	2137	344	5298	422	2839	1701	322	4381	283	2088	1556	476	4109	428	1898	1335	431	3515	47	1534	1359	548	2680	-57	2197
Chi phí thuế TNDN###Corporate Income Tax Expenses	594	100	1134	0	378	645	119	1138	8	388	661	81	1160	44	398	619	104	1244	55	407	696	85	1270	60	475	619	116	1267	32	504	620	112	611	57	243	0	0	493	0	0	0	118	919	-365	609	684	0	1281	62	757	462	0	779	66	365	272	83	604	75	266	186	60	1002	-106	328	380	153	750	377	615
Chi phí thuế TNDN###Corporate Income Tax Expenses	594	100	1134	0	378	645	119	1138	8	388	661	81	1160	44	398	619	104	1244	55	407	696	85	1270	60	475	619	116	1267	32	504	620	112	611	57	243	256	50	493	26	426	417	118	919	-365	609	620	0	1281	62	757	506	0	779	66	365	272	83	604	75	266	187	60	1002	-107	328	381	154	750	378	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2124	462	4591	-31	1488	2529	639	4612	1	1527	2599	485	4665	151	1597	2479	452	4737	191	1600	2465	481	4514	189	1639	2206	480	4568	119	1787	2230	431	5114	172	2286	2207	454	5206	143	2007	2208	355	4383	546	2059	1517	344	4017	360	2082	1195	322	3602	217	1723	1284	393	3504	353	1633	1148	370	2513	154	1205	979	395	1930	-434	1582
---Cac Chi So Tai Chinh---																																																																						
EBITDA	0.15	0.15	-0.10	-0.10	0.01	0.10	0.08	0.06	0.06	0.06	-0.07	-0.19	-0.36	-0.36	-0.69	-0.18	-0.17	0.19	0.19	0.07	0.08	0.13	0.09	0.09	0.07	0.08	0.06	0.17	0.17	0.13	0.24	0.37	0.89	0.89	0.53	0.75	0.72	0.67	0.67	0.66	0.55	0.71	0.75	0.75	0.88	0.90	0.82	0.80	0.80	0.78	0.67	0.85	0.83	0.83	0.73	1.02	1.11	1.26	1.26	1.56	1.33	1.23	0.10	0.10	0.04	0.05	0.03	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.40	14.00	15.51	15.51	14.87	14.14	14.59	14.59	14.59	14.10	13.02	13.68	13.52	13.52	12.84	12.77	12.39	11.90	11.90	12.79	10.73	10.25	10.04	10.04	9.71	9.65	10.33	10.64	10.64	9.78	10.06	10.52	9.19	9.19	6.44	5.97	5.42	4.83	4.83	3.88	3.97	3.62	2.97	2.97	2.97	2.37	3.52	3.30	3.30	4.12	4.40	4.28	4.30	4.30	4.65	4.12	2.96	2.93	2.93	4.78	3.12	5.20	11.83	11.83	5.28	4.85	5.28	3.38	3.38	0.00
