CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Doanh thu thuần###Net Sales	16517	29878	91481	43405	26352	21723	33501	130415	40046	61709	28660	32232	145817	55192	43497	47128	96113	142277	77622	30375	34280	25765	168319	77428	65591	25300	50960	94243	38016	28687	27540	39655	164354	33849	63843	27008	27008	142132	33509	34009	49434	27673	202879	89902	28503	58887	25586	211106	80945	47712	40119	40960	282895	99017	88135	57710	38033	233217	78443
Giá vốn hàng bán###Cost of goods sold	10159	18508	57102	27161	16662	13279	20498	87294	24133	43546	19616	15351	90655	35504	27499	27652	76540	87134	48333	18027	20774	15672	112928	53890	45467	13571	32533	56070	21036	17267	17767	25268	109755	24175	41734	18577	18577	97120	20034	21956	36122	17853	138377	65691	17199	40352	15287	142863	66246	31889	25318	25031	189318	70475	57431	35181	24585	158473	54610
Lợi nhuận gộp###Gross profit	6358	11370	34379	16245	9691	8444	13003	43120	15913	18163	9044	16881	55162	19688	15998	19476	19573	55144	29289	12349	13506	10093	55392	23538	20124	11729	18427	38173	16980	11420	9773	14386	54599	9674	22108	8431	8431	45012	13474	12054	13312	9821	64502	24211	11304	18535	10299	68243	14700	15823	14802	15929	93577	28542	30704	22529	13448	74744	23834
Doanh thu hoạt động tài chính###Financial activities Revenues	542	732	2087	787	736	566	367	1559	448	623	489	556	2689	806	972	912	735	2778	908	933	936	1191	3249	1134	1003	1112	1279	3925	1423	1531	971	2553	6543	459	2814	717	717	4024	31321	544	2463	543	2985	754	563	1035	600	6792	4144	1408	912	161	2011	730	431	164	238	224	118
Chi phí tài chính###Financial Expenses	111	73	334	134	82	121	184	259	79	144	38	118	4	0	1	3	-338	989	365	282	341	460	1307	310	666	331	228	473	160	160	153	3286	3975	302	342	45	45	958	182	548	72	67	2035	620	336	428	492	3043	533	537	731	1016	12655	2927	3843	2364	2653	3032	1049
Chi phí bán hàng###Selling Expenses	3179	4265	12018	4371	4036	3612	4806	13089	5308	4303	3478	5520	14221	4863	4826	4533	6283	12782	5089	3987	3706	5625	13967	5514	5024	3429	5333	14723	5652	4827	4244	3333	14637	3840	4092	3372	3372	13906	3308	3558	3556	3775	16653	5957	3215	3959	3522	18101	4660	3871	4419	3308	21645	5253	3587	8192	4630	13699	0
Chi phí quản lý doanh nghiệp###Managing Expenses	2256	4072	9037	2766	2913	3357	3464	9514	3176	3540	2798	2934	9762	3382	3274	3106	2528	9471	4621	2492	2358	3719	8106	2505	2975	2626	5540	7726	2901	2322	2503	5013	15235	3253	3151	3817	3817	12544	3945	3234	3476	3144	11427	4871	2751	1913	1901	10790	4410	2080	2036	1967	7560	3052	2486	873	1285	5795	10417
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1354	3691	15078	9762	3395	1921	4917	21818	7799	10800	3219	8865	33864	12249	8869	12747	11835	34680	20121	6522	8037	1481	35261	16343	12462	6455	8605	19176	9690	5642	3845	5307	27296	2738	17336	1914	1914	29146	37360	5258	8672	3378	42821	13518	5565	13270	4985	43567	9241	10744	8527	9800	53728	18040	21218	11265	5118	52442	12485
Thu nhập khác###Other incomes	1	29	8	0	0	8	0	7	0	6	0	421	0	0	0	0	746	75	8	29	38	134	83	76	5	1	1	22	0	22	0	239	566	8	57	263	263	407	228	1	390	8	910	315	539	52	4	172	119	14	5	73	87	78	2	14	23	32	10
Chi phí khác###Other Expenses	102	0	162	45	0	117	3	154	32	0	122	34	145	4	0	141	0	71	0	31	40	6	109	18	90	0	78	163	3	50	110	13	36	11	10	2	2	201	4124	42	150	3	168	31	84	19	34	176	3	140	18	4	709	458	78	225	70	24	0
Lợi nhuận khác###Other profits	-101	29	-154	-45	0	-109	-3	-148	-32	6	-122	387	-145	-4	0	-141	746	3	8	-2	-3	129	-26	58	-85	1	-77	-141	-2	-28	-110	226	531	-3	46	262	262	206	-3896	-41	240	5	741	284	455	33	-30	-4	116	-126	-14	70	-622	-381	-76	-212	-47	9	10
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1253	3719	14924	9717	3395	1812	4914	21670	7767	10806	3097	9252	33720	12245	8869	12606	12581	34683	20129	6520	8034	1609	35235	16401	12377	6457	8528	19035	9687	5613	3735	5533	27826	2735	17382	2176	2176	29352	40862	7290	11066	5331	43562	15627	27863	14745	5914	43563	9357	11732	10543	9870	56834	17659	21142	11053	5071	52478	12495
Chi phí thuế TNDN###Corporate Income Tax Expenses	229	992	2911	1553	810	548	1108	4404	1589	2160	655	1628	7077	2719	1781	2577	2211	7467	4497	1418	1684	675	7474	3531	2512	1431	1715	4473	2379	1231	863	1347	6355	629	3778	602	0	4304	0	0	0	1088	5936	812	1441	2701	1134	8387	2014	2073	2155	1976	7348	1337	3046	2766	832	7440	3447
Chi phí thuế TNDN###Corporate Income Tax Expenses	229	998	2870	1553	769	548	1098	4403	1589	2159	655	1641	7052	2719	1757	2577	2218	7442	4497	1393	1684	667	7397	3531	2434	1431	1791	4531	2379	1289	863	1496	6494	629	3768	602	602	4304	14318	989	1663	565	5774	800	1441	2551	1134	8571	1118	2073	2155	1976	7106	1337	3046	1934	641	7698	3447
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	-7	41	0	41	0	10	1	0	1	0	-13	25	0	25	0	-7	25	0	25	0	8	78	0	78	0	-76	-58	0	-58	0	-150	-139	0	10	0	0	0	11	0	0	0	162	12	0	150	0	-184	-292	0	0	0	243	0	0	0	192	-258	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	949	3113	12207	8797	2418	993	3643	19013	6546	9644	2442	8117	28098	10473	7495	10128	11583	28839	16434	5102	6350	935	33128	12870	9865	5025	6812	16436	7308	4382	2872	4186	25097	2107	13605	1574	1574	25047	26533	6301	9403	4766	37626	14815	5764	12044	4780	35176	8530	9659	8388	7894	49486	16322	18096	9119	4238	45038	9048
---Cac Chi So Tai Chinh---																																																											
EBITDA	0.01	0.29	-0.36	-0.36	-0.47	-0.68	-0.42	-0.48	-0.48	-0.45	-0.31	-0.58	-0.26	-0.26	0.60	0.39	-0.18	0.35	0.35	0.90	0.61	0.63	0.30	0.30	0.17	0.04	0.37	0.28	0.28	0.33	0.50	0.08	0.46	0.46	0.23	0.20	0.03	0.09	0.09	0.05	0.11	0.20	0.01	0.01	0.17	0.19	0.35	0.72	0.72	0.62	0.66	0.62	-0.22	-0.22	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	20.82	26.69	29.04	29.04	32.61	35.47	31.23	70.41	70.41	54.18	66.49	54.91	62.63	62.63	53.91	35.89	35.02	35.18	35.18	23.74	32.57	20.99	19.52	19.52	17.46	13.75	12.58	12.32	12.32	12.06	10.32	10.69	10.57	10.57	7.70	10.24	5.92	6.15	6.15	4.88	8.05	5.43	4.29	4.29	4.73	4.78	6.73	7.33	7.33	8.68	11.07	11.81	9.44	9.44	0.00	0.00	0.00	0.00	0.00
