CAN DOI KE TOAN	 2019	 2018	 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	123283	85596	80957	27428	120432	26020	31492	37473	25678	119409	30570	33447	29407	25984	50357	19723	12183	11780	6670	57807	8956	15201	12892	20062	94944	27204	21998	31516	13997	99727	26271	16511	35975	20969	94660	19567	25628	32236	17228	86999	22277	21070	22622	21030	82724	18149	23947	26075	14553	43067	20994	27970
Các khoản giảm trừ doanh thu###Deduction revenues	342	0	0	0	19	0	19	0	0	0	0	0	0	0	4075	2855	-20	1179	61	6480	1342	2482	868	1788	9594	2640	2034	3904	944	10209	2337	611	4419	2843	8751	2139	2456	3271	885	7591	2714	1389	1960	1528	4560	1244	1492	1308	515	0	0	0
Doanh thu thuần###Net Sales	122941	85596	80957	27428	120414	26020	31473	37473	25678	119409	30570	33447	29407	25984	46281	16868	12203	10601	6610	51326	7614	12719	12024	18273	85350	24564	19964	27612	13054	89517	23935	15900	31556	18126	85909	17427	23172	28965	16344	79408	19563	19681	20662	19503	78164	16905	22455	24767	14038	43067	20994	27970
Giá vốn hàng bán###Cost of goods sold	90252	70309	48150	13630	66850	19180	15301	20268	12367	66598	18147	16337	17937	17227	37140	11583	9434	9467	6656	39533	6188	9477	8654	12433	57398	15485	12624	16762	10671	73034	22921	11773	17001	8904	45783	9190	11874	15223	9460	41699	10592	9981	12066	9398	43341	8337	12969	14729	7306	20355	9371	15791
Lợi nhuận gộp###Gross profit	32689	15286	32806	13798	53563	6839	16172	17204	13312	52810	12423	17110	11470	8757	9142	5285	2769	1135	-47	11793	1426	3242	3370	5840	27952	9079	7340	10850	2382	16483	1013	4127	14555	9222	40125	8238	11298	13743	6884	37709	8971	9700	8595	10104	34823	8567	9486	10038	6732	22712	11623	12179
Doanh thu hoạt động tài chính###Financial activities Revenues	3265	151	309	85	508	257	61	108	83	722	178	538	72	12	83	1	4	75	4	282	7	92	70	17	5850	1322	4464	49	15	2532	264	170	710	1374	1768	706	386	286	433	1924	458	676	533	256	564	205	74	282	4	51	25	22
Chi phí tài chính###Financial Expenses	1343	1207	905	189	2121	189	110	155	1667	15247	5024	6413	448	360	1768	388	402	510	468	2890	658	639	927	685	4190	985	802	1536	862	5449	1507	1108	1117	1017	2825	858	599	671	652	2648	710	509	722	685	4965	963	784	647	721	2705	700	3191
Chi phí bán hàng###Selling Expenses	17416	2536	14100	5948	29296	4959	8283	8896	7108	25880	6098	8272	6022	5488	7244	3833	1577	1091	743	8291	1408	2911	715	3227	22508	6230	5656	7929	2860	23451	6015	2470	9630	5387	22952	4627	6799	8006	3520	20862	4758	5681	4737	5687	20229	4735	5294	6676	3524	15155	8222	7041
Chi phí quản lý doanh nghiệp###Managing Expenses	11041	12097	10114	3394	9477	2314	2598	2516	2041	8379	1056	1097	1201	1322	9334	5630	828	1434	1443	6542	1424	1195	1902	1694	8732	1929	1701	2988	1815	10002	2613	1644	1697	1646	7023	1789	1750	2148	1275	5487	1319	1156	1467	1487	5732	1720	1512	1402	1098	3031	1012	1307
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	6155	-402	7996	4352	13178	-365	5242	5745	2579	4027	424	1867	3871	1599	-9121	-4566	-34	-1825	-2697	-5647	-2056	-1411	-104	251	-1628	1256	3645	-1555	-3140	-19887	-8858	-925	2820	2546	9094	1671	2535	3203	1869	10637	2643	3030	2202	2502	4462	1354	1970	1594	1393	1873	1713	662
