CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Giá vốn hàng bán###Cost of goods sold	150666	205978	731109	177370	157634	202354	193760	733438	165497	175297	185592	207965	640681	175026	157277	175885	132421	579312	161700	134945	157071	125758	701943	133540	190310	205324	202196	955669	206418	281852	226946	240453	895285	276688	267287	194752	237771	824865	223853	241260	189745	216776	851134	263096	246119	187143	201688	624693	195147	174739	134815	175610	669742	241142	184556	171084	134948	714061	198648	177065	400989	183027	642588	193318	140961	172753	132785	557885	148511	145227	147505	122066	445787
Lợi nhuận gộp###Gross profit	29167	33310	114157	24633	27553	40397	21564	129917	22933	27000	41759	37313	140897	33675	30700	40741	35816	177123	44560	47310	55732	28654	53658	20340	-20366	29371	7106	122945	31635	47496	30281	13533	135603	38386	34703	35303	27701	65327	30835	20314	10220	2995	70667	7639	8523	30892	23567	107589	26752	11125	21772	43943	156903	68698	60103	30067	2032	72374	-5341	27185	50889	25662	61490	18494	14546	16682	14472	73659	17866	10672	24514	21814	58342
Doanh thu hoạt động tài chính###Financial activities Revenues	2566	538	3460	1833	498	1252	181	4351	212	718	1305	602	5153	880	510	3015	693	8017	4588	451	2544	640	3932	1784	852	544	567	5775	1180	1758	1362	1475	5229	512	1615	1602	1013	3111	1312	114	776	435	4605	707	595	1930	1285	6510	389	391	2024	1908	5027	2292	1648	936	347	5312	1253	253	2653	2003	1879	926	103	215	733	433	323	52	94	60	522
Chi phí tài chính###Financial Expenses	3111	2993	15018	4371	4324	3631	2711	11663	3261	2566	3099	2327	10608	3252	2084	2498	2779	7031	2211	1267	1856	1411	19633	5038	5118	6273	3445	17121	6773	3926	4183	2238	15417	3821	3820	4150	3394	14583	2832	3296	4163	4073	51157	6958	5081	26868	10644	35319	4611	12585	11768	10919	40347	10808	7951	7587	9294	38563	13271	6073	13545	2721	15891	4006	4699	3681	3419	16186	4644	4003	3691	3177	13014
Chi phí bán hàng###Selling Expenses	2746	2985	10502	1869	2218	3905	2510	10565	2325	2029	3753	2457	9631	3256	2475	2534	1866	7903	2823	2180	1560	1340	5090	1335	678	13	3365	7456	400	3536	144	3375	9000	1911	4081	1131	3479	8559	1923	3729	2286	2093	7608	1771	3544	1534	1930	7083	1514	1785	1913	1951	8887	2541	2836	2189	1299	9597	1847	3177	4581	1907	6531	1616	1737	1283	1162	5766	1208	1720	1201	1279	5277
Chi phí quản lý doanh nghiệp###Managing Expenses	10421	11086	39997	10102	9743	10765	9382	39089	9287	9688	9955	10122	38661	8821	9871	10194	9388	36643	9530	8670	9364	9078	39865	8526	9215	14435	9369	44915	13174	9230	13336	9175	41822	11164	8743	11734	8687	41129	9615	9506	10030	10125	45292	11005	9010	10173	9890	35719	9290	9740	10240	7225	33402	9051	8573	8831	5722	31340	6325	5899	16140	6733	25661	5986	5765	5996	5595	35132	8814	7974	8223	7678	40263
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	15454	16784	52100	10124	11766	23348	7141	72952	8274	13435	26256	23008	87150	19226	16780	28530	22476	133562	34584	35643	45496	17465	-6998	7225	-34525	9194	-8507	59228	12468	32561	13979	220	74593	22002	19674	19890	13154	4168	17777	3896	-5483	-12861	-28785	-11388	-8518	-5752	2388	35978	11725	-12593	-126	25755	79294	48591	42391	12396	-13936	-1814	-25531	12289	19276	16305	15286	7812	2448	5936	5030	17009	3522	-2973	11492	9740	310
Thu nhập khác###Other incomes	5	0	215	51	26	138	0	220	93	125	1	0	532	91	317	86	35	309	990	55	-135	359	21166	1802	128888	320	529	1384	-730	1435	-508	1188	4225	2390	715	1180	398	5661	2937	1351	1152	1162	5949	2111	1185	1867	1429	5907	1232	667	682	1664	6594	1054	2003	2297	1703	6523	2638	2770	3225	872	7131	1238	1173	855	1264	4674	2096	479	355	743	10014
Chi phí khác###Other Expenses	173	8	1421	105	1312	2	1	159	1	1	145	3	84	1	14	40	0	24105	281	601	126	23349	2558	1841	84300	564	363	7405	1579	953	239	4635	5481	1153	1298	711	1930	4976	2763	1419	305	755	4120	1287	832	932	1021	22545	1823	11752	8244	1799	3526	1414	415	447	549	2845	1431	1029	1351	183	1930	124	301	40	956	2150	888	69	8	21	1929
Lợi nhuận khác###Other profits	-167	-8	-1205	-54	-1286	135	-1	61	92	125	-144	-2	448	90	303	47	35	-23796	708	-546	-261	-22990	18609	-39	44588	-243	166	-6021	-2309	482	-747	-3447	-1256	1238	-583	469	-1532	685	174	-68	847	407	1829	823	353	935	409	-16638	-590	-11085	-7562	-135	3068	-361	1588	1851	1154	3678	1207	1741	1874	689	5201	1115	872	816	308	2524	1208	410	347	722	8085
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	15287	16776	50895	10070	10480	23484	7140	73013	8366	13559	26112	23005	87598	19316	17083	28577	22510	109766	35292	35096	45235	-5525	11611	7186	10063	8950	-8340	53207	10158	33042	13233	-3226	73337	23239	19091	20359	11621	4853	17952	3828	-4636	-12455	-26956	-10564	-10184	-4817	2797	19340	11135	-23678	-7688	25620	82362	48230	43980	14247	-12782	1864	-24324	14030	21149	16994	20488	8926	3320	6752	5337	19533	4730	-2563	11840	10462	8395
Chi phí thuế TNDN###Corporate Income Tax Expenses	2643	2893	8651	1917	1843	3146	1596	11094	1342	2450	3438	3952	10181	2016	1895	3530	2685	17955	4450	4150	5914	3176	7047	2904	1661	2136	1157	9648	1866	4515	1614	1625	8887	2375	1984	2385	0	3438	0	0	0	162	1066	-634	825	423	656	6676	1833	-530	0	3428	8131	2791	2547	2801	-74	700	-772	599	0	0	0	0	0	17	0	1142	0	0	428	286	1468
Chi phí thuế TNDN###Corporate Income Tax Expenses	2643	2893	8651	1917	1843	3146	1596	11094	1342	2450	3438	3952	10181	2016	1895	3530	2685	17955	4450	4150	5914	3176	7047	2904	1661	2136	1157	9648	1866	4515	1614	1625	8887	2375	1984	2385	1824	3438	2017	784	207	162	1066	-634	825	423	656	6676	1833	-530	1148	3428	8131	2791	2547	2029	-74	693	772	599	0	0	0	0	0	18	0	1142	0	0	428	286	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	12644	13883	42244	8153	8637	20337	5545	61919	7024	11109	22675	0	77417	0	0	0	0	91811	30843	30946	39321	-8700	4564	4282	8402	6814	-9497	43558	8292	28527	11618	-4851	64451	20864	17107	17974	9798	1415	15934	3044	-4843	-12616	-28023	-9931	-8989	-5240	2140	12664	9302	-23148	-8836	22191	74231	45439	41433	12217	-12709	1171	-25096	13431	21149	16994	20488	8926	3320	6734	5337	18391	4730	-2563	11411	10176	6927
---Cac Chi So Tai Chinh---																																																																									
EBITDA	-0.95	-0.49	1.14	1.14	0.47	0.20	0.06	-0.06	-0.06	-0.04	0.12	0.51	0.68	0.68	-0.22	-0.10	-1.04	-0.40	-0.40	0.25	-0.39	-0.14	-0.07	-0.07	0.06	0.33	0.20	0.33	0.33	0.25	0.76	1.31	1.40	1.40	1.35	0.61	0.46	0.52	0.52	0.47	0.61	1.15	1.20	1.20	1.33	1.37	1.22	1.29	1.29	0.77	0.65	0.67	0.62	0.62	0.80	1.13	1.23	1.27	1.27	1.42	0.97	0.80	-0.04	-0.04	-0.07	-0.07	-0.08	0.34	0.34	0.70	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.90	8.11	14.60	14.60	8.11	9.07	8.19	7.86	7.86	8.60	9.10	8.75	8.38	8.38	10.35	10.35	7.98	6.78	6.78	5.65	5.34	5.65	5.28	5.28	6.28	5.44	5.05	6.34	6.34	5.05	4.27	6.12	5.54	5.54	3.98	3.01	6.22	2.43	2.43	2.23	2.72	3.40	2.09	2.09	3.35	3.64	4.08	4.91	4.91	7.24	8.60	10.70	6.50	6.50	5.62	4.81	3.72	3.64	3.64	5.49	4.36	6.39	10.73	10.73	11.23	12.91	18.18	11.43	11.43	9.83	11.32	0.00	0.00
