CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Các khoản giảm trừ doanh thu###Deduction revenues	19224	4689	132255	54976	17923	22074	37282	64427	0	9512	54916	0	140279	81836	0	42872	0	94479	4101	47645	9401	0	32300	91	0	32209	0	455	0	0	455	0	0	0	25	0	337	71	0	2	69	0	9970	0	0	6005	2999	49860	894	18590	24541	24541	68401	2999	0	0
Doanh thu thuần###Net Sales	195366	138079	656273	308853	153366	77523	116530	468492	172735	79333	190318	24240	367490	-66128	115519	147322	312348	1019531	211987	213489	410566	409032	1389613	517826	311511	311072	257363	328397	296926	2734	4933	3611	438749	55304	99180	175686	108218	301941	130247	81451	75562	14453	206006	7229	49783	38290	118824	1183438	724597	233388	149313	149313	476222	118824	42349	99275
Giá vốn hàng bán###Cost of goods sold	149306	114158	427514	250873	102288	9352	65001	285784	119271	19657	130969	12516	250589	-22026	70135	87907	229158	700220	81300	153050	317736	306618	1001995	344295	212533	242178	216005	256001	232066	1988	4919	3559	330847	45356	68669	123672	92002	208966	93609	58985	46524	9781	98109	4236	31991	20812	43615	558814	215181	113335	95562	95562	349751	43615	33574	84840
Lợi nhuận gộp###Gross profit	46060	23921	228758	57980	51078	68171	51529	182707	53464	59675	59349	11724	116901	-44102	45384	59415	83189	319310	130687	60439	92830	102414	387618	173530	98978	68895	41358	72396	64861	746	13	52	107902	9948	30510	52014	16215	92975	36638	22466	29038	4672	107897	2992	17792	17478	75208	624624	509416	120053	53751	53751	126470	75208	8775	14435
Doanh thu hoạt động tài chính###Financial activities Revenues	894	902	5584	1190	1322	1527	1545	91662	25371	1690	7869	56732	178582	141375	23235	20463	20	2032	3614	9444	-1197	3185	215744	189174	52	9626	16893	102091	14169	26259	46860	23651	51572	32601	10361	-2544	11154	45379	1513	5576	16014	22277	187942	67803	51526	47608	18747	18296	18045	199	342	342	6320	18747	3539	2580
Chi phí tài chính###Financial Expenses	15488	5731	49428	14774	12473	15723	10068	54283	12207	9932	11083	21062	64631	16608	16466	19970	18891	97947	44065	25135	18275	10472	53447	12287	12478	20348	8977	56072	22007	8931	25872	8981	83491	28083	9841	35521	9561	73206	18122	14470	24057	14631	88089	24083	9434	25095	11265	51575	16252	11950	11579	11579	29602	11266	4149	1483
Chi phí bán hàng###Selling Expenses	8861	4045	21905	13174	2155	3100	3476	28487	7377	2107	8613	11553	28558	10120	5660	7468	6288	61597	13223	11759	23381	13235	44764	19799	9881	5756	9292	35035	19649	4244	5986	4810	16681	4205	3765	4622	3775	18988	5359	6111	3553	3966	34685	10744	9758	10020	7347	26630	7294	3996	3718	3718	8056	7347	2712	2279
Chi phí quản lý doanh nghiệp###Managing Expenses	15056	10287	87890	18650	19059	24198	25816	117881	40601	23963	31572	22719	103700	43137	30813	16249	33681	137476	34426	27024	44185	22410	91135	36079	12251	27514	5251	43506	9129	7179	10055	7619	37067	7192	7160	7130	7410	27522	5245	6273	8874	7085	103587	26468	20957	23633	23010	71927	19949	22870	21211	21211	29674	23010	4748	3603
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7549	4760	75120	12572	18715	26678	13714	73718	18651	25363	15949	13122	98593	27408	16044	37191	24885	26110	43173	6344	8820	61375	419885	620371	64420	24902	34730	39875	28243	6651	4961	2293	22236	3069	20105	2198	6623	18638	9425	1188	8568	1267	46795	9502	29169	6339	52333	492788	483965	81435	17586	17586	65458	52332	705	9651
Thu nhập khác###Other incomes	1212	850	7773	5930	119	1231	493	5512	1663	821	2547	481	1234	328	361	-1449	4477	26526	15578	9081	579	1561	309762	1804	1327	1049	834	1576	205	950	46	374	9872	366	83	9249	174	6965	112	262	5764	827	2081	918	145	336	1651	54237	52484	921	299	299	15145	1651	2306	3185
Chi phí khác###Other Expenses	2967	1247	23006	4436	6289	7896	776	24107	5943	12837	4854	473	14538	3296	2037	7280	2205	20374	2486	1200	1861	435	9513	2190	5753	1104	465	3464	1182	549	298	1436	2029	235	8	14	1772	1260	692	82	100	386	1560	1205	171	70	280	6742	2012	88	1416	1416	5027	280	546	2501
Lợi nhuận khác###Other profits	-1756	-397	-15233	1495	-6170	-6665	-283	-18595	-4279	-12016	-2307	8	-13304	-2967	-1676	-8729	2273	6152	13092	7881	-1282	1126	300250	-386	-4426	-55	368	-1888	-976	401	-252	-1061	7844	131	75	9235	-1598	5704	-581	180	5664	442	521	-287	-26	266	1371	47494	50472	833	-1118	-1118	10118	1371	1760	684
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5793	4363	59887	14066	12545	20013	13431	55123	14371	13347	13642	13130	85289	24441	14368	28462	27157	32262	56265	14224	7538	62502	720134	619985	59994	24847	35098	37987	27267	7051	4709	1232	30079	3200	20180	11434	5025	24342	8844	1368	14231	1708	47316	47316	5250	6605	53703	540282	534437	82268	16468	16468	75577	53702	2465	10335
Chi phí thuế TNDN###Corporate Income Tax Expenses	1846	844	18389	3863	2507	9363	2686	12622	3657	2717	3544	2626	19911	5549	3642	7597	6338	12170	11490	3665	2327	10801	78776	64050	9326	5075	4468	7868	5845	1551	941	0	7066	817	5061	0	0	5294	0	0	0	0	21583	5042	2060	689	13791	129246	113273	19218	7818	7818	16160	0	600	3469
Chi phí thuế TNDN###Corporate Income Tax Expenses	1846	844	18389	3863	2507	9363	2686	12622	3657	2717	3544	2626	19911	5549	3324	7970	6347	10655	11954	2951	970	10810	78323	64963	9326	5075	4468	7868	5845	1551	941	0	3762	817	5061	2901	727	5294	2409	342	2759	402	9780	5026	3376	2807	1247	55665	12569	3048	19291	19291	20708	1247	332	3783
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	-373	-9	1515	-465	715	1357	-9	452	-912	0	0	0	0	0	0	0	0	3305	0	0	0	0	0	0	0	0	0	11803	16	-1316	535	12545	73581	100704	16170	-11473	-11473	-4548	12545	268	-314
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3947	3519	41499	10203	10038	10649	10745	42500	10715	10630	10098	10504	65377	18892	10865	20953	20841	20564	44775	10559	5212	51700	641529	555935	50667	19772	30631	30118	21422	5500	3768	1232	23013	2383	15119	8533	4298	19048	6435	1026	11472	1307	25733	7521	3189	3263	39912	411036	421163	63050	8650	8650	59417	39911	1865	6866
---Cac Chi So Tai Chinh---																																																								
EBITDA	-0.09	-0.29	0.11	0.11	0.37	0.52	0.71	0.69	0.69	0.68	0.62	0.61	0.58	0.58	1.63	2.04	1.42	1.25	1.25	1.22	0.71	0.82	0.74	0.74	0.79	1.31	1.82	1.65	1.65	1.76	1.82	1.36	0.95	0.95	0.90	1.05	1.43	1.60	1.60	1.85	1.91	1.50	1.55	1.55	1.17	0.97	0.91	0.09	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.62	1.00	1.08	1.08	1.16	1.39	1.42	1.46	1.46	1.83	2.01	2.27	2.61	2.61	3.25	3.21	2.66	2.28	2.28	5.18	5.00	5.28	4.91	4.91	4.72	5.15	5.96	6.59	6.59	6.87	7.05	8.35	6.70	6.70	5.22	5.74	3.70	3.41	3.41	2.76	3.63	3.70	2.27	2.27	6.67	10.83	17.89	18.66	18.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00
