CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2043266	8	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2262688	2308654	2277858	2287886	2413184	2417263	2462431	2445465	2438327	2532183	2497639	2734317	2623871	2639733	2633045	2566988	2778383	2653855	2644855	2603061	2567762	2727479	2671562	2675207	2703330	2653638	2702305	2654023	2658793	2703028	2623523	2764004	2298599	2289479	2218639	2173657	2220395	2264212	2157824	2061064	1888849	1957123	1939022	1890607	1622939	1409417	1285112	1254625	1228064	1122204	1008411	893063	828712	878684	771294	711908	694908	680846	683228	726979	625339	678015	630870	668134	599462	484318	306641
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	-4131	-8359	-9730	-9730	-4614	-5488	-5488	-9261	-9261	-3196	-3196	-3196	-3196	-3196	0	-3072	0	0	0	-979	-979	-979	-979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-51	54	0	0	0	0	425	0	45618	43293	45618	21917	35495	35670	40999	44198	26962	425	37689	40455	0	24849
Vốn chủ sở hữu ###Owners equity	2266819	2317014	2287589	2297616	2417798	2422752	2467919	2454726	2447589	2535379	2500835	2737513	2627067	2642929	2633045	2570060	2778383	2653855	2644855	2604040	2568740	2728458	2672541	2675207	2703330	2653638	2702305	2654023	2658793	2703028	2623523	2764004	2298599	2289479	2218639	2173657	2220395	2264212	2157824	2061064	1888849	1957123	1939022	1890607	1622939	1409468	1285058	1254625	1228064	1122204	1008411	892639	828712	833066	728001	666290	672992	645351	647558	685980	581141	651053	630445	630445	559006	484318	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467197	0	462026	434455	423800	420149	423054	86605	85261	85212	85057	84222	93327	40843	30725	33002	28909	29364	29101	28169	27876	27263	26866	22156	21955	17366	17365	10079	12893	6992	4250	3090	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3313448	3257030	3328252	2882330	2855871	2724403	2730274	2821172	2797074	2538077	2429192	2354223	2430078	2420862	2227604	1867901	1830525	1676041	1675789	1467942	1256611	1197131	1246311	1247383	1137153	1025713	966291	1045096	1043454	1096907	972179	993771	1133608	1131502	1034032	1700996	519464



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
