CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	795859	688662	3253305	874553	810850	846312	721589	3084501	934546	718952	811933	619071	3151282	902644	668007	885222	694271	3252050	857386	751430	902854	736810	2999849	874645	689665	719628	695165	3105305	905960	776012	760383	662950	3052267	937812	692222	791177	631055	2808650	767366	625479	770425	645380	2846359	878545	709446	735675	522693	1237147	430036	217082	273935	316094	1431266	404463	331785	371774	323243	1195059	346010	266216	329879	252953	1061576	350853	252380	255847	202497	0	992374
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-37867	37867	175026	76497	36685	37446	24398	181905	50292	37284	46338	47991	200229	81837	43951	41630	32811	118400	44132	24346	30292	19630	25437	22533	2903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	795859	688662	3253305	874553	810850	846312	721589	3084501	934546	718952	811933	619071	3151282	902644	668007	885222	694271	3252050	857386	751430	902854	736810	2999849	874645	689665	757495	657298	2930279	829463	739327	722938	638552	2870362	887521	654938	744839	583064	2608420	685529	581529	728794	612569	2727959	834413	685100	705383	503064	1211710	407503	214178	273935	316094	1431266	404463	331785	371774	323243	1195059	346010	266216	329879	252953	1061576	350853	252380	255847	202497	693664	992374
Giá vốn hàng bán###Cost of goods sold	699252	599311	2845613	779220	726715	721314	618364	2653285	780075	623576	694510	548324	2710191	785307	577828	754472	591859	2699394	710699	633837	739308	617236	2467772	768624	581590	600076	518147	2330490	643851	585842	584311	516370	2335008	683965	551278	601767	498474	2081589	553029	506700	581371	441536	2006655	601538	510714	524466	371956	917013	313919	166827	200411	234836	1064057	322650	235909	263656	245255	902662	244904	201055	244061	211694	696067	212669	178797	168454	130232	0	688084
Lợi nhuận gộp###Gross profit	96606	89351	407692	95334	84135	124998	103225	431216	154471	95376	117423	70747	441090	117337	90179	130750	102412	552656	146686	117593	163546	119574	532077	106020	108076	157418	139151	599789	185612	153484	138626	122181	535354	203555	103660	143071	84591	526832	132500	74829	147423	171033	721305	232875	174386	180917	131107	294697	93584	47351	73524	81257	367209	81813	95876	108119	77988	292397	101106	65162	85818	41259	365510	138184	73583	87392	72265	0	304289
Doanh thu hoạt động tài chính###Financial activities Revenues	308	1737	3508	359	8105	-2177	2852	7836	6310	32	5399	143	773	351	36	93	293	25631	31438	2098	633	2054	56187	29305	1066	-49343	106039	132861	129226	1860	176	1600	1387	248	105	227	792	7967	383	5346	1033	1205	3078	781	1024	531	742	54502	786	5331	611	605	2610	687	531	715	678	1633	426	584	366	257	1396	181	131	106	92	0	3048
