CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Thu nhập khác###Other incomes	37	442	1234	625	206	89	314	137	26	39	17	56	64	43	14	8	0	955	439	489	23	4	1256	261	368	316	312	474	165	211	98	0	4749	292	884	3399	174	2834	1748	134	0	952	745	454	12	247858	1	3247	3100	147	6	5383	2732	1546	4810
Chi phí khác###Other Expenses	10	46	2134	1820	143	61	224	327	166	31	105	25	776	161	1	604	10	2427	1611	773	46	0	462	459	5	0	0	35	28	2	5	0	249	178	55	16	0	100	48	0	52	0	491	381	0	524	0	1989	1887	102	56	2054	1927	274	20
Lợi nhuận khác###Other profits	26	397	-899	-1196	64	29	90	-189	-140	8	-88	31	-711	-118	13	-597	-10	-1472	-1172	-283	-23	4	794	-198	363	316	312	439	136	209	93	0	4500	114	829	3383	174	2734	1701	134	-52	951	254	74	12	247334	1	1258	1213	45	-49	3329	805	1272	4790
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3311	-2962	21754	5285	7849	9738	2364	26900	15834	3036	7064	967	24129	6431	5195	1382	10699	24205	4593	4668	9520	5234	20840	10768	5577	2920	1302	16206	11354	333	4177	342	20742	13980	2731	2700	1331	33784	24812	2492	1402	5078	67673	28368	24832	30636	5115	42596	18462	24135	5991	41527	28345	18645	11010
Chi phí thuế TNDN###Corporate Income Tax Expenses	82	0	5073	1438	1851	2164	630	5693	3332	576	1432	352	4945	1223	1162	393	2166	8186	3601	1132	2177	1221	5117	2875	1337	595	310	3560	2445	105	859	151	5277	3579	692	673	0	8355	0	0	0	1082	18345	7514	7406	4177	1279	10692	4607	0	1582	8482	7130	2684	908
Chi phí thuế TNDN###Corporate Income Tax Expenses	82	0	5073	1438	1851	2164	630	5693	3332	576	1432	352	4945	1223	1162	393	2166	8186	3601	1132	2177	1221	5117	2875	1337	595	310	3560	2445	105	809	201	5277	3579	692	667	339	7701	6002	572	193	934	18220	7234	6341	3906	1269	10796	4775	6022	1661	8912	7560	2684	908
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	-49	0	0	0	7	-7	654	654	-106	31	148	126	279	651	271	9	-104	-167	64	-79	-431	-431	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3229	-2962	16681	3847	5921	7499	1567	21363	12832	2616	5632	282	19685	5637	4098	731	8797	16723	992	3537	7342	4013	16468	6693	4240	2325	993	13446	8909	228	3319	191	15465	10402	2038	2027	999	25429	18155	2027	1178	3996	49328	20854	17841	26459	3836	31904	13854	18049	4408	33045	21215	15961	10102
---Cac Chi So Tai Chinh---																																																							
EBITDA	0.41	0.13	0.08	0.08	0.18	0.22	-0.08	0.14	0.14	0.05	0.04	0.43	0.19	0.19	1.30	-0.08	-0.26	-0.13	-0.13	-0.16	0.64	0.78	0.61	0.61	0.46	0.17	0.26	0.64	0.64	0.81	1.13	1.05	0.81	0.81	0.72	0.76	1.05	1.08	1.08	1.09	0.97	0.97	0.79	0.79	0.91	1.11	1.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	8.20	6.82	7.90	7.90	7.72	7.85	8.11	7.89	7.89	7.65	8.31	8.30	5.59	5.59	6.39	5.00	4.95	4.29	4.29	5.77	4.11	4.01	3.76	3.76	3.71	3.96	3.84	4.35	4.35	4.62	4.09	4.51	3.45	3.45	3.33	3.40	3.58	3.04	3.04	2.93	4.40	4.22	3.28	3.28	3.73	3.58	6.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
