CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	131626	86357	643519	199527	153203	183434	107355	737398	237867	160560	195369	143602	801594	262784	190800	205344	142665	750050	267248	194774	170259	117768	803260	273911	168098	213971	160147	792972	233371	237308	151301	774664	710383	598896	450725
Các khoản giảm trừ doanh thu###Deduction revenues	3535	2101	34453	12171	7592	6743	7947	40021	15835	6392	11012	6783	44126	21807	6188	16131	0	432	413	11	6	2	355	133	21	152	49	1049	267	28	10	1156	1181	947	4138
Doanh thu thuần###Net Sales	128091	84256	609066	187356	145611	176691	99408	697376	222032	154168	184357	136819	757467	240977	184613	189213	142665	749618	266835	194763	170253	117766	802905	273777	168077	213819	160098	791923	233104	237280	151291	773508	709202	597949	446587
Giá vốn hàng bán###Cost of goods sold	90448	57995	445400	136229	108114	128804	73456	513460	165220	112314	138281	97644	538699	176676	130474	137966	93584	510581	181835	129784	119923	79038	565210	188034	112059	158537	113557	563356	154974	181230	103780	541738	520775	446480	345123
Lợi nhuận gộp###Gross profit	37643	26261	163666	51128	37497	47887	25952	183916	56812	41854	46076	39175	218768	64301	54138	51247	49081	239037	85000	64979	50330	38728	237694	85744	56019	55281	46541	228568	78131	56049	47511	231769	188427	151469	101464
Doanh thu hoạt động tài chính###Financial activities Revenues	1396	549	5931	1484	2199	1649	685	7712	2028	274	4397	1013	13172	8045	1487	3372	268	9142	2888	3087	2787	380	14038	9001	759	3408	960	4692	1473	1154	1506	6716	31454	12340	14322
Chi phí tài chính###Financial Expenses	3250	1318	9000	140	4655	2724	1576	7598	1766	1959	2408	1465	13526	4300	5049	2209	1968	8648	4988	1031	2027	602	7797	1102	2916	1979	1889	6350	2322	1648	1393	4273	6116	8486	6343
Chi phí bán hàng###Selling Expenses	18832	11250	84335	29890	19469	25492	10415	86797	28198	20150	20932	17517	91755	25477	20402	19906	25970	123055	41008	32720	26682	22645	134349	47047	38097	29861	25235	120078	43693	31079	21261	109239	96765	73765	45588
Chi phí quản lý doanh nghiệp###Managing Expenses	11331	9903	53268	17976	11866	12589	8538	53017	17371	11485	11697	12522	71003	25430	19812	12525	13227	65512	27529	14297	15479	8082	57009	22016	11447	12041	11255	56376	23743	11350	11339	64001	44855	37913	24002
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	4700	2345	19147	7359	2136	6532	3277	37095	11659	7090	11946	6343	51370	14285	9172	20045	7876	56623	21718	17355	9944	7782	52066	27452	6532	13899	9407	58165	13536	15998	16171	60972	78403	43645	39853
Thu nhập khác###Other incomes	64	30	1430	141	869	179	241	1013	-507	1350	153	17	269	85	52	117	15	39953	1979	1710	36292	28	5435	1312	3424	347	395	2035	572	279	278	48872	1915	725	2504
Chi phí khác###Other Expenses	70	4	196	47	22	44	82	673	296	310	32	35	448	-152	230	268	102	1144	-686	1666	53	151	644	519	49	109	10	587	80	280	31	42271	2014	0	402
Lợi nhuận khác###Other profits	-6	25	1234	95	847	134	158	339	-803	1040	121	-18	-179	237	-178	-151	-87	38809	2665	43	36239	-122	4790	792	3375	238	385	1448	492	-1	247	6601	-99	725	2102
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	4694	2371	20381	7453	2983	6666	3436	37435	10856	8130	12067	6324	51191	14522	8994	19894	7789	95433	24382	17399	46183	7660	56856	28244	9907	14136	9793	59613	14029	15997	16418	73546	78304	44369	41954
Chi phí thuế TNDN###Corporate Income Tax Expenses	1140	873	6000	2108	937	1809	1253	8709	2451	1901	2610	1735	10479	2615	1988	3987	1619	17362	4249	3489	8837	1669	10681	2877	2429	3077	2301	13182	4075	2921	3367	12624	13910	5151	6119
Chi phí thuế TNDN###Corporate Income Tax Expenses	669	413	4677	3304	623	93	687	7142	1678	3671	46	1735	12537	4674	2644	3331	1619	17362	4249	3489	8837	1669	10681	2877	2429	3077	2301	13182	4075	2921	3367	12624	13910	5151	6119
Chi phí thuế TNDN###Corporate Income Tax Expenses	471	460	1323	-1196	314	1715	566	1566	773	-1770	2564	0	-2059	-2059	-657	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3758	1677	15309	5440	2409	5212	2296	30119	8498	7113	9457	4799	41150	11752	7162	16057	6276	78551	20133	13909	37346	5991	46237	25367	7478	11060	7492	46820	9954	13076	13051	60922	64393	39219	35835
---Cac Chi So Tai Chinh---																																			
EBITDA	0.39	0.18	-0.38	-0.38	-0.10	0.10	0.28	0.25	0.25	0.29	0.31	0.00	0.05	0.05	0.70	0.34	0.55	0.53	0.53	0.65	-0.33	-0.40	-0.71	-0.71	-1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.90	9.18	10.25	10.25	12.15	9.22	10.46	12.01	12.01	11.04	12.07	14.88	16.53	16.53	16.23	16.48	16.46	14.45	14.45	12.62	11.86	10.18	9.16	9.16	8.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
