CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	Q2 2008	 2007
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547195	588692	595237	595437	584111	566266	563738	564521	564753	552282	551170	541417	571307	567617	583032	577680	537390	546698	546698	542606	479625	370594	403789	408289	414763	430313	0	333585



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	320222	253168	1474014	463113	397978	351135	261788	1248916	410365	359122	272059	207371	981433	297228	262941	241008	178833	967062	307295	270576	193189	196002	684342	190464	189457	176820	127600	679842	213476	188765	169795	107805	550623	150715	167042	135438	97427	520832	134166	149037	146789	90296	606820	152201	162670	165158	117318	452439	129207	134983	106463	81786	439194	149059	146107	97197	43011	279594
Các khoản giảm trừ doanh thu###Deduction revenues	0	538	661	0	0	661	0	3991	1567	2146	278	0	10745	969	7721	2055	0	1821	1035	638	-72	219	2536	1727	53	185	572	1968	883	49	349	688	3178	1466	1026	60	626	18465	7105	557	8566	2238	24934	8002	10306	2540	2192	7267	3157	2728	193	1189	28990	3091	13530	10438	1149	16181
Doanh thu thuần###Net Sales	320222	252631	1473354	463113	397978	350474	261788	1244926	408799	356976	271781	207371	970687	296259	255220	238953	178833	965241	306260	269938	193260	195783	681806	188737	189404	176635	127029	677873	212593	188716	169447	107118	547445	149249	166016	135378	96802	502366	127061	148480	138223	88058	581886	144199	152364	162618	115126	445172	126050	132256	106269	80597	410204	145968	132577	86759	41862	263413
Giá vốn hàng bán###Cost of goods sold	280220	224996	1289739	406554	349854	306713	227440	1103065	352537	316391	248451	185687	843335	259019	215069	205068	152788	830465	264211	229244	159755	177158	579163	160962	160813	149068	103822	592298	191662	164078	145348	91210	463653	127970	138641	111252	85789	413852	106485	119729	110276	79873	474610	110467	128675	134415	92531	356565	94956	107360	85396	68853	330003	116761	106214	67190	35730	203976
Lợi nhuận gộp###Gross profit	40001	27635	183615	56559	48124	43762	34348	141860	56262	40585	23330	21684	127352	37240	40151	33885	26045	134776	42049	40693	33505	18625	102642	27775	28592	27567	23206	85576	20931	24638	24098	15908	83792	21279	27375	24126	11013	88514	20576	28750	27947	8186	107275	33731	23689	28203	22595	88607	31094	24895	20874	11745	80201	29207	26364	19569	6132	59437
Doanh thu hoạt động tài chính###Financial activities Revenues	278	214	1168	153	593	374	47	814	119	41	554	101	1585	615	279	350	342	1352	153	94	136	969	609	37	90	416	66	1389	285	386	252	465	1539	632	352	391	165	1322	946	261	343	316	3035	579	-686	1640	649	2195	586	496	586	527	2509	792	1089	262	365	1996
Chi phí tài chính###Financial Expenses	12474	12821	54044	14682	13461	13647	12254	59384	13711	14406	15197	16014	47998	14927	13521	9044	10506	36843	8923	10354	9098	8468	37622	7449	9821	7242	13109	28939	4461	7401	8602	8475	36741	6773	10792	8815	10161	46936	11069	9817	11638	12685	62039	18346	15745	15639	12310	35852	12192	8351	8112	7197	30159	9907	7927	5615	6711	30470
Chi phí bán hàng###Selling Expenses	5752	3880	22367	12418	3503	2582	4502	15629	8073	3841	2547	1199	8558	3931	1237	1086	2299	10906	2871	3026	1933	3075	5182	1651	1558	831	1143	5883	1663	1165	1196	1858	9093	1812	3001	2422	1857	21342	23	6382	9376	5559	31342	7259	7649	7350	6274	22343	6692	5777	4739	5135	26400	9567	7379	6550	3974	18511
Chi phí quản lý doanh nghiệp###Managing Expenses	4175	5033	19844	5751	4658	4125	3849	12734	3088	2412	2426	4808	22243	5556	5918	4512	5361	18734	6543	4354	4139	3698	12525	3482	2947	2954	3141	11630	3506	2771	2894	2458	15881	3944	4171	5731	2035	12214	-111	2930	5973	2638	10751	5421	2779	3409	1997	9704	2630	2503	2579	1992	8112	2518	2399	1902	1293	7511
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	17879	6116	88528	23861	27096	23781	13790	54928	31508	19967	3714	-235	50138	13440	19754	19592	8221	69645	23864	23054	18471	4352	47922	15230	14355	16957	5879	40512	11586	13686	11659	3581	23617	9381	9762	7549	-2875	9344	10541	9882	1302	-12382	6178	3284	-3171	3445	2663	22903	10165	8761	6029	-2053	18039	8008	9748	5765	-5482	4942
Thu nhập khác###Other incomes	14	0	223	24	38	162	0	929	15	143	450	321	1809	1475	632	840	285	2141	-761	2171	451	280	988	-1535	537	-831	1380	7551	5887	700	356	608	7871	2653	872	4054	292	731	42	2	481	205	7898	97	23	201	39	427	55	0	371	1	4902	165	330	4328	78	428
Chi phí khác###Other Expenses	0	0	325	-85	247	164	0	749	-4	533	220	0	1918	428	3	97	0	174	-1561	1577	158	0	896	-679	1533	-88	3192	12508	5531	850	2105	4022	19408	7330	3695	1746	6637	19962	2900	4816	5313	6933	11001	1844	0	1	1618	2125	0	0	1571	554	3391	55	162	2666	508	21
Lợi nhuận khác###Other profits	14	0	-102	109	-210	-1	0	180	18	-390	230	321	-110	1047	629	743	285	1967	800	594	292	280	92	-856	-996	-742	-1812	-4957	356	-150	-1749	-3414	-11538	-4677	-2823	2308	-6345	-19231	-2858	-4815	-4832	-6727	-3103	-1747	23	200	-1579	-1698	55	0	-1199	-553	1511	111	167	1662	-430	408
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	17893	6116	88426	23970	26886	23780	13790	55108	31527	19577	3943	86	50029	14487	20384	20335	8506	71612	24664	23648	18763	4632	48014	14374	13360	16214	4067	35555	11942	13536	9910	167	12079	4704	6939	9856	-9220	-9888	7683	5067	-3529	-19109	3075	1537	-3148	3645	1085	21205	10220	8761	4830	-2606	19550	8118	9915	7427	-5911	5349
Chi phí thuế TNDN###Corporate Income Tax Expenses	-1991	1991	16264	6863	4808	1816	2758	15137	6424	3923	781	17	13490	2878	4104	4040	1701	14354	4953	4732	3743	926	10710	3307	2940	3556	907	7824	2601	2980	2202	42	509	559	0	0	0	0	0	0	0	0	747	-403	0	911	271	5292	2602	2143	547	0	4874	1998	2498	0	0	1498
Chi phí thuế TNDN###Corporate Income Tax Expenses	-1991	1991	16264	6863	4808	1816	2758	15137	6424	3923	781	17	13490	2878	4104	4040	1701	14354	4953	4732	3743	926	10710	3307	2940	3556	907	7824	2601	2980	2202	42	509	559	0	0	0	0	0	0	0	0	747	-403	0	911	271	5292	2602	2143	547	0	4874	1998	2498	366	0	1498
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	19885	4124	72162	17107	22078	21964	11032	39971	25103	15654	3162	69	36539	11609	16280	16295	6805	57257	19711	18916	15021	3706	37304	11067	10419	12658	3160	27731	9342	10556	7708	126	11570	4145	6939	9856	-9220	-9888	7683	5067	-3529	-19109	2328	1940	-3148	2734	814	15913	7618	6618	4283	-2606	14675	6120	7417	7061	-5911	3851
---Cac Chi So Tai Chinh---																																																										
EBITDA	0.12	0.16	0.43	0.43	0.50	0.37	0.43	0.27	0.27	0.27	0.27	0.16	0.24	0.24	0.40	0.18	0.36	0.53	0.53	0.41	0.34	-0.24	-0.14	-0.14	-0.27	-0.38	0.43	0.23	0.23	0.37	0.47	0.20	0.28	0.28	0.84	0.74	0.56	0.40	0.40	0.42	0.39	0.45	0.56	0.56	0.65	0.78	1.29	1.21	1.21	1.16	1.13	0.52	0.13	0.13	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	12.64	11.17	12.73	12.73	12.29	12.12	11.67	8.81	8.81	9.04	9.25	10.48	12.33	12.33	15.07	14.64	16.32	13.47	13.47	15.71	12.29	11.42	9.41	9.41	6.97	7.17	8.98	7.83	7.83	5.97	4.63	4.59	3.53	3.53	2.34	2.58	2.72	2.25	2.25	1.91	2.29	2.67	2.44	2.44	3.73	4.11	4.70	5.03	5.03	6.21	8.89	7.41	6.43	6.43	0.00	0.00	0.00	0.00
