CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3706	8	0	0	0	0	0	0	0	0	0	0	4	0
Vốn chủ sở hữu ###Owners equity	979564	970323	980300	980306	978345	974279	965369	973083	973256	1003493	1043296	942552	936868	936769	1047737	1045558	979385	977962	982703	956997	952984	1003574	997241	1020861	867515	849996	822834	808181	819195	783629	667688	740040	686172	687627	673347	697462	651320	714512	681888	689102	689255	644748	702197	640470	607114	601987	655351	716072	656106	664836	343784	406269	400252	406144	368888	366662	290119	317307	317677	263677	308059	323183	362429	372291	352626	337529	324106	174340	154480
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	0	316	0	317	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3771	4693	4977	5315	6165	6136	6280	6460	6639	0	2753	3077	3615	4130	0	4480
Vốn chủ sở hữu ###Owners equity	979564	970323	980300	980306	978345	974279	965369	973083	973256	1003493	1043296	942552	936868	936769	1047737	1045558	979385	977962	982703	956997	952984	1003574	997241	1020861	866963	849996	822519	808181	818878	783293	667688	740040	686172	687627	673347	697462	651320	714512	681888	689102	689255	644748	702197	640470	607114	601987	655351	716072	656106	664836	343784	406269	400252	402373	364194	361684	284805	311142	311541	257397	301598	316544	362429	369538	349549	333914	319976	174340	108174
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53370	0	53848	50935	43230	55049	49772	56174	56290	0	58589	53599	61603	61177	59702	65909	63140	66006	66350	65264	0	69178	72787	70583	69107	71343	72032	71955	66075	66186	65731	66319	66497	112335	99780	100213	94800	0	0	0	0	25692	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1791903	1769873	1979321	1994748	1947297	1927582	1910196	1810300	1845511	1788744	1962674	1891054	1922009	1928274	1804731	0	1802051	1819716	1833959	1919492	1808010	1876326	1962378	1944972	1878227	1836206	1987575	2031308	2031729	2192969	2371361	2296383	2075666	1819862	1145333	1006573	881956	932832	612979



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
