CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Chi phí tài chính###Financial Expenses	4	827	1796	0	1030	149	733	1353	0	757	0	596	584	25	618	-1666	1606	1496	0	521	110	865	4574	1191	1519	1034	830	13311	955	2503	2025	3815	11288	2071	3998	2119	2886	21947	3019	4652	11469	8017	50947	9173	9118	7896	16722	25777	10726	10726	4443	4780	7428	1410	1410	0	27991	18641	0
Chi phí bán hàng###Selling Expenses	9454	9786	46621	10526	13309	9954	12832	44945	11122	14290	9638	9894	57036	10295	14185	11644	20911	37206	11907	8066	8111	9123	34352	7667	10960	8529	7196	52886	7471	23199	11842	10375	38437	11023	10271	9535	7128	47978	12459	11471	19085	24982	90669	20985	17790	13556	17576	49076	11131	11131	13624	11391	34753	14192	14192	0	58510	53743	0
Chi phí quản lý doanh nghiệp###Managing Expenses	4557	5749	25529	5883	6293	6291	7079	24041	4631	8227	5049	6135	22749	4174	7520	4173	6882	16866	3643	3613	5334	4276	19992	3569	6620	4878	4926	26430	4581	12666	4333	4844	24126	4541	5744	6677	5233	33780	8129	10668	9755	7872	50003	13200	8493	6848	12399	29804	9311	9311	7180	5685	24164	16404	16404	0	31212	31500	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	25440	29147	109406	25064	35421	21613	26795	113860	49615	11422	28502	24321	137108	25960	13983	22693	74471	86051	34463	20694	12779	18116	94048	33731	32110	10730	17477	66466	11294	9646	35798	23573	78484	16195	23034	21270	22068	77385	27273	17126	7450	75129	199007	16725	15186	32219	75976	106981	24928	24928	23370	22472	88147	26798	26798	0	63021	36528	0
Thu nhập khác###Other incomes	981	8	475	13	23	135	303	18063	185	17620	115	143	410	0	242	89	79	1288	15	228	365	680	22149	71	1815	19366	898	4517	93	4193	229	0	1831	238	603	654	319	1695	194	442	617	237	3662	289	763	21914	1737	23060	392	392	247	281	4164	9526	9526	0	6750	5293	0
Chi phí khác###Other Expenses	0	0	2006	0	2002	3	0	100	0	22	0	78	165	15	117	0	32	3403	0	3430	0	-28	1993	28	1965	0	0	101	1	0	99	0	638	1	9	427	1615	6178	4225	96	242	0	1681	5	67	22164	724	22529	41	41	24	72	3738	9137	9137	0	1126	2406	0
Lợi nhuận khác###Other profits	981	8	-1531	13	-1980	132	303	17963	185	17598	115	65	245	-15	125	89	47	-2115	15	-3202	365	707	20157	43	-150	19366	898	4416	92	4193	130	0	1194	237	594	227	-1296	-4483	-4031	346	375	237	1981	285	696	-250	1013	531	352	352	223	209	426	389	389	0	5624	2887	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	26421	29156	107874	25077	33441	21745	27099	131823	49800	29020	28618	24386	137353	25945	14108	22782	74518	83937	34478	17492	13144	18823	114205	33774	31960	30096	18375	79387	11386	13839	35928	23574	82660	18123	24411	21497	21242	72902	22094	17472	11861	69683	200989	11746	15882	31969	76989	107512	25280	25280	24129	22681	88573	27187	27187	18442	56826	39415	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	4339	4829	20571	4657	7011	3543	5256	25846	9293	6046	5798	4709	26022	4729	2623	4163	14507	16232	6512	3886	2472	3361	23745	6969	6665	6020	4091	16997	2015	2183	7853	4946	19275	4182	5694	5194	0	19621	0	0	0	4255	50824	17638	10121	4055	19010	26112	7614	6533	5795	6169	15468	4190	5542	0	5131	1268	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	4339	4829	20571	4657	7011	3543	5256	22355	9293	2555	5798	4709	26022	4729	2623	4163	14507	16232	6512	3886	2472	10330	23406	0	6326	6020	4091	8357	2015	-2656	4051	4946	18401	4182	4820	5194	5653	19621	5156	4530	4255	17638	50641	2685	4055	7614	19010	26021	6442	6442	5795	4190	15468	5597	5597	0	5591	1555	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	3490	0	3490	0	0	0	0	0	0	0	0	0	0	0	-6969	339	6969	339	0	0	8640	0	4838	3801	0	874	0	874	0	0	0	0	0	0	0	183	183	0	0	0	91	91	91	0	0	0	-55	-55	0	-460	-288	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	22081	24327	87303	20420	26429	18202	21843	105978	40507	22974	22819	19678	111331	21216	11485	18619	60011	67705	27965	13606	10672	15462	90460	26805	25295	24076	14285	62391	9371	11657	28076	18628	63385	13941	18717	16303	15588	53281	16938	12942	7606	52046	150165	8878	11827	24354	57979	81400	18747	18747	18334	18492	73105	21645	21645	14815	51695	37845	0
---Cac Chi So Tai Chinh---																																																											
EBITDA	0.06	0.13	0.67	0.67	0.24	0.50	0.26	0.36	0.36	0.18	0.00	0.02	-0.06	-0.06	0.35	0.31	0.76	0.64	0.64	0.83	0.28	0.12	-0.06	-0.06	0.05	-0.01	0.37	0.63	0.63	0.58	0.67	0.67	0.40	0.40	0.27	0.36	0.26	0.34	0.34	0.33	0.20	0.28	0.51	0.51	0.64	0.83	0.93	1.08	1.08	1.25	1.40	1.74	1.70	1.70	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	29.05	28.27	28.56	28.56	28.07	25.68	24.85	23.97	23.97	30.39	37.98	24.95	30.11	30.11	28.21	25.09	25.52	31.28	31.28	20.90	23.20	17.51	18.24	18.24	13.78	14.20	15.21	14.68	14.68	12.86	13.43	14.01	11.33	11.33	10.15	10.15	9.61	10.43	10.43	10.10	10.10	8.42	8.57	8.57	7.86	8.51	8.73	10.29	10.29	10.76	12.64	11.70	13.17	13.17	0.00	0.00	0.00	0.00	0.00
