CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1025153	942619	5400268	1588987	1253980	1258334	1298966	5953054	1370543	1524370	1590464	1467677	4972694	1600196	1112516	1211033	1048949	4044574	1179283	962900	893929	1008461	3591328	1262222	785720	715368	828018	3727295	1135594	940261	913245	738195	3053884	878555	710476	863375	601478	2822138	758349	640131	910080	512603	2963971	592590	853912	790032	727195	3001535	710131	713164	927180	651061	2342775	800119	899601	0	1250832	1059398	725015
Các khoản giảm trừ doanh thu###Deduction revenues	73	17	4727	3804	476	0	447	600	60	0	0	540	1143	40	617	274	212	2145	1416	428	295	6	1060	313	323	304	120	2334	820	1179	336	0	1301	414	498	389	0	1313	284	36	90	902	2110	1431	462	0	217	87	0	87	0	0	12	12	0	0	337	0	0
Doanh thu thuần###Net Sales	1025080	942601	5395541	1585184	1253504	1258334	1298519	5952454	1370483	1524370	1590464	1467137	4971552	1600156	1111899	1210759	1048737	4042429	1177867	962472	893635	1008456	3590268	1261909	785397	715065	827898	3724961	1134774	939083	912909	738195	3052583	878141	709978	862986	601478	2820826	758065	640095	909990	511701	2961861	591159	853450	790032	726978	3001449	710131	713077	927180	651061	2342763	800108	899601	321527	1250495	1059398	725015
Giá vốn hàng bán###Cost of goods sold	997041	897422	5229481	1621830	1220827	1202258	1184565	5572371	1372543	1435752	1471831	1292245	4372612	1434229	965539	1084869	887975	3381390	986984	831315	684442	878648	3606783	1389399	747520	674461	795403	3519547	1087767	891359	855541	684881	2992053	880417	681866	818336	611434	2695026	721569	619653	869351	480153	2673862	580035	802527	695207	608468	2741076	657562	665800	843589	574326	2081078	711179	755254	14205	1198045	1024648	705532
Lợi nhuận gộp###Gross profit	28039	45179	166060	-36647	32677	56076	113954	380083	-2060	88618	118633	174892	598940	165927	146360	125890	160762	661039	190883	131156	209192	129807	-16515	-127491	37877	40604	32495	205414	47008	47724	57369	53314	60530	-2276	28112	44650	-9956	125800	36496	20442	40639	31548	287999	11124	50923	94825	118509	260373	52570	47277	83591	76734	261685	88929	144347	0	52450	34750	19483
Doanh thu hoạt động tài chính###Financial activities Revenues	27539	2711	12426	4430	3886	2539	1572	38018	1675	3334	29907	3102	8003	2116	1777	2681	1429	6401	1715	1362	1833	1492	7251	840	2721	1768	3288	13672	2939	4163	2586	3983	18964	1990	2865	6698	7410	11679	5967	2831	1917	965	22078	1493	5085	8605	7113	26720	6121	6788	8439	5373	28956	24845	3987	0	237	82	63
Chi phí tài chính###Financial Expenses	30557	21499	85717	27473	21961	20144	16139	100976	23209	25054	34337	18376	77743	20094	24260	21130	12259	62471	16961	18222	14240	13048	77080	19760	21009	17394	20283	63183	19646	16037	18711	8788	-40979	17169	17763	17593	-93504	40226	20095	9108	10793	3091	222962	37754	31409	85696	68341	173803	32020	27552	63072	20839	93248	34007	46350	0	10416	7941	9213
Chi phí bán hàng###Selling Expenses	8141	11337	51431	16750	10490	15585	8607	64311	19776	13431	13671	17433	61290	17881	18951	11907	12551	49169	14444	12304	12338	10208	37889	12135	8258	8878	8618	38097	10767	10423	8779	8128	29450	9164	6081	6269	7936	24174	7200	5598	5878	5157	24799	6827	6734	5298	5964	21363	6144	5744	4706	4770	19427	5595	-556	0	12226	8514	8156
Chi phí quản lý doanh nghiệp###Managing Expenses	11132	13234	167066	100679	11663	12138	42586	118013	59097	14437	22729	17118	54267	19972	12135	8929	13232	39208	14519	8301	9008	7533	44361	19799	8001	8644	7917	35854	11752	8111	8016	7975	44189	15665	6823	10062	11638	23015	7881	4756	5733	4313	29920	8308	5434	5510	5081	17449	5391	5732	3310	3016	11262	3696	5678	0	2754	2636	2074
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-16087	2579	-134416	-186833	-8564	11174	49807	115726	-99681	40924	51792	128433	438340	115635	96234	87545	138926	544838	158580	97889	182434	105641	-176920	-188123	4150	7768	-715	88460	7874	18777	26296	35513	46833	-42284	309	17424	71384	52701	7286	3812	20151	19952	32396	-40273	12431	6926	46236	74478	15135	15037	20942	53482	166705	70476	96862	0	27291	15742	102
Thu nhập khác###Other incomes	539	1802	2025	668	378	689	291	2483	877	827	228	551	3386	231	688	866	1601	4143	501	1540	364	1719	14695	3557	315	4178	6644	14663	8476	2780	1165	2242	103834	10472	16714	677	75971	6933	5358	474	-153	2818	6312	1	6125	131	55	4067	1671	2298	2	96	14437	12841	1594	0	4979	965	937
Chi phí khác###Other Expenses	153	239	12097	795	224	419	10660	2909	1030	636	428	815	5626	145	4475	404	603	1428	447	301	359	302	8826	6851	904	445	626	4636	436	455	1576	2169	20688	6240	10513	1755	2179	7536	7282	617	-65	1267	2272	3193	3645	459	398	5012	3687	165	28	1083	10762	5917	1896	0	954	294	0
Lợi nhuận khác###Other profits	386	1563	-10072	-127	154	270	-10369	-426	-153	191	-200	-265	-2241	86	-3787	463	999	2715	54	1239	5	1417	5869	-3293	-588	3733	6018	10027	8040	2325	-411	73	83146	4232	6201	-1079	73792	-604	-1924	-143	-88	1551	4041	-3192	2480	-328	-343	-945	-2016	2134	-26	-987	3675	6924	-301	0	4026	672	937
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-15702	4141	-144488	-186960	-8409	11443	39437	115300	-99833	41116	51592	128168	436100	115721	92447	88007	139925	547553	158634	99128	182439	107059	-171051	-191416	3561	11501	5303	98487	15914	21102	25885	35586	132373	-36932	6882	17247	145176	52098	5362	3668	20064	21503	36437	30966	72195	6598	45894	73533	13119	17171	20916	52496	170380	77400	103058	3209	31317	16413	1040
Chi phí thuế TNDN###Corporate Income Tax Expenses	-20	213	1491	-10073	204	2851	8508	29730	-16395	9021	11211	26820	89422	23608	20341	18467	26970	78182	28949	18547	29298	1332	2008	-4819	1597	2871	2337	24322	5612	4868	6891	6952	20173	0	2693	4620	0	9872	0	0	0	5476	8962	-3579	2517	2070	10261	16215	2139	4666	4280	12634	28129	13905	19263	0	8646	5085	496
Chi phí thuế TNDN###Corporate Income Tax Expenses	-20	213	1491	-10073	204	2851	8508	29730	-16395	9021	11211	26820	89422	23608	20341	18467	26970	78768	32305	17880	27195	1332	0	-6827	1597	2893	2337	24530	4507	5124	6947	7951	21387	0	2226	6418	22142	9250	834	1045	1131	5476	9584	-3022	3438	1378	11227	16296	2221	4666	4327	12638	35018	14145	0	0	8501	4991	496
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-587	-3357	668	2103	0	2008	2008	0	-22	0	-208	1104	-257	-57	-999	-1214	0	468	-1798	0	622	-346	0	0	0	-622	-557	-920	-12	-966	-82	-82	0	-47	-3	-6889	-240	0	0	145	95	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-15613	4078	-148995	-181621	-8447	9133	32106	86282	-85725	32729	40381	103354	352645	93440	73037	70133	116071	481836	129685	80580	153141	105726	-176771	-186597	1964	8630	2966	74244	10302	16234	18995	28634	112200	-36932	4188	12627	123034	42226	4874	2624	18933	16027	27475	-39886	12393	5232	35633	57318	10980	12505	16636	39861	142251	63496	78424	2404	22671	11328	544
---Cac Chi So Tai Chinh---																																																											
EBITDA	0.64	0.20	0.04	0.04	0.64	0.71	0.67	0.72	0.72	0.68	0.65	0.73	0.64	0.64	0.68	1.12	1.91	1.66	1.66	1.62	1.08	1.01	0.77	0.77	0.71	0.82	1.19	1.21	1.21	1.43	1.64	1.38	1.24	1.24	1.07	1.12	1.40	1.24	1.24	1.33	1.30	1.00	0.97	0.97	1.18	1.31	1.70	2.02	2.02	1.79	1.82	-50.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.35	2.55	3.97	3.97	3.96	4.41	4.69	4.94	4.94	6.73	7.67	9.29	8.65	8.65	9.73	9.16	10.07	8.56	8.56	6.84	5.81	4.52	2.65	2.65	2.89	3.81	4.12	4.86	4.86	4.75	4.86	5.62	4.09	4.09	3.82	3.88	3.00	2.54	2.54	2.14	2.74	2.55	2.05	2.05	3.51	3.65	3.54	5.06	5.06	6.11	7.83	10.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00
