CAN DOI KE TOAN	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q3 2008	Q2 2008	 2007	 2006
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-41116	-21276	-6896	-6867	-6077	-33583	-5795	-8975	-8329	-10603	-71262	-31581	-11414	-14043	-17113	-52212	-36094	-4401	-12045	-1294	-38640	-35395	-817	-605	29	-27164	-19448	-1109	-1005	-191	1199	1064	724	781	-263	-2919	-1012	-1298	1815	-257	6443	1246	1148	4366	-177	9939	3318	3717	1742	1163	8441	2135	2991	7072	2442
Thu nhập khác###Other incomes	44364	43188	128	776	272	34469	321	416	40178	461	2177	2022	407	80	49	23391	627	2832	14898	88	3313	1036	1016	6	50	936	86	41	385	260	2402	351	147	354	918	5719	2572	1197	796	546	2415	1146	411	950	145	5272	4437	265	432	137	1447	380	1160	1219	44
Chi phí khác###Other Expenses	6379	2574	1513	1161	1131	14121	4508	2281	11191	605	179648	157180	868	2244	514	24092	1617	162	20244	2	2065	710	1248	1	0	4389	285	3	431	42	1391	343	245	329	429	2177	1219	45	760	153	962	940	0	7	15	5106	4530	209	367	0	711	21	413	1078	811
Lợi nhuận khác###Other profits	37985	40614	-1385	-385	-859	20349	-4187	-1865	28987	-144	-177471	-155158	-461	-2164	-465	-701	-990	2670	-5345	87	1248	327	-232	5	50	-3454	-199	38	-46	218	1011	9	-99	25	490	3542	1353	1152	36	393	1453	206	411	944	130	166	-93	56	66	137	736	359	747	141	-767
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-3131	19339	-8281	-7253	-6936	-13234	-9983	-10840	20658	-10748	-248733	-186739	-11875	-16208	-17578	-52914	-37084	-1731	-17390	-1207	-37392	-35068	-1049	-600	79	-30618	-19648	-1071	-1051	26	2210	1073	625	806	227	623	341	-146	1851	136	7896	1452	1559	5309	-46	10106	3225	3773	1807	1301	9177	2494	3738	7213	1675
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	4	0	0	70	-49	20	69	31	115	60	6	4	0	343	0	0	0	31	252	0	35	415	137	1686	738	314	572	37	1425	0	472	388	0	1285	0	0	0	160
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	4	0	0	70	-49	20	69	31	115	60	6	4	18	343	80	100	87	31	252	0	35	367	137	1686	212	314	1098	37	1425	564	472	389	0	1285	0	0	0	160
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-4598	18326	-8505	-7355	-7064	-16716	-10307	-10840	20658	-11295	-253189	-188552	-11876	-16208	-17578	-55654	-37081	-1734	-17364	-1207	-37368	-35019	-1069	-668	49	-32599	-19707	-1077	-1056	8	1868	992	526	610	195	371	341	-181	1483	-1	6210	1240	1244	4211	-84	8681	2660	3301	1419	1301	7893	2494	3738	7213	1515
---Cac Chi So Tai Chinh---																																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.10	1.10	0.90	1.00	0.80	2.30	2.30	8.10	8.10	7.10	6.20	6.20	6.30	3.40	1.00	1.10	1.10	1.60	1.40	2.10	3.00	3.00	3.00	3.30	4.20	3.20	3.20	2.70	2.80	2.80	2.60	2.60	2.70	3.10	3.40	2.50	2.50	4.50	5.40	7.13	10.51	10.51	15.18	20.75	11.27	12.38	12.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
