CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q2 2006	 2005
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670249	658329	640781	634141	628694	579412	559948	631871	663947	642903	590371	573902	644605	642755	463458	0	516920	511894	511894	508513	479629	490385	467727	466738	416239	418621	449902	475928	431030	389486	414655	508649	500747	506780	625264	551606	539467	532250	532250	373137	322434



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	234159	143042	1192120	526208	205569	239682	230033	1645667	510621	610068	304141	219338	1727462	498581	504804	542786	178866	1271350	263429	236245	361245	416145	1627729	603413	384833	424817	216927	580709	214296	164353	119163	80124	529353	221283	104839	161321	38941	471497	256767	93391	70648	55405	563541	290755	92300	109051	535832	550731	203850	119723	119745	107311	399318	157741	72223	91581	77348	581129	147652	100411	145856	104047	777738	205819	246651	187938	140481	603473	176512	209814	384291
Các khoản giảm trừ doanh thu###Deduction revenues	653	0	645	0	1300	17	0	303	9	9	0	0	13	0	0	0	0	435	0	0	274	36	2226	0	0	2102	110	2395	0	1958	403	8	345	297	44	11	0	1084	886	7	167	24	1681	1142	15	100	3474	3524	170	3161	151	42	482	139	202	139	2	10297	1788	2467	5838	93	1435	1142	1580	280	809	3367	833	490	0
Doanh thu thuần###Net Sales	233506	143042	1191476	526208	204269	239665	230033	1645364	510612	610060	304141	219338	1727448	498581	504804	542786	178866	1270915	263429	236245	360971	416108	1625503	603413	384833	422715	216818	578314	214296	162395	118760	80116	529008	220987	104796	161310	38941	470413	255881	93384	70480	55381	561860	289613	92285	108952	532358	547208	203680	116562	119594	107270	398837	157603	72021	91442	77345	570833	145863	97943	140018	103954	776303	204676	245072	187658	139672	600106	175679	209323	384291
Giá vốn hàng bán###Cost of goods sold	202390	115644	1026086	463835	169888	199780	200996	1447138	473100	537620	253452	183293	1501171	427207	444095	481248	145060	1074858	216644	195261	307772	356667	1390246	520315	328523	365970	180384	485742	182252	139952	96794	64129	457492	198135	87417	142556	25300	411085	232425	80495	57467	45582	489503	258112	78404	94476	451472	461815	170436	95978	103771	91537	332437	129743	56140	78954	66993	502825	126888	83457	122501	97589	682705	186292	218359	155947	121841	479568	152801	181171	0
Lợi nhuận gộp###Gross profit	31115	27398	165390	62374	34381	39886	29037	198226	37512	72439	50689	36045	226277	71374	60709	61538	33806	196057	46785	40984	53199	59441	235257	83098	56310	56745	36434	92572	32045	22443	21967	15988	71516	22852	17379	18754	13641	59328	23456	12889	13014	9799	72358	31502	13881	14476	80886	85392	33244	20583	15822	15733	66400	27860	15881	12488	10352	68007	18975	14487	17517	6365	93598	18385	26713	31711	17831	120538	22877	28152	0
Doanh thu hoạt động tài chính###Financial activities Revenues	1245	27	1695	169	-29	621	639	2372	379	689	432	862	3630	712	1135	885	562	4813	2467	604	654	459	2695	676	359	1223	425	2849	950	418	721	780	2223	141	429	862	749	5335	1113	950	1104	2091	10588	531	1903	3503	5779	6743	2011	1427	1780	1412	3721	1662	1239	599	221	7187	5207	514	431	946	2926	1857	109	279	568	732	240	117	0
Chi phí tài chính###Financial Expenses	10808	8356	40475	10872	9142	10959	9202	35728	7694	11446	9334	7841	23886	8529	6005	5877	3492	27389	5218	5781	8080	8106	24618	7773	7262	4510	5072	10479	3819	2008	2198	2475	7106	2429	1451	2162	1055	9688	2361	1822	3742	1777	24409	6673	5495	5631	20103	20490	8376	4265	4548	3221	9913	5019	2592	2139	378	22062	6005	6245	5512	2332	22402	4951	8324	5495	3323	15485	1991	2442	8997
Chi phí bán hàng###Selling Expenses	8914	6078	31769	14636	7154	7781	2368	48601	-363	28599	12509	7885	91943	30743	24480	26367	10082	83522	19114	18195	19588	27520	127216	49664	30031	28784	16075	36296	12408	11392	6567	5929	30284	8458	7894	6375	8307	21716	7722	5114	5990	2854	33308	17615	5584	4412	23069	23285	6444	6706	4936	5084	21968	7451	5285	5037	4331	19312	7835	5029	4269	3889	17374	2629	5882	5991	5464	34918	5477	10105	0
Chi phí quản lý doanh nghiệp###Managing Expenses	11171	11946	67949	21740	17878	17858	12931	70653	20915	15286	18988	14948	71301	23793	18758	15013	14657	56559	19333	12691	14135	13388	50689	18353	10168	12210	9934	31480	9546	6596	8038	7300	25002	6017	6562	7520	4890	25702	8139	4140	6329	7151	31459	12602	6402	7749	26357	28940	9257	7042	7128	5842	21586	5599	6035	4723	4924	20568	4533	3747	4137	737	20831	4786	4813	4968	4922	18740	3546	4615	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1467	1046	26891	15295	177	3908	5175	45616	9646	17797	10140	6033	42227	8820	12600	14866	5836	32599	5387	4822	11801	10586	34803	7884	9008	12138	5777	17166	6773	2866	3554	1063	11347	6090	1901	3559	138	7443	6347	2762	-1942	109	-6985	-4858	-1697	188	17136	17983	11179	3997	991	2997	16654	11452	3207	1188	940	13251	5808	-20	4030	352	35917	7876	7802	15536	4690	52126	12102	11106	31328
Thu nhập khác###Other incomes	69	57	3121	51	8428	1597	248	6900	10290	729	132	147	774	391	337	-1665	2123	1540	726	825	208	371	3784	853	2486	826	103	24988	366	23432	1152	168	335	30	80	4	13	10841	1208	21	4339	59	45042	44784	61	136	4114	4067	3277	416	214	160	2865	1899	35	597	9	9638	9131	150	105	249	462	153	118	84	130	1819	89	520	0
