CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	58387	118285	401720	126996	75912	118867	81528	470660	220684	88280	108049	53045	468560	219892	82288	96286	70051	978217	169150	96407	626882	98447	306106	117559	72648	74713	53845	288632	115317	39178	65705	69880	340761	120761	66109	87239	66893	405930	176308	79910	95192	82597	452882	160187	139875	108589	79300	466007	204674	110589	82632	67606	359509	454719	542123
Các khoản giảm trừ doanh thu###Deduction revenues	2	23	0	31	34	30	23	2	20	18	-19	19	0	20	26	-3	3	0	1	0	0	0	10	40008	1	10	0	4714	0	0	0	92	12465	11734	171	391	168	2205	2061	104	20	20	1981	19	25	21	19	989	25	74	-6	894	550	81	106
Doanh thu thuần###Net Sales	58385	118262	401720	126965	75878	118837	81505	470659	220663	88262	108068	53026	468560	219872	82263	96289	70047	978217	169148	96407	626882	98447	306096	77552	72647	74703	53845	283918	115317	39178	65705	69788	328296	109027	65939	86848	66724	403725	174247	79806	95172	82576	450901	160167	139851	108568	79281	465018	204648	110515	82638	66712	358959	454637	542017
Giá vốn hàng bán###Cost of goods sold	53585	104647	331427	101348	64438	103563	68080	403936	192627	73302	96205	41166	396811	188743	69549	80902	57012	919748	113781	81869	652361	83847	241886	54782	62097	64226	44711	236801	94577	31088	59899	57445	265982	85250	54388	67578	54401	348087	152530	68938	82291	71462	393135	140439	126617	95769	67276	403720	172731	99950	71281	59515	337235	364332	510754
Lợi nhuận gộp###Gross profit	4800	13615	70293	25617	11440	15274	13425	66723	28036	14960	11862	11860	71748	31130	12714	15387	13036	58469	55368	14538	-25480	14600	64210	22770	10550	10476	9134	47117	20740	8090	5806	12344	62314	23777	11551	19270	12324	55637	21717	10868	12881	11115	57766	19728	13234	12799	12005	61298	31917	10566	11357	7197	21724	90306	31264
Doanh thu hoạt động tài chính###Financial activities Revenues	4	31	171	28	24	76	33	1705	28	43	1440	195	501	54	31	143	230	822	307	281	141	93	1137	128	731	150	87	13034	65	319	11490	1159	6813	1030	1212	1094	3473	6802	348	972	442	3958	4559	873	1523	1397	3617	6359	1758	737	790	3076	20482	883	1598
Chi phí tài chính###Financial Expenses	6694	6593	27842	8178	5475	10263	3926	30223	9387	5685	10935	4191	19858	11541	4740	4539	5055	23259	6851	5791	5887	6056	26165	7503	4073	3314	3948	19999	5968	2528	8172	3632	24940	9189	3066	11369	3824	18426	9740	4481	3909	3294	10273	2958	2877	2330	2108	5793	1718	1036	2092	947	10533	2840	2037
Chi phí bán hàng###Selling Expenses	755	951	6050	1755	1560	1322	1413	4729	1042	1336	1181	1039	3577	1644	517	162	629	4610	481	1120	1525	1230	6262	1755	1769	2101	1174	4383	1389	1277	902	815	3436	813	1187	911	524	1866	594	338	488	448	1540	373	454	314	398	975	217	113	487	157	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	5538	4833	28753	8130	5847	8268	6382	30110	12572	4696	6078	6871	38789	10548	6641	9232	7123	28366	6980	7315	5435	7461	22519	8654	5890	7789	3047	28509	10576	3218	7699	7016	35312	12789	6684	8397	9664	30972	8838	7003	7408	7299	32402	9530	7575	7060	7345	26993	7578	7007	6271	6136	23891	16653	16102
