CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	53849	47547	230829	95949	56003	42908	35969	459159	81035	155969	119110	103045	341129	115631	88674	80246	56578	322107	82490	92189	79612	67815	284644	83561	56296	68432	76355	204938	58278	58399	44612	43649	149738	46877	42424	41424	19012	79416	26666	20001	21869	10879	60334	22557	16524	15514	5739	49484	12461	14229	15574	7220	45811	13474	9976	15577	6784	34140	39493
Các khoản giảm trừ doanh thu###Deduction revenues	5	0	21	0	21	0	0	0	0	0	0	0	565	22	347	196	0	10	0	6	0	4	31	6	18	5	2	1218	0	343	0	874	746	113	618	15	0	109	4	86	13	7	61	27	0	34	0	67	25	34	2	6	269	31	12	66	159	75	89
Doanh thu thuần###Net Sales	53844	47547	230808	95949	55982	42908	35969	459159	81035	155969	119110	103045	340564	115609	88326	80050	56578	322097	82490	92183	79612	67811	284613	83555	56278	68427	76352	203720	58278	58055	44612	42775	148992	46765	41806	41409	19012	79306	26662	19915	21856	10873	60273	22530	16524	15480	5739	49417	12437	14195	15572	7214	45542	13442	9964	15511	6625	34065	39404
Giá vốn hàng bán###Cost of goods sold	43515	40222	189377	72186	45397	39825	31969	376209	62603	129544	97670	86391	257818	88869	67159	59421	42370	254687	65233	73968	64237	51249	215195	63898	41628	52610	57059	150566	41879	42845	33153	32689	111381	35055	31705	30576	14044	57717	19386	14903	15281	8146	46190	17215	13100	11572	4303	35193	8687	10587	9854	6065	34547	10283	7451	11957	4856	28055	29085
Lợi nhuận gộp###Gross profit	10329	7325	41432	23763	10585	3083	4000	82950	18432	26425	21439	16653	82746	26740	21168	20630	14208	67409	17258	18216	15375	16561	69419	19658	14650	15817	19294	53153	16398	15210	11459	10085	37611	11709	10101	10833	4968	21590	7275	5012	6575	2727	14083	5316	3424	3908	1436	14224	3750	3607	5718	1148	10995	3159	2513	3554	1769	6010	10319
Doanh thu hoạt động tài chính###Financial activities Revenues	92	19	44	1	2	8	33	40	23	5	6	5	66	16	17	17	16	98	20	12	52	13	240	78	61	29	71	37	5	23	3	6	17	9	3	2	3	17	3	2	3	8	102	12	13	8	69	43	11	9	10	13	35	16	11	5	4	49	911
Chi phí tài chính###Financial Expenses	1060	1161	4497	1336	1138	1149	875	4326	1502	1025	961	838	3805	736	925	1069	1075	3503	1068	1131	853	450	2745	608	678	898	561	2137	666	655	518	299	985	235	208	347	196	500	228	103	97	73	2414	1392	753	164	105	504	241	166	90	8	79	28	31	5	14	0	29
Chi phí bán hàng###Selling Expenses	7204	7579	30812	11854	6066	6484	6407	46926	10084	15928	12486	8427	46746	14472	12351	11993	7930	36935	9454	9992	8764	8725	34735	9992	7503	7796	9443	25718	7741	7924	5744	4309	16437	5453	4835	4220	1929	9269	2981	1991	2888	1409	6057	2327	1594	1426	710	2839	980	858	585	417	1674	483	452	438	307	869	720
Chi phí quản lý doanh nghiệp###Managing Expenses	2092	3059	14873	5246	2428	3551	3647	18122	4051	5020	4900	4151	19402	5917	4991	4589	3906	12997	3288	4032	1694	3983	15637	4731	3266	3337	4304	13524	4184	3125	2440	3775	11153	3433	2790	3219	1711	6460	2184	1518	1763	995	4882	1576	1026	1589	690	6322	1483	1445	2725	670	5075	1451	1090	1648	881	2738	4710
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	64	-4455	-8706	5328	955	-8093	-6896	13616	2819	4456	3099	3243	12858	5632	2918	2995	1313	14073	3467	3072	4116	3417	16542	4405	3264	3816	5057	11811	3813	3530	2760	1708	9052	2598	2271	3049	1135	5378	1887	1402	1831	258	832	32	63	736	1	4602	1057	1149	2329	68	4202	1212	951	1469	570	2451	5771
Thu nhập khác###Other incomes	145	0	341	114	87	140	0	647	123	8	456	60	675	60	140	30	445	13	0	1	0	13	36	36	0	0	0	185	183	0	0	2	40	3	37	0	0	442	0	2	331	109	7	2	2	2	0	24	7	5	12	0	125	13	35	40	37	216	24
Chi phí khác###Other Expenses	0	0	0	0	0	0	0	330	11	8	208	103	55	7	27	6	15	390	181	202	0	7	584	234	0	321	29	88	0	0	88	1	179	21	25	0	134	230	9	0	216	4	14	6	8	0	0	7	0	0	7	0	125	13	35	40	37	208	2
Lợi nhuận khác###Other profits	145	0	341	114	87	140	0	317	111	0	249	-43	620	53	113	24	430	-377	-181	-201	0	6	-547	-197	0	-321	-29	96	183	0	-88	1	-139	-18	13	0	-134	212	-9	2	114	105	-8	-4	-6	2	0	17	7	5	5	0	0	0	0	0	0	8	22
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	209	-4455	-8364	5443	1041	-7953	-6896	13933	2930	4456	3348	3200	13478	5685	3031	3019	1743	13696	3286	2871	4116	3422	15994	4207	3264	3495	5029	11907	3996	3530	2673	1709	8913	2579	2284	3049	1001	5590	1877	1404	1945	363	825	28	57	739	1	4619	1064	1154	2334	68	4202	1212	951	1469	570	2458	5793
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	249	249	0	0	0	1323	264	427	213	419	1146	547	262	269	186	749	156	112	252	230	1653	214	129	909	401	947	324	276	213	135	921	204	184	0	0	310	0	0	0	29	62	16	8	65	0	376	52	113	198	13	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	249	249	0	0	0	1323	264	427	213	419	1146	547	262	269	186	749	156	112	252	230	1653	214	129	909	401	947	324	276	-135	135	921	204	184	238	295	310	104	77	100	29	62	16	8	65	0	376	52	113	198	13	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	209	-4455	-8614	5194	1041	-7953	-6896	12610	2665	4029	3135	2781	12332	5138	2769	2750	1557	12947	3130	2759	3865	3193	14341	3993	3135	2586	4628	10960	3672	3254	2460	1574	7992	2375	2100	2811	706	5280	1773	1327	1845	334	762	12	49	674	1	4243	1012	1041	2136	54	4202	1212	951	1469	570	2458	5793
---Cac Chi So Tai Chinh---																																																											
EBITDA	0.47	0.26	-0.27	-0.27	-0.08	-0.59	-0.74	-0.74	-0.74	-0.74	-0.56	-0.04	0.30	0.30	0.60	-0.18	-0.21	0.39	0.39	0.38	0.41	0.66	0.22	0.22	0.36	0.59	-0.12	-0.15	-0.15	-0.52	-0.61	-0.48	0.05	0.05	0.30	0.33	0.18	0.32	0.32	0.55	0.65	0.77	0.54	0.54	0.84	0.74	0.85	0.98	0.98	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	8.38	13.68	21.43	21.43	26.30	29.20	23.57	20.24	20.24	21.18	25.73	17.40	16.34	16.34	18.71	15.43	14.89	16.74	16.74	19.68	16.25	16.65	17.98	17.98	15.91	15.85	19.50	17.84	17.84	9.68	11.92	9.92	7.54	7.54	4.57	4.72	3.36	2.24	2.24	1.98	2.07	1.64	1.16	1.16	1.75	1.95	2.76	4.11	4.11	5.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
