CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006	 2005
Chi phí tài chính###Financial Expenses	41806	45546	133678	41214	31055	22266	24316	66346	21221	17407	13734	13983	56476	9650	10648	17178	19000	181560	39683	17627	17676	106575	430803	180995	77369	154408	18031	90255	21706	21894	24746	20242	84971	21686	21328	22305	19651	91406	10244	33909	18196	29106	125535	32830	42156	32363	20209	60390	14644	22567	17126	11423	75807	44667	17101	25585	17458	63238	27972	21128	25932	25542	103075	29887
Chi phí bán hàng###Selling Expenses	289340	368002	1361808	367633	340804	286944	367184	1170069	351493	268067	268913	281595	774978	222866	182771	186083	183222	553623	159034	131161	130987	132440	423930	130833	102558	88585	101306	354954	100066	88387	82855	83704	262496	76262	65319	64727	56746	267973	59283	55367	79345	73964	289531	89429	72888	59479	71010	243305	88640	45320	58894	50451	185513	50489	37406	46138	49568	140192	39527	40245	29201	85839	73478	51673
Chi phí quản lý doanh nghiệp###Managing Expenses	96342	128077	475832	133607	113729	116158	115619	345868	118551	93015	73696	60606	187936	58900	46816	42586	39340	133282	40892	30625	34362	27402	117548	40695	26613	25928	24176	129619	38719	29161	27445	34218	113374	40203	28657	22771	21272	89632	26729	17567	23043	20959	98126	32093	21780	19790	24218	79167	28668	17185	17358	18293	61079	17899	15032	14187	11232	47245	15663	13470	9795	22535	12729	9921
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	42796	511930	1506216	480806	267709	210394	543270	1203647	335392	221676	226747	419832	901369	277139	157654	156100	311241	548093	144584	139263	109127	154602	197097	-102	57335	-7829	151589	333148	72521	77276	77409	106677	232645	71281	46508	27561	87766	280360	23428	108390	27597	103865	300549	55933	64101	54111	116136	245084	29910	49631	68559	78094	252471	61466	47953	46177	96705	156265	47232	48529	14364	122739	27413	25027
Thu nhập khác###Other incomes	615	433	4761	1471	705	254	2331	4638	1923	394	1263	1058	7395	903	654	5607	231	47317	2597	231	43858	631	1627	466	350	667	144	2662	493	1114	356	707	3182	1615	859	546	162	49775	5161	316	25134	19237	19225	5446	3971	7847	3562	30712	8203	3544	19389	2704	12102	2799	2435	3260	3592	11167	3122	3193	2301	7960	7092	19407
Chi phí khác###Other Expenses	720	662	4265	935	386	581	2362	2734	1193	930	476	135	1384	673	243	105	396	3869	2183	78	1505	103	12130	158	223	155	3701	1580	123	797	166	501	2240	457	1054	361	103	20041	728	195	11582	7100	1608	5878	223	1141	244	11903	952	581	10169	201	1039	-47	645	201	62	922	215	151	0	148	332	475
Lợi nhuận khác###Other profits	-105	-230	496	535	319	-327	-32	1904	730	-536	787	923	6011	230	411	5501	-165	43448	414	153	42353	528	-10503	309	127	512	-3557	1082	370	317	190	205	942	1157	-195	185	59	29734	4433	121	13552	12137	17617	-432	3749	6707	3317	18809	7251	2964	9220	2503	11062	2846	1791	3060	3530	10245	2907	3042	0	7812	6759	18932
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	42691	511701	1506712	481341	268028	210067	543238	1205550	336122	221139	227535	420755	907379	277369	158065	161601	311075	590628	144999	139416	151083	155130	187112	207	57461	-7316	148032	335034	72891	77593	77599	106883	233007	73621	46696	30530	87971	310094	33721	109461	43466	117339	318166	53695	254360	62437	122052	263892	38868	73370	78418	82341	274720	65305	52832	49236	100235	166510	50139	51571	16666	130550	34172	43959
Chi phí thuế TNDN###Corporate Income Tax Expenses	11030	103439	312787	96538	60035	40915	114492	245627	70583	43451	47098	84494	182523	55523	31986	32655	62336	140140	50669	28167	30352	31329	111566	344	12856	-1452	33507	79162	15072	26040	13839	24198	63970	24738	10741	6913	0	55685	0	0	0	25119	60659	5678	18864	8389	28182	52551	5602	13199	13739	20269	54888	10134	9907	10266	24243	34646	6188	11590	3392	15537	4024	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	10960	104160	315667	99570	60035	40915	114492	249485	74441	43451	47098	84494	182039	55039	31986	32655	62336	139964	49890	28167	30352	31329	113508	27	12856	-977	33507	79455	15292	25811	14154	24185	64190	24680	10106	7568	22031	55248	3630	21970	3906	25119	60743	5678	18768	8485	28182	51947	5574	13096	13076	20269	54552	11019	9545	9742	24243	35529	6188	11590	3392	16528	4286	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	70	-722	-2880	-3031	0	0	0	-3858	-3858	0	0	0	484	484	0	0	0	176	780	0	0	0	-1942	317	0	-475	0	-293	-220	229	-316	13	-220	58	635	-654	0	438	810	128	-128	0	-83	0	96	-96	0	604	28	102	588	0	336	-885	362	0	0	-883	0	0	0	-991	-263	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	31660	408262	1193925	384803	207993	169152	428746	959923	265539	177688	180436	336260	724856	221846	126079	128945	248739	450488	94329	111249	120731	123802	75546	-136	44606	-5864	114525	269248	57819	51553	63760	82684	169037	48883	35955	23616	65940	254409	29282	87363	39688	92220	257507	48018	51007	54048	93871	211341	33266	60172	64754	62072	219832	55171	42925	39494	75991	131864	43951	39981	13273	115013	30149	43959
---Cac Chi So Tai Chinh---																																																																
EBITDA	1.31	1.52	1.00	1.00	1.13	1.42	1.14	1.06	1.06	0.98	0.90	0.63	0.94	0.94	1.08	0.49	0.80	0.82	0.82	0.40	0.55	0.38	0.15	0.15	0.28	-0.05	0.10	0.28	0.28	0.33	0.44	0.48	0.32	0.32	0.24	0.52	0.51	0.71	0.71	0.57	0.54	0.64	0.68	0.68	0.69	0.75	0.62	0.64	0.64	0.81	0.71	0.68	0.65	0.65	0.51	0.47	0.47	0.51	0.51	0.61	0.70	0.32	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	57.40	45.90	84.17	84.17	78.68	70.70	72.14	67.57	67.57	75.84	61.86	97.55	64.88	64.88	53.56	47.47	35.03	30.73	30.73	34.16	35.07	21.53	19.24	19.24	14.46	17.31	14.68	13.37	13.37	11.62	9.74	9.66	9.28	9.28	8.10	8.19	8.19	9.98	9.98	8.25	10.54	9.03	9.30	9.30	8.80	5.99	6.01	7.37	7.37	7.06	7.68	7.71	7.91	7.91	8.63	6.69	4.77	4.11	4.11	4.59	3.68	8.31	0.00	0.00
