CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Chi phí quản lý doanh nghiệp###Managing Expenses	11638	6955	39439	13873	11813	7465	6289	36561	7702	11864	11310	4029	35621	15352	5721	8803	5744	33796	11857	4130	11730	6078	29459	11216	6553	4764	6925	23072	9910	5508	3805	3850	27389	14460	5369	3315	4245	25704	11699	6233	2941	4831	23443	8508	5280	5135	4521	22933	8855	6711	4684	2683	21392	10242	3096	2979	2944	21087	10831	3097	3055	4103	9690	8585	5213
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7114	1939	21260	7469	8811	2319	2661	28915	15028	8950	3107	1786	28060	14920	3671	6276	3193	26699	17815	2941	3398	2545	25575	12913	2550	6958	3154	24030	9383	12024	797	1825	6764	-3822	5025	1052	4509	28574	14812	6205	1033	6524	28572	8732	6502	6935	6403	24046	7470	5498	6079	4999	17983	6963	3878	3625	3505	12506	3550	2936	3066	2955	7965	4952	4911
Thu nhập khác###Other incomes	172	1356	0	0	0	0	0	84	0	84	0	0	25	25	0	0	0	63	0	11	0	52	43	42	1	0	0	219	86	129	3	1	336	335	0	0	0	636	594	37	5	0	171	0	2	95	75	45	43	1	1	1	37	5	0	32	0	5	-10	4	0	1	3	68	1
Chi phí khác###Other Expenses	0	0	259	153	0	105	0	49	28	0	0	20	63	5	10	48	0	2	2	0	0	0	82	0	16	18	48	6	6	0	0	0	57	15	19	24	0	135	12	8	111	4	129	129	0	0	0	0	0	0	0	0	3	0	0	3	0	11	1	0	0	0	0	0	0
Lợi nhuận khác###Other profits	172	1356	-259	-153	0	-105	0	36	-28	84	0	-20	-38	19	-10	-48	0	61	-2	11	0	52	-39	42	-15	-18	-48	213	80	129	3	1	278	321	-19	-23	0	501	582	29	-106	-4	42	-129	2	95	75	45	43	1	1	1	34	5	0	29	0	-6	-11	4	0	1	3	68	1
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	7287	3294	21001	7316	8810	2213	2661	28951	15000	9034	3107	1765	28022	14939	3661	6228	3193	26760	17813	2952	3398	2597	25537	12955	2535	6940	3106	24242	9463	12153	800	1826	7042	-3501	5006	1029	4509	29075	15394	6234	928	6520	28614	8603	6503	7030	6478	24091	7513	5499	6080	5000	18017	6968	3878	3654	3505	12501	3539	2940	3066	2956	7968	5021	4912
Chi phí thuế TNDN###Corporate Income Tax Expenses	1461	612	4115	1467	1666	446	536	3730	930	1809	629	353	3012	396	732	1246	639	3690	1901	590	680	519	2991	1365	558	385	683	1906	940	389	176	402	2455	0	1443	0	0	8860	0	0	0	2188	9063	2477	2131	2254	2110	6023	1878	1375	1520	1250	4504	1742	970	913	876	3500	991	823	858	0	2231	1406	1375
Chi phí thuế TNDN###Corporate Income Tax Expenses	1461	612	4115	1467	1666	446	536	3730	930	1809	629	353	3012	396	732	1246	639	3690	1901	590	680	519	2991	1365	558	385	683	1906	940	389	176	402	2455	0	1443	454	1316	8860	4129	1924	619	2188	9063	2477	2131	2254	2110	6023	1878	1375	1520	1250	4504	1742	970	913	876	3500	991	823	859	828	2231	1406	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	5826	2682	16886	5849	7144	1767	2125	25221	14070	7225	2479	0	25010	0	0	0	0	23069	15912	2361	2718	2078	22546	11590	1977	6556	2423	22336	8524	11764	624	1424	4587	-3501	3563	574	3192	20215	11265	4310	309	4331	19551	6126	4372	4776	4368	18069	5635	4124	4560	3750	13513	5226	2909	2740	2629	9001	2548	2117	2208	2128	5737	3615	3537
---Cac Chi So Tai Chinh---																																																																	
EBITDA	0.26	-0.01	-0.42	-0.42	-0.05	0.25	0.66	0.70	0.70	0.66	0.67	0.63	0.73	0.73	0.54	0.15	-0.22	-0.48	-0.48	-0.44	-0.36	-0.21	-0.10	-0.10	-0.10	-0.05	0.04	0.04	0.04	0.05	0.23	0.42	0.50	0.50	0.17	0.32	0.55	0.80	0.80	1.01	1.03	1.18	1.23	1.23	1.16	1.37	1.46	1.22	1.22	1.06	0.87	0.70	0.76	0.76	0.67	0.44	0.22	0.16	0.16	-0.10	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.50	10.70	13.27	13.27	14.05	16.11	15.19	15.02	15.02	15.78	15.70	13.68	11.42	11.42	10.05	11.26	10.13	9.58	9.58	8.47	8.85	8.34	7.86	7.86	7.98	7.98	8.28	7.74	7.74	6.54	5.07	4.75	4.64	4.64	4.48	4.85	4.48	3.38	3.38	3.30	3.69	3.85	2.20	2.20	2.86	3.37	3.91	4.94	4.94	5.86	6.97	4.91	4.50	4.50	4.86	4.43	2.69	2.88	2.88	2.95	0.00	0.00	0.00	0.00	0.00
