CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	204238	793589	250056	184763	192097	181043	785142	236875	201323	204618	176211	809644	249122	189442	220966	180604	585057	158316	143209	143226	129536	557487	155747	134724	140589	126427	528854	140501	126825	136034	125494	536732	142827	137676	140555	142027	586267	160018	147051	146642	132555	549681	137743	124228	129358	114964	491736	124185	113848	109972	105304	424841	121007	106439	88493	330627	307800	263892
Các khoản giảm trừ doanh thu###Deduction revenues	797	7306	1633	2370	1192	2263	8844	2879	1914	2921	1398	9530	4574	2536	1613	823	4540	2057	742	991	395	5371	1867	1560	1067	876	5599	1980	1174	1095	1350	6363	3621	1044	1665	305	2858	1875	390	392	201	1792	511	432	675	145	1210	179	481	423	123	1504	466	283	452	1514	1646	1276
Doanh thu thuần###Net Sales	203440	786282	248423	182393	190905	178780	776298	233996	199410	201696	174812	800114	244548	186905	219353	179781	580517	156259	142467	142235	129142	552116	153880	133164	139521	125551	523255	138521	125651	134939	124144	530370	139206	136632	138890	141722	583409	158144	146661	146250	132354	547889	137232	123796	128683	114818	490526	124006	113368	109549	105181	423337	120541	106156	88041	329114	306153	262617
Giá vốn hàng bán###Cost of goods sold	149914	599037	191915	142778	143909	136654	596571	181335	157103	156619	133794	614223	188364	139766	172098	140942	439914	119362	106637	105951	94652	425635	120608	100015	107149	97863	404079	113018	104624	111517	102550	425935	109623	108502	113315	112239	462949	125470	116468	114031	106980	436281	111864	100456	98987	88403	386406	96327	87050	85471	83231	337576	97740	81929	71763	260075	249668	226511
Lợi nhuận gộp###Gross profit	53527	187245	56508	39615	46997	42125	179727	52661	42307	45077	41018	185890	56184	47139	47254	38839	140603	36897	35830	36284	34490	126481	33272	33148	32372	27688	119177	25503	21027	23423	21594	104434	29583	28130	25575	29484	120460	32674	30193	32219	25373	111608	25368	23340	29696	26415	104120	27679	26318	24078	21950	85761	22801	24227	16277	69038	56485	36106
Doanh thu hoạt động tài chính###Financial activities Revenues	2209	8908	3268	3097	1637	980	6176	1204	907	884	1613	6155	1316	1671	2732	293	3830	5930	500	147	402	34169	28390	676	2986	2503	9473	6139	595	1797	940	5750	1032	228	3398	534	3922	1323	245	2586	254	5739	4625	508	530	641	4134	630	442	1896	1134	9389	4516	1512	2377	11159	796	149
Chi phí tài chính###Financial Expenses	5445	16970	5265	3803	4185	3791	19297	3861	5384	4062	6111	26900	4842	7065	12572	2906	13634	3062	2350	3772	2408	16306	2958	7159	4418	2158	11586	2440	2479	3738	2929	16833	4565	5689	3181	5315	25083	5615	6281	6336	7336	32922	8151	6505	6281	9091	21048	5414	4950	5748	3955	27140	9163	6516	5519	21890	11648	8523
Chi phí bán hàng###Selling Expenses	28469	105428	30763	25983	29536	19145	97734	28757	21159	25746	20932	94114	25557	24992	23516	20120	67633	20278	19902	14536	15496	75902	27378	17328	16761	14435	92022	23293	19548	18454	15910	75446	25545	20120	16680	17508	74213	21620	20643	18712	12789	61179	21329	10386	16448	12548	60182	20736	13826	13229	11739	51727	15952	14154	8959	44462	34007	2969
Chi phí quản lý doanh nghiệp###Managing Expenses	14688	50785	13451	13068	10680	13003	56602	18066	14498	11542	13070	60670	19081	19921	15452	9371	40183	10907	8655	11312	9512	46828	18659	9210	8135	10824	15407	4417	3496	3133	2863	13895	-1196	4290	7179	6069	21413	6779	3861	5474	5299	17594	2612	4730	4161	3802	20892	3654	4944	4931	5931	14521	3927	3618	3485	8164	9489	21316
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7134	28898	12712	540	5907	8224	17891	5737	2079	6420	3830	16919	9831	-3166	1621	6736	26965	8580	5423	6811	7476	21613	12666	129	6044	2774	9635	1492	-3900	-105	833	4011	1702	-1741	1933	1125	3673	-18	-346	4284	202	5652	-2100	2227	3336	1615	6132	-1495	3040	2066	1459	1764	-1725	1451	691	5681	2137	3447
