CAN DOI KE TOAN	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804748	832156	820720	830190	746616	725127	728581	686966	740631	635464	615915	693153	676998	670778	622437	0	519843	370302	376122	220802	232482	234692	238795	229091	226412	192128	171808	180795	187788	208754	190438	177546	161117	161117	175284



KET QUA KINH DOANH	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	45850	441789	1229679	230531	245916	316099	443070	1589461	386378	246120	670534	242286	1053078	425648	129030	257966	239923	810903	176775	224080	185029	225019	650965	272212	180848	158336	100170	557064	243007	92733	144361	80872	466508	210677	79675	60573	124489	685983	221131	155208	210231	102853	416616	119459	109957	104151	71482	301748	87101	92543	68878	53752	196932	37556	54509	70284	22609	133547	37356	106227
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1056	0	1056	0	0	0	0	-1001	1001	0	0	0	0	0	0	6	0	6	0	0	4	0	0	4	0	0	0	23
Doanh thu thuần###Net Sales	45850	441789	1229679	230531	245916	316099	443070	1589461	386378	246120	670534	242286	1053078	425648	129030	257966	239923	810903	176775	224080	185029	225019	650965	272212	180848	158336	100170	557064	243007	92733	144361	80872	465452	210677	78619	60573	124489	685983	221131	156208	209230	102853	416616	119459	109957	104151	71482	301742	87101	92537	68878	53752	196927	37556	54509	70280	22609	130796	37356	106204
Giá vốn hàng bán###Cost of goods sold	29111	400046	1093497	198682	209856	282720	405067	1434405	345850	215723	622424	210671	902741	354651	106268	227296	214365	683114	133508	195743	153484	200253	541871	234499	152124	123329	85362	463433	209127	70003	120422	68451	409766	193916	72122	49287	100647	558670	178232	119620	180854	84943	353438	100994	97198	90857	60005	260869	75463	82208	56827	46969	170611	28776	45759	62959	19830	111905	34172	98591
Lợi nhuận gộp###Gross profit	16739	41743	136182	31849	36060	33379	38003	155056	40528	30397	48110	31615	150337	70997	22762	30670	25558	127789	43267	28337	31545	24766	109094	37714	28723	35007	14808	93631	33879	22730	23939	12421	55686	16762	6497	11285	23842	127313	42899	36588	28376	17910	63178	18464	12759	13294	11477	40873	11639	10329	12051	6783	26316	8779	8750	7321	2778	18891	3184	7612
