CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Vốn chủ sở hữu ###Owners equity	226335	231109	223802	223835	216704	212184	217701	208257	208273	197290	196684	202549	194373	194233	187547	185710	189422	182553	182758	181747	173685	165216	176311	175160	166639	167036	177646	170425	172411	170991	163361	158810	161367	160615	161006	162358	156477	161764	161475	154551	155358	150300	153597	154062	150123	148591	142239	161309	161184	152872	139444	133025	141481	140688	136427	133474	127180	127598	128984	132020	129783	126189	79437	79532	71160	65137	62251	66238	54456
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-793	-274	241	391	1787	1787	571	884	1217	0	95	528	655	14	285	1678
Vốn chủ sở hữu ###Owners equity	226335	231109	223802	223835	216704	212184	217701	208257	208273	197290	196684	202549	194373	194233	187547	185710	189422	182553	182758	181747	173685	165216	176311	175160	166639	167036	177646	170425	172411	170991	163361	158810	161367	160615	161006	162358	156477	161764	161475	154551	155358	150300	153597	154062	150123	148591	142239	161309	161184	152872	139444	133025	141481	141481	136700	133233	126789	125811	127196	131449	128899	124973	79437	79437	70633	64482	62237	65953	52777
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1451	1986	1986	1358	1199	1274	1637	1544	827	1219	261	382	391	26	-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221931	210457	221037	220011	203829	203523	214990	216959	212901	217983	206805	194895	203733	201767	201642	188097	182392	187037	187389	179580	161549	161563	160735	160741	154484	145265	161750	157448	158459	165039	158380	164297	146244	146244	92551	95288	84840	79375	100080



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	146716	119048	563272	152893	148366	141050	123029	560144	143025	148713	141445	129015	518781	146311	135643	131435	105394	497132	138971	130578	125576	98102	437624	135579	112493	103357	86195	363533	113597	98468	84155	67314	297676	95546	70274	78665	55252	261287	81195	64351	64457	52434	233322	65696	63001	57537	47089	213923	52646	89386	45379	38134	154421	39582	42572	41091	31176	124581	33418	34902	31006	25229	96403	31192	24789	23123	17543	72316	41207
