CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008
Giá vốn hàng bán###Cost of goods sold	5477	5028	73265	10383	25911	24572	12398	66205	47882	5429	6054	6747	117704	24436	16126	55865	21276	109903	44603	45665	7811	11825	49367	14877	12885	5733	15167	27777	10037	2910	11917	1556	68230	3868	9744	18301	41114	51489	30820	1715	16188	2694	194304	53328	37212	60581	44896	216811	79902	68983	0	3284	150720	2591	80411
Lợi nhuận gộp###Gross profit	2802	2365	17281	4711	3441	4909	4219	13358	6649	2092	2662	2049	15163	1370	4658	4155	4980	23047	5301	6224	4947	6064	18984	4647	6171	4103	4565	10582	3567	2921	2035	2579	8572	2436	-72	2523	4271	14293	5116	3004	1836	4989	23808	6794	3929	4962	5631	43962	10974	9950	11494	7229	31852	3001	17014
Doanh thu hoạt động tài chính###Financial activities Revenues	1262	159	3261	835	770	942	714	4011	1601	717	1547	146	5147	1554	224	2863	506	3837	1763	347	1574	153	5032	2688	574	1480	174	2563	1157	213	1025	162	3710	961	939	1689	618	8012	1863	1280	3263	1651	14941	3820	2429	6869	2138	12700	7483	2070	0	935	11507	3438	11846
Chi phí tài chính###Financial Expenses	3	54	331	130	110	30	62	37	37	0	0	0	76	0	46	4	27	94	56	0	-18	55	0	0	0	-127	12	20	0	14	1	0	1155	135	101	422	77	1104	12	773	890	120	2732	1505	101	733	324	1391	614	127	0	0	393	0	715
Chi phí bán hàng###Selling Expenses	315	325	1641	487	327	324	503	1332	339	339	239	414	1546	429	435	384	298	1215	745	165	154	151	595	214	135	115	132	662	100	0	258	0	505	144	128	93	208	1116	189	0	461	96	4943	750	598	1743	2301	5559	2178	689	0	0	109	0	389
Chi phí quản lý doanh nghiệp###Managing Expenses	1715	2016	8195	2328	2051	1906	1910	8642	2505	1787	2007	2343	12559	3936	2407	3106	3388	16682	4141	4261	3992	4288	14881	4505	3231	3773	3335	11098	3263	2537	3077	2514	11467	2642	2343	3747	5106	15028	4867	3837	3757	3310	19866	5727	3592	3708	4604	17866	4425	5193	0	2404	16803	2494	15123
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2031	130	10374	2602	1723	3591	2459	7359	5369	683	1962	-562	6129	-1442	1994	3525	1773	8893	2120	2145	2394	1722	8540	2616	3379	1823	1259	1365	1361	583	-275	228	-845	475	-1705	-52	-501	5058	1911	-326	-9	3115	11209	2631	2066	5647	539	31846	11240	6011	0	5760	26055	3946	12633
Thu nhập khác###Other incomes	12	0	248	26	6	176	1	8451	74	105	1231	1065	8753	8525	0	108	27	7507	2634	3616	1257	0	1160	566	141	6	64	4170	778	13	1918	750	2339	8	2075	239	544	5942	2731	993	814	1234	1444	688	0	405	11	535	86	354	0	23	317	0	2061
Chi phí khác###Other Expenses	0	0	45	0	0	43	2	873	0	90	234	90	36	0	36	0	0	1296	1275	19	3	0	32	2	2	0	0	695	47	35	600	12	0	0	0	0	2	15	0	12	1	3	11	7	0	2	2	120	89	0	0	0	3	0	52
Lợi nhuận khác###Other profits	12	0	203	26	6	133	-1	7578	74	15	998	975	8717	8525	-35	108	27	6211	1359	3598	1255	0	1128	564	139	6	64	3475	730	-22	1318	738	2339	8	2075	239	542	5926	2731	981	813	1231	1434	681	0	403	9	416	-3	354	0	23	313	0	2009
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2043	130	10577	2628	1728	3724	2458	14936	5442	698	2960	413	14846	7083	1959	3633	1801	15104	3479	5743	3649	1722	9668	3180	3518	1828	1323	4840	2092	561	1042	966	1494	484	371	187	41	10984	4642	655	804	4346	12642	11976	2066	6050	548	32262	11237	6364	7048	5783	26368	3946	14642
Chi phí thuế TNDN###Corporate Income Tax Expenses	278	26	2142	526	348	757	503	3490	1110	173	677	198	3189	1520	400	760	436	3544	1040	1178	796	429	2399	783	785	460	343	1131	468	134	244	235	310	121	93	0	0	2402	0	0	0	842	2739	438	403	1582	228	8211	3455	1602	0	0	4686	0	3905
Chi phí thuế TNDN###Corporate Income Tax Expenses	278	26	2142	526	348	757	503	3490	1110	173	677	198	3189	1520	400	760	436	3544	1040	1178	796	429	2399	783	785	460	343	1131	468	134	244	235	310	121	93	124	15	2402	1166	124	227	842	3145	438	403	1582	228	8211	3455	1602	0	0	4686	3881	3906
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-194	0	-407	0	0	0	0	0	0	0	0	0	0	0	-1
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1765	104	8435	2103	1380	2967	1955	11447	4333	525	2283	215	11657	5563	1559	2873	1364	11560	2440	4565	2853	1294	7269	2396	2734	1368	980	3709	1624	427	798	731	1183	363	278	63	26	8583	3477	531	772	3504	9903	2873	1663	4467	320	24050	7782	4762	5031	5783	21682	65	10737
---Cac Chi So Tai Chinh---																																																							
EBITDA	0.14	0.53	0.60	0.60	1.57	0.95	0.63	0.16	0.16	-0.13	-0.07	-0.55	0.44	0.44	-0.15	-0.12	0.33	-1.40	-1.40	-1.35	-0.50	-0.03	0.53	0.53	0.54	0.48	0.52	0.72	0.72	0.72	0.82	0.77	0.82	0.82	0.78	0.59	0.51	0.17	0.17	0.08	0.03	0.45	0.72	0.72	0.43	0.34	0.17	0.11	0.11	0.52	1.09	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	17.10	16.00	51.04	51.04	43.33	21.67	20.62	14.10	14.10	15.69	14.28	10.61	13.41	13.41	13.56	13.34	16.97	12.03	12.03	13.44	12.73	13.03	5.79	5.79	5.94	7.15	8.09	7.40	7.40	6.23	6.74	5.68	4.28	4.28	3.78	3.84	4.96	3.74	3.74	3.02	4.61	3.52	4.06	4.06	2.93	2.51	4.23	6.74	6.74	8.85	12.55	0.00	0.00	0.00	0.00
