CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006	 2005
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q1 2008	 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	99561	111680	479622	114912	121501	118631	124578	542948	126099	119230	193569	147157	602372	168420	161924	145520	126507	603202	138730	155223	161974	148457	887957	201508	232570	193767	260112	1447196	366234	361576	353210	366176	1354598	342824	370666	368810	272298	1549689	401908	352921	400208	394652	1908082	457261	443871	536922	470028	1983003	505748	513542	529597	434116	1316917	398476	358368	301758	258316	2187115	442030	642971	506171	1433554	1912099	1732867
Các khoản giảm trừ doanh thu###Deduction revenues	1388	1459	8170	2006	2170	2070	1924	10575	2190	1971	3345	3069	9120	3173	2085	2413	1449	9388	1902	2499	2110	2877	15251	3718	4600	2915	4019	28234	7365	5981	6782	8106	32440	7893	8483	9080	6985	36525	8106	8391	11494	8535	39008	8530	9809	11371	9299	51066	10640	12619	14595	13212	33751	10469	9588	7659	6035	51518	11149	13616	14544	25205	26106	29589
Doanh thu thuần###Net Sales	98173	110222	471452	112906	119331	116561	122654	532373	123909	117259	190224	144088	593252	165247	159839	143107	125058	593814	136828	152724	159864	145580	872706	197790	227971	190852	256093	1418962	358869	355595	346428	358070	1322158	334931	362183	359731	265313	1513164	393802	344530	388715	386117	1869073	448731	434063	525551	460729	1931937	495108	500922	515002	420905	1283167	388008	348780	294099	252280	2135597	430881	629355	491626	1408350	1885993	1703278
Giá vốn hàng bán###Cost of goods sold	133417	142960	507597	128225	126684	128938	123749	578202	139658	134410	183181	158500	715814	181258	186839	164055	183662	753768	185019	185053	197321	187382	991763	213863	250861	231116	295923	1498975	365099	391011	368075	374791	1439370	354873	375238	435056	274203	1409644	380098	342860	348285	338401	1628789	391719	400838	468452	367780	1511785	392809	376387	408093	334496	1093488	302107	262750	253920	274711	1899027	470707	551729	0	1150433	1713014	1527483
Lợi nhuận gộp###Gross profit	-35244	-32738	-36145	-15319	-7353	-12377	-1096	-45829	-15750	-17151	7043	-14412	-122562	-16011	-27000	-20947	-58604	-159954	-48191	-32329	-37457	-41802	-119057	-16073	-22891	-40264	-39830	-80013	-6230	-35416	-21647	-16720	-117212	-19942	-13054	-75326	-8890	103520	13704	1670	40430	47716	240284	57012	33224	57099	92949	420152	102299	124535	106909	86409	189678	85901	86030	40178	-22431	236569	-39825	77626	491626	257917	172979	175795
Doanh thu hoạt động tài chính###Financial activities Revenues	501	220	4394	3786	117	324	167	2438	590	736	739	385	4772	1218	552	2379	623	12464	950	1004	9523	1001	11352	1354	2067	1508	1093	6793	1880	1201	2209	1503	10677	2270	3633	2983	1792	10666	2345	2088	2578	3745	32991	7943	3703	8682	12663	61774	16427	15322	18451	11575	60755	25573	19102	7618	8462	73721	16155	12348	0	15324	9600	6195
Chi phí tài chính###Financial Expenses	10733	15753	77850	15515	16179	19893	26263	132550	41665	20204	50623	47028	124815	29892	31678	31841	31403	146660	52679	31925	31801	30083	139744	84347	23446	15058	11571	36796	18260	8841	5815	3880	51740	16016	7531	10363	17830	143000	24931	34050	35813	48206	323043	117079	59134	70921	75908	306429	96412	95927	72140	41950	171732	56397	50254	28043	37038	221331	72605	36312	0	79162	67953	35000
Chi phí bán hàng###Selling Expenses	535	623	3241	685	786	862	909	4508	991	890	1186	1441	4911	1566	1191	-5240	7394	4592	1008	1496	901	1188	10953	2440	2412	2267	3834	24440	5700	6496	5753	6491	29160	6005	7726	8909	6520	40598	8741	9654	10236	11967	55481	13386	14139	17707	10249	53562	14419	11696	15912	11535	32815	11502	8929	5720	6664	45612	-5733	21781	0	44893	50471	40572
Chi phí quản lý doanh nghiệp###Managing Expenses	7316	5902	30838	8344	7694	7782	7018	44316	13398	6891	15993	10298	27706	7090	6352	14264	0	39305	8916	9763	9978	11191	48813	11614	13847	10733	12620	49676	13606	12066	12060	11944	50564	12709	14151	12524	11180	57867	16849	14199	14368	12573	72693	21076	17075	19075	15466	68235	23355	15123	16952	12805	44740	14851	11666	7498	10725	49805	16122	12730	0	31764	23857	31171
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-53517	-54926	-144394	-36289	-32011	-40800	-35322	-225396	-71365	-44533	-60019	-72794	-275222	-53342	-65669	-58696	-97515	-338047	-109844	-74509	-70614	-83408	-307410	-113257	-60528	-66711	-66761	-184132	-41916	-61618	-43066	-37532	-237998	-52402	-38830	-104138	-42628	-127279	-34472	-54144	-17409	-21285	-177941	-86586	-53421	-41923	3990	53700	-15460	17111	20355	31693	1147	28724	34282	6537	-68396	-6458	-106664	19150	491626	117422	40298	75247
Thu nhập khác###Other incomes	365	232	1752	323	139	1271	19	1465	1241	18	103	114	90478	90080	324	27	47	13688	709	393	908	24294	202938	72953	344	293	129348	1246	659	342	111	135	91084	701	90318	32	33	8399	114	4305	1239	2742	281094	163377	60058	56197	1463	83090	53683	289	28863	255	118648	81938	10074	21212	5424	284309	167245	82905	0	2732	7326	5466
Chi phí khác###Other Expenses	28326	28073	129619	18390	31352	45808	34068	31243	2982	3	238	1430	48705	47439	972	215	79	3333	62	948	1203	13540	89382	-12294	318	2122	99236	1819	848	8	923	41	76579	472	75388	660	59	5697	1076	2585	166	1870	32716	22134	6176	4209	196	9221	3773	1253	3165	1031	39441	8448	3045	27666	282	11591	4359	3371	0	19162	7806	8355
Lợi nhuận khác###Other profits	-27961	-27841	-127867	-18067	-31214	-44537	-34049	-29777	-1741	15	-135	-1316	41772	42641	-648	-188	-33	10355	647	-555	-295	10753	113555	85247	26	-1829	30111	-573	-189	334	-812	94	14505	230	14929	-627	-27	2701	-962	1719	1073	871	248378	141242	53881	51988	1266	73869	49910	-964	25698	-775	79207	73490	7029	-6454	5143	272717	162886	79534	0	-16430	-480	-2890
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-81478	-82766	-272261	-54356	-63225	-85337	-69371	-255173	-73106	-44518	-60154	-74110	-233450	-10701	-66317	-58884	-97548	-327692	-109197	-75064	-70908	-72655	-193855	-28009	-60502	-68541	-36650	-184705	-42105	-61284	-43877	-37438	-223493	-52173	-23900	-104766	-42655	-124577	-35434	-52425	-16336	-20414	70437	54656	460	10065	5256	127569	34450	16147	46054	30918	80354	102214	41310	83	-63254	266259	56222	98684	491626	100992	39818	72357
Chi phí thuế TNDN###Corporate Income Tax Expenses	1329	703	143	42	23	42	41	126	0	0	0	0	-23	0	0	0	-23	-65046	0	0	6	-65046	169	58	8157	9	-8052	-40468	-9121	-13473	65	118	225	34	86	0	0	122	0	0	0	152	18716	14301	567	2531	1316	32030	8734	4053	13271	5972	20283	271	2063	169	222	74509	0	0	0	3324	5829	18218
Chi phí thuế TNDN###Corporate Income Tax Expenses	1329	703	0	0	0	0	0	0	0	0	0	0	-23	0	0	0	-23	23	0	0	6	23	169	58	38	9	66	568	291	94	65	118	289	34	86	101	68	122	-304	171	103	152	8416	7230	567	582	37	28675	11040	352	9187	8097	9580	89	2063	169	222	75739	58761	9699	0	1712	8734	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	143	42	23	42	41	126	0	0	0	0	0	0	0	0	0	-65069	0	0	0	-65069	0	0	8119	0	-8119	-41036	-9412	-13566	0	0	-64	0	0	0	-64	0	0	0	0	0	10300	7072	0	1949	1279	3355	-2305	3701	4084	-2125	10703	17558	0	0	0	-1229	-1229	0	0	1612	-2905	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-82808	-83470	-272404	-54398	-63248	-85379	-69411	-255300	-73106	-44518	-60154	-74110	-233427	-10701	-66317	-58884	-97525	-262645	-109197	-75064	-70914	-7609	-194201	-28067	-68659	-68549	-28597	-143688	-32984	-47812	-43942	-37557	-223718	-52207	-23986	-104866	-42658	-124699	-35129	-52596	-16439	-20565	51721	40355	-107	7534	3940	95538	25716	12094	32783	24945	60071	84567	39247	-86	-63475	191750	-1310	88985	491626	97668	33989	54139
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.40	0.50	0.70	0.70	0.50	0.70	0.70	0.70	0.70	0.60	0.60	0.80	0.90	0.90	1.10	1.10	1.20	1.20	1.20	1.20	0.90	1.60	1.70	1.70	1.90	1.80	2.20	2.50	2.50	2.70	2.60	3.70	3.10	3.10	2.10	2.70	2.90	2.40	2.40	2.30	3.70	4.20	4.00	4.00	5.90	6.70	7.08	10.19	10.19	11.40	15.25	13.56	13.83	13.83	13.49	10.44	9.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00
