CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Giá vốn hàng bán###Cost of goods sold	951004	1178923	5319485	1584769	995029	1291222	1449814	5562568	1927891	1100232	1337570	1199188	4263628	1446152	843929	1017643	936222	4002778	1278852	840297	882185	996286	5640695	1335787	1362333	1377160	1565517	5812394	1488903	1523105	1367651	1445851	5437276	1638036	1198834	1390884	1208274	5400230	1447832	1279422	1346901	1324880	5200640	1714116	1174350	1227863	1087669	4357909	1162758	1062655	1021171	1102861	3149770	993076	854485	725692	576405	2600168	625984	584571	676703	707507	2277790	725078	522634	570757	513483	1753023	66650	1241357
Lợi nhuận gộp###Gross profit	236649	202206	840560	237925	175992	230929	194359	871410	242849	180216	243153	202878	782831	232107	138253	223293	208861	801952	194631	178303	254719	174679	1275326	290521	327781	404185	252738	995767	270181	260730	254651	209675	761012	200376	155248	217934	186736	662973	185167	147639	162822	167283	877080	236083	230995	207697	201484	793574	318927	182683	140072	162936	593068	248056	134210	108358	104153	370431	94614	88850	115306	80288	297892	99608	68984	71990	60139	237739	4614	190501
Doanh thu hoạt động tài chính###Financial activities Revenues	19909	11689	44109	7045	17351	8997	11825	31552	13034	3473	7005	8082	31867	7146	6868	10102	7765	30452	5035	4603	9007	13092	41383	17757	12230	6113	4970	19742	4820	5375	4126	5579	16062	6669	6181	1962	3323	38920	8141	4800	9739	14939	48621	7633	12113	18271	10928	17157	4215	3500	6048	3393	15237	1498	2766	6808	4141	27803	6121	5305	8325	6377	11192	5430	2008	1937	1846	4499	14	2067
Chi phí tài chính###Financial Expenses	10217	45563	137240	29063	33052	43431	31047	111220	35769	34238	21751	20335	60269	15714	15431	12748	16390	77350	29093	11724	22751	13797	158611	36950	52691	38891	29766	50388	15810	11648	12550	11586	87558	27678	23242	19351	18441	87823	18891	18084	26298	25688	205009	42694	26096	54275	80802	123431	41425	31449	19125	31433	104709	26455	12608	29394	36227	123383	39862	27994	39933	11287	45625	8629	17125	12133	8593	40991	147	20782
Chi phí bán hàng###Selling Expenses	126778	107316	468667	139077	102400	118861	107779	489929	132545	104354	136522	113300	446045	145864	90081	117653	113814	409255	89002	97974	122393	102430	590771	170048	134649	157676	128399	477319	121326	122175	113845	119226	373466	100656	72470	101623	97801	327267	110165	74205	67227	72445	358090	123737	74704	78862	76718	300580	116704	65348	73528	65680	238399	77561	67245	47003	47383	190232	63010	33967	47197	45548	0	57042	35122	40465	29222	0	847	0
Chi phí quản lý doanh nghiệp###Managing Expenses	51317	28963	105293	28616	21029	23707	25069	95822	37506	4231	31090	23077	91679	29285	6247	28431	26106	106986	20191	19026	42791	21452	148359	35181	41657	48741	22677	152798	40536	28577	56803	26218	74906	30514	12854	21043	11543	67157	15322	23575	9944	18117	65983	31437	14541	15544	2345	85639	56222	6568	1917	10465	73591	21825	31829	5945	14363	19954	-2828	6743	10336	9514	205760	20362	5158	9903	9711	162677	1036	143736
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	70611	29530	161468	46661	33488	50331	38810	186293	45490	32716	55999	52071	212858	46710	32233	73503	60338	249359	62461	52488	85301	50092	418968	66099	111014	164989	76865	335004	97328	103706	75580	58225	241144	48197	52863	77878	62274	219646	48930	36575	69092	65971	296620	45849	127766	77287	52547	301081	108792	82819	51551	58752	191607	123713	25293	32825	10321	64665	692	25451	26164	20316	57699	19006	13586	11425	14459	38570	2597	28050
Thu nhập khác###Other incomes	3710	2401	27581	3908	724	-2621	25570	9550	1360	3635	4254	301	4349	2290	508	1170	381	10628	8338	-4050	6305	35	12629	1378	5491	4843	917	10004	741	6780	1828	655	15449	3516	5977	5526	431	9842	4455	486	4585	391	8777	1356	1783	5020	618	9148	2987	1156	850	4154	11652	876	4578	5873	325	9852	4461	4140	475	590	6991	3936	477	2356	196	5241	34	11514
Chi phí khác###Other Expenses	1006	612	3688	1977	813	-2868	3766	1807	491	254	673	389	2129	528	530	750	320	3334	990	604	1091	649	7973	1727	1132	4914	200	1631	331	537	323	440	3390	311	1822	934	323	2753	-1360	-449	4352	287	1464	835	58	442	129	1021	781	59	132	49	1462	1269	15	178	0	6800	6478	174	132	16	955	577	293	4	80	1849	0	824
Lợi nhuận khác###Other profits	2704	1788	23893	1931	-89	246	21804	7743	868	3382	3581	-88	2219	1761	-23	420	61	7294	7348	-4654	5214	-615	4657	-349	4359	-71	717	8373	410	6243	1505	215	12059	3204	4155	4592	108	7089	5815	936	234	104	7313	521	1725	4578	489	8127	2206	1098	718	4105	10190	-393	4562	5696	325	3052	-2017	3966	343	574	6036	3359	183	2352	116	3391	0	10690
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	73315	31318	185361	48592	33399	50578	60614	194036	46358	36098	59580	51983	215077	48472	32210	73923	60400	256653	69809	47835	90515	49477	423625	65750	115373	164919	77582	343376	97737	109948	77085	58440	253203	51401	57018	82470	62382	226735	54745	37511	69326	66075	303933	310264	263894	81865	53035	309208	110998	83916	52269	62857	201797	123321	29856	38521	10646	67717	-1325	29417	26508	20890	63734	22364	13769	13777	14575	41961	2632	38740
Chi phí thuế TNDN###Corporate Income Tax Expenses	16142	7469	40197	12250	7245	11540	12472	41046	9526	8948	11636	10933	43676	9548	6746	15249	12111	51829	9686	11535	20651	10311	95015	11945	27310	37390	18369	76527	21739	24410	17077	13267	64040	13103	14388	0	0	57910	0	0	0	16561	74654	11653	32387	17589	13290	39851	11739	10609	8058	10066	28909	16137	1628	6574	2789	12677	978	4122	3971	2927	8669	3014	1921	3050	2040	5853	736	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	16142	7469	38784	10838	7245	11540	12472	41046	9526	8948	11636	10933	43676	9548	6746	15249	12111	51829	9686	11535	20651	10311	95015	11945	27310	37390	18369	76527	21739	24410	17077	13267	64040	13103	14388	20518	16047	57910	15222	9439	17543	16561	74654	11653	32387	20456	13290	39851	11739	10609	8058	10066	28909	16137	1628	6574	2789	12677	978	4122	3971	2925	8669	3014	1921	3050	2041	5853	736	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	1413	1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	57173	23850	145164	36342	26154	39038	48142	152990	36832	27151	47944	41050	171401	38923	25464	58674	48289	204824	60123	36300	69865	39166	328610	53804	88063	127528	59213	266849	75998	85538	60009	45173	189163	38299	42629	61952	46335	168825	39523	28072	51783	49514	229279	34717	97104	61409	39745	269358	99259	73307	44211	52790	172888	107184	28228	31947	7856	55040	-2303	25295	22537	17965	55065	19350	11848	10727	12535	36109	1895	38740
---Cac Chi So Tai Chinh---																																																																						
EBITDA	0.60	0.31	-0.12	-0.12	0.02	0.01	0.18	0.12	0.12	0.06	0.09	-0.15	0.09	0.09	0.34	0.62	0.71	0.22	0.22	0.15	0.12	0.11	0.30	0.30	0.70	1.03	1.42	1.29	1.29	1.16	1.06	0.73	0.90	0.90	0.57	0.80	1.05	1.08	1.08	1.16	1.27	1.12	1.19	1.19	1.02	0.88	0.78	0.90	0.90	1.24	1.19	1.18	1.19	1.19	0.96	0.95	0.91	1.03	1.03	1.17	1.16	0.95	0.05	0.05	-0.01	-0.01	-0.01	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.58	10.02	10.30	10.30	12.76	12.94	13.38	13.71	13.71	15.02	13.30	15.83	18.40	18.40	20.46	20.54	19.28	18.94	18.94	19.21	21.00	21.62	24.77	24.77	21.83	17.94	18.64	16.36	16.36	12.44	9.28	10.59	7.91	7.91	7.13	7.00	6.16	6.36	6.36	5.98	6.68	5.05	4.25	4.25	5.38	5.46	6.24	7.70	7.70	7.37	8.63	7.53	4.02	4.02	3.55	2.53	1.65	2.00	2.00	2.39	1.59	2.44	4.58	4.58	5.43	5.35	7.54	6.02	6.02	0.00
