CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q3 2008	Q2 2008	Q1 2008	 2007
Doanh thu hoạt động tài chính###Financial activities Revenues	799	366	7816	9715	1110	2867	520	21192	5617	678	13784	386	4791	1619	2866	2436	170	14552	-270	223	12319	1478	7759	2477	2172	1727	1383	6352	2215	1744	1945	448	1583	1766	276	2361	1549	10129	1595	3495	2684	1845	11036	2082	3797	4403	790	4016	368	226	3231	190	422	125	84	280	107	1300	641	197	638	668
Chi phí tài chính###Financial Expenses	45598	31944	107987	57716	18817	18127	12388	63685	23129	12089	18982	8760	41883	5724	13673	13857	11927	40922	7700	12502	12652	8178	44365	11987	11373	11550	9455	43602	11939	10876	10517	10270	52430	8870	12771	13893	12056	65346	16781	12709	20415	17128	69456	18837	19123	11722	19674	31449	5708	10794	9080	5867	8811	3084	1935	2874	68	8736	2407	2824	2333	10362
Chi phí bán hàng###Selling Expenses	116	149	1087	669	3	-73	358	2753	2653	98	2	0	323	0	236	0	87	260	65	65	65	65	237	59	59	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706	0	195	510	526
Chi phí quản lý doanh nghiệp###Managing Expenses	16449	10929	53403	14512	12303	12102	11153	44113	17128	8988	9909	8354	35135	9281	9185	8616	7771	31929	7858	7521	7704	8557	35859	7135	8429	10245	10050	37150	13206	6644	10810	6491	29038	10725	7126	7701	7443	31815	10350	7158	7319	7097	39194	8368	8270	8903	13653	26743	7336	6149	7609	5649	15366	5993	3006	2471	1533	13348	3281	3254	2856	7528
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	10689	1169	31996	26289	2653	7378	6239	27683	19890	3082	3553	1249	11490	6202	3066	-760	3004	22859	1508	5680	6710	8652	33666	12641	1205	8348	11472	25510	13756	5298	4503	2006	6093	1389	1416	467	1218	19547	10910	1918	4764	2049	51615	9896	14655	10802	16241	45317	14357	5234	20117	3723	26728	10733	5359	1553	2031	20667	1892	-735	1666	9387
Thu nhập khác###Other incomes	1054	44	4381	518	779	948	0	18788	4173	1748	-5894	19456	6206	2223	960	3377	370	1273	297	633	2037	5379	36852	25617	8652	2317	265	14980	5913	4554	743	3770	21339	2576	887	-16363	34290	6205	1484	2955	1204	561	3419	1097	1453	549	319	7169	-490	1040	791	5827	4439	4319	65	24	20	1283	45	983	30	6090
Chi phí khác###Other Expenses	385	892	4490	771	524	587	463	8565	711	2472	-8265	14342	4980	1175	1248	1663	1618	7471	-189	2729	3156	9024	21960	11799	6735	3335	91	14973	6451	1721	665	4836	24523	3407	1109	-15428	32564	2742	319	2066	267	90	4088	1641	1527	750	202	3427	406	577	680	267	3969	3944	1	15	0	241	0	182	0	153
Lợi nhuận khác###Other profits	669	-847	-109	-253	256	361	-463	10223	3462	-723	2370	5114	1226	1048	-288	1715	-1248	-6198	487	-2096	-1118	-3644	14892	13818	1916	-1018	175	8	-538	2833	78	-1066	-3185	-831	-222	-935	1726	3463	1164	889	938	472	-670	-544	-73	-201	117	3742	-895	463	111	5560	470	375	64	9	20	1042	45	800	30	5937
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	11359	322	31887	26036	2909	7739	5776	37906	23351	2359	5924	6363	12716	7250	2778	954	1755	16661	1995	3584	5591	5008	48558	26459	3121	7330	11647	25570	13218	8131	4581	941	2936	520	1313	-430	2887	23010	12035	2707	5593	2471	50945	9327	14644	10637	16508	49058	13462	5697	20228	9283	27724	11634	5423	1563	2051	21602	1937	66	1696	15324
Chi phí thuế TNDN###Corporate Income Tax Expenses	876	71	8936	1878	682	2677	1321	10520	3817	1226	3957	1520	3897	1611	1203	778	408	4285	613	1114	1438	1110	11138	6139	807	1602	2410	7218	4126	1588	853	438	2416	1714	506	655	0	5869	0	0	0	1140	11634	3760	1472	2282	4129	11491	2688	1424	5057	2321	7237	5293	1221	0	256	6188	214	9	237	2145
Chi phí thuế TNDN###Corporate Income Tax Expenses	876	71	8936	1878	682	2677	1321	10520	3817	1226	3957	1520	3897	1611	1203	778	408	4285	613	1114	1438	1110	11138	6139	807	1602	2410	7218	4126	1588	853	438	2416	1714	506	655	853	5869	2693	778	1215	1140	11634	3760	1472	2282	4129	11491	2688	1424	5057	2321	8225	5293	1221	201	256	6228	0	0	0	2145
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-988	-988	0	0	0	-40	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	11809	427	29017	25517	2610	6988	6864	34518	36287	988	1600	7525	12858	6903	1684	211	1563	16487	1382	2469	4153	3898	41672	20321	2314	5728	9237	21129	9091	6543	3728	502	520	-1194	807	-1085	2034	17141	9342	1930	4378	1331	39311	5568	13172	8355	12380	37568	10774	4273	15171	6962	20487	7329	4202	1361	1795	15414	1723	57	1459	13179
---Cac Chi So Tai Chinh---																																																														
EBITDA	0.64	0.65	-0.07	-0.07	-0.05	0.02	0.32	0.27	0.27	0.39	0.38	0.26	0.42	0.42	0.69	1.34	1.42	1.54	1.54	1.52	0.85	0.46	0.45	0.45	0.62	0.59	1.25	1.15	1.15	1.19	1.26	0.92	0.64	0.64	0.65	1.00	1.28	1.10	1.10	1.17	1.18	1.26	1.70	1.70	1.76	1.75	1.63	1.61	1.61	1.50	1.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.10	2.90	3.88	3.88	3.96	4.40	3.96	3.44	3.44	3.52	3.52	3.52	3.70	3.70	4.40	5.64	4.40	3.88	3.88	4.40	6.25	5.97	7.13	7.13	7.01	5.92	6.76	4.00	4.00	3.78	3.72	4.39	3.44	3.44	3.27	3.31	3.36	3.31	3.31	3.41	4.68	4.03	3.80	3.80	4.24	4.32	5.22	7.66	7.66	9.04	12.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
