CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013
Thu nhập khác###Other incomes	3049	148	3294	1070	459	819	946	2203	1339	344	125	396	7517	5727	412	-51095	52473	50747	238	41	2	20	48	46	0	90	0
Chi phí khác###Other Expenses	4126	71	5896	1215	1215	1289	2177	26546	17260	3194	4328	1765	4203	1328	2716	-51163	51322	1208	879	188	12	130	41	4	2	90	0
Lợi nhuận khác###Other profits	-1077	77	-2602	-145	-756	-471	-1231	-24343	-15921	-2850	-4203	-1369	3314	4399	-2304	69	1151	49539	-641	-147	-10	-110	7	42	-2	0	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-151516	4807	224565	124200	11923	55041	33400	244456	123069	21242	66803	33343	1057472	786735	80910	70160	118767	578822	238244	98939	90105	101087	145228	61790	47066	2338	-60
Chi phí thuế TNDN###Corporate Income Tax Expenses	-734	4397	47051	23132	3794	11960	8165	59479	31127	6076	14554	7722	209340	147565	18576	16168	26642	108676	50642	20210	17607	20217	29046	12358	9230	348	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	47	3632	40399	6831	4203	21099	8265	69919	29425	6832	16113	17549	213864	147996	20902	17934	26642	108676	50642	20210	17607	20217	29046	12358	9230	348	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-781	765	6652	16300	-409	-9139	-101	-10441	1702	-756	-1559	-9827	-4524	-432	-2326	-1766	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-150783	410	176750	100929	7869	42964	24989	183600	91431	14956	52249	25270	847767	639412	62309	52905	93328	470421	187602	78729	72499	80870	116182	49432	37836	1990	-60
---Cac Chi So Tai Chinh---																											
EBITDA	0.99	0.86	0.37	0.37	0.37	0.54	1.38	1.18	1.18	1.51	1.59	0.56	0.70	0.70	-1.08	-3.09	-2.78	-1.45	-1.45	-7.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.97	3.26	17.30	17.30	26.40	29.80	32.00	38.70	38.70	40.30	43.00	112.50	151.42	151.42	89.25	67.05	124.32	86.89	86.89	25.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00
