CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007	 2006
Vốn chủ sở hữu ###Owners equity	836386	827984	823586	823965	799628	795948	794987	792714	791303	786756	785286	792095	793601	793937	783264	783610	803144	786087	785648	763676	728566	701963	722872	729454	670259	652308	699052	681894	698886	631886	630928	625346	645957	648241	617324	641444	641422	674701	672506	641503	612501	623184	591695	582029	573014	539472	584765	550882	551254	412309	378180	193936	193936	123470	72899	14512
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0
Vốn chủ sở hữu ###Owners equity	836386	827984	823586	823965	799628	795948	794987	792714	791303	786756	785286	792095	793601	793937	783264	783610	803144	786087	785648	763676	728566	701963	722872	729454	670259	652308	699052	681894	698886	631886	630928	625346	645957	648241	617324	641444	641422	674701	672506	641503	612501	623184	591695	582029	573014	539472	584765	550882	551254	412309	378180	193936	193936	123171	72899	14512
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18564	17595	17595	6640	6661	48	6701	50	52	52	57	58	59	61	60	66	70	73	73	75	81	81	81	28	28	27	27	-299	12	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	892978	950260	964685	970442	880979	926886	905546	940090	940310	1023903	1070987	1092146	1140594	1130303	1043899	1013020	1221753	1149991	1150025	1013716	811103	689300	689300	438601	353873	113548



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	159821	187890	874780	610400	77430	83902	103047	412290	168744	92619	98892	52678	561395	118986	139382	200718	102309	1301579	376569	565299	281537	78174	723316	313395	151174	153066	105681	330622	184996	33740	62575	49310	418707	171862	91129	62216	93682	479915	188031	140619	80952	70321	482586	187446	133159	76093	85888	752972	330318	267202	81532	73910	706895	328228	95626	322151	271292	229719
Các khoản giảm trừ doanh thu###Deduction revenues	7	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	26	27	0
Doanh thu thuần###Net Sales	159815	187890	874760	610381	77430	83902	103047	412290	168744	92619	98892	52678	561395	118986	139382	200718	102309	1301579	376569	565299	281537	78174	723268	313348	151174	153066	105681	330622	184996	33740	62575	49310	418707	171862	91129	62216	93682	479915	188031	140619	80952	70321	482586	187446	133159	76093	85888	752972	330318	267202	81532	73910	706881	328228	95626	322125	271264	229719
Giá vốn hàng bán###Cost of goods sold	114568	164751	755009	559543	53070	61421	80783	318522	131812	71061	74455	41814	420482	94419	105872	150956	68925	1023490	288716	470638	202316	59040	496605	195356	107769	117194	75929	204708	101246	32552	41023	30264	331960	116104	68194	62182	83841	299849	113279	98188	56777	33248	274803	112443	80054	47480	33239	477578	184136	190982	55909	50378	521344	238850	67084	225667	207609	172875
Lợi nhuận gộp###Gross profit	45246	23139	119750	50838	24360	22481	22264	93768	36932	21558	24436	10864	140912	24566	33511	49762	33385	278089	87852	94662	79221	19135	226663	117992	43405	35872	29753	125913	83751	1188	21552	19046	86747	55758	22936	34	9842	180066	74752	42431	24176	37072	207783	75003	53105	28613	52649	275394	146183	76220	25623	23533	185537	89378	28541	96458	63655	56844
Doanh thu hoạt động tài chính###Financial activities Revenues	5136	540	6458	2219	1562	1965	686	10204	2727	1913	2362	2002	12063	7332	1225	2358	1149	17261	2104	981	2836	2541	9224	2892	4372	2080	1306	17012	3278	3714	4985	5236	38335	6369	7294	16411	9437	37502	5734	5541	17575	8785	39237	15541	1792	13770	7974	11644	5368	1727	2241	2828	5358	3069	1571	4327	472	203
Chi phí tài chính###Financial Expenses	4404	398	3094	737	356	832	923	2896	1974	719	650	99	1042	-851	582	604	603	14456	-7817	3698	6694	2611	30946	11590	11906	9059	2060	14652	8386	1876	3155	1436	10016	5652	1645	-4954	212	1357	920	56	-23	631	51245	31207	690	13806	5728	33624	18524	4755	6051	3876	31855	22029	2702	23352	3846	2028
Chi phí bán hàng###Selling Expenses	6398	6927	36193	8198	9953	8662	8776	38320	16899	9461	12038	-1926	2365	-8491	3577	2567	4800	36770	7142	22945	7148	2932	25431	10483	3326	8006	3561	14060	4397	5304	3848	326	7111	3861	5825	-593	9	7719	-2152	4356	5163	-82	15431	-4945	6702	4452	9210	12970	2630	3114	3757	3135	30931	12921	7398	17215	19267	9008
Chi phí quản lý doanh nghiệp###Managing Expenses	26523	11398	53151	16717	11891	13158	10974	51070	16952	12108	9652	13844	96895	33794	20299	21600	21114	134373	62981	23476	36851	11283	84409	29997	16919	18092	18498	48280	16260	-2898	17897	16261	69851	28219	16215	15785	13783	88414	48512	13449	14771	13329	57945	19762	12689	13335	9962	57969	29763	10522	10630	7551	36424	19629	5988	23410	16341	20243
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	13035	4957	34383	27404	3722	1794	2278	11675	3831	1179	4459	846	52266	7073	10267	27370	7971	109750	27651	45523	31364	4850	94485	68521	15409	2297	7333	65933	58689	1272	1289	5657	38104	24397	6545	6207	5274	119703	33206	30111	21840	31979	122122	44522	34815	10790	35724	185003	100634	59556	7426	11799	91685	37868	14024	36808	24673	25767
Thu nhập khác###Other incomes	338	429	5165	5669	309	181	431	1004	649	150	19	185	5267	874	1733	46	2614	4262	1779	488	1188	808	15831	7374	487	4087	3884	10220	10153	14	9	45	1403	661	456	272	15	2075	1473	294	121	179	1802	1361	88	0	99	566	182	196	170	17	1519	657	381	965	35	83
Chi phí khác###Other Expenses	96	0	465	1520	228	135	6	207	7	97	2	101	700	-5178	514	5139	277	2446	-230	1580	191	905	22965	3867	6134	7196	1553	13385	12891	144	185	128	1840	813	209	783	0	1783	34	20	66	0	976	462	504	26	2	880	330	28	3	520	2462	1460	210	824	2	16
Lợi nhuận khác###Other profits	242	428	4700	4150	82	46	425	797	643	53	17	84	4567	6052	1219	-5093	2337	1816	2009	-1092	997	-97	-7134	3508	-5647	-3110	2331	-3165	-2737	-130	-176	-83	-436	-152	247	-511	15	291	1438	274	55	179	826	899	-415	-26	96	-314	-148	169	167	-503	-943	-803	171	141	34	67
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	13277	5385	39083	31554	3803	1840	2703	12472	4474	1232	4476	930	56833	13125	11486	22277	10309	111566	29660	44430	32361	4753	87351	72029	9762	-812	9664	64375	55952	1141	1113	5574	37983	26569	6581	5451	3885	119994	35355	29689	21705	32269	122948	44952	34720	11785	34980	184689	103059	59724	7589	10099	95113	41436	14195	38724	26596	25834
Chi phí thuế TNDN###Corporate Income Tax Expenses	3326	1043	8372	6976	124	878	697	3489	1420	761	536	822	11749	2178	2569	4579	2450	17429	1154	9320	6509	523	14203	10795	2752	-98	1115	2546	2104	43	-21	485	6013	2356	1403	2153	0	3790	0	0	0	249	8370	3690	-239	598	4325	14444	11865	1236	-2118	-686	4940	4824	0	1778	3723	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	3273	973	7885	6860	6	756	567	3418	1267	580	927	695	11173	1707	2490	4411	2593	17526	2680	9683	4663	577	13513	10356	2320	269	929	3939	3450	113	182	260	6713	814	494	5100	444	3644	-3088	627	5986	246	3241	3272	498	61	418	20751	17930	1326	412	252	5275	4826	0	1778	3723	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	53	70	487	116	118	123	131	71	153	181	-391	127	576	471	80	169	-143	-98	-1527	-362	1845	-54	690	439	432	-367	186	-1393	-1346	-70	-203	225	-701	1542	909	-2947	25	147	-212	44	27	3	5129	418	-737	537	3906	-6306	-6065	-90	-2562	-938	-335	-2	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	9744	4467	31562	24328	4305	1584	1870	8629	3462	441	3940	-190	45336	11264	8749	18038	7622	93537	28506	35111	25853	4230	73108	61234	7010	-714	8549	59559	53848	1098	1134	5089	31970	24212	5178	3298	3416	116204	38655	29018	15693	32021	114578	41262	34959	11186	30655	170245	91194	58489	9739	10785	90173	36612	14195	36946	22873	25834
---Cac Chi So Tai Chinh---																																																										
EBITDA	0.64	0.99	0.21	0.21	0.51	0.56	0.63	0.61	0.61	0.44	0.40	0.23	0.35	0.35	-0.11	-0.43	-0.14	0.20	0.20	0.27	0.38	0.53	0.52	0.52	0.50	0.54	0.15	0.01	0.01	0.11	0.13	0.28	0.59	0.59	0.33	0.40	0.51	0.42	0.42	0.38	0.48	0.31	0.45	0.45	0.54	0.37	0.57	0.30	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.72	4.16	5.98	5.98	6.25	6.77	6.62	7.68	7.68	9.49	10.00	13.45	13.70	13.70	15.70	21.27	21.26	23.87	23.87	20.36	19.82	19.33	17.72	17.72	16.61	12.37	11.83	9.47	9.47	9.68	10.02	12.63	11.49	11.49	12.74	15.24	18.73	16.63	16.63	14.68	13.45	13.22	14.98	14.98	13.63	13.49	15.69	20.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
