CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636639	620650	611669	612742	638853	648625	648083	665899	665980	700107	734145	792030	841771	874766	1046035	0	950523	792156	859454	784203	723339	676649	640720	642629	605726	602373	563615	551411	543571	511645	518978	475243	399617	268722	277346



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	148670	185737	756657	219940	180649	183229	172839	812364	236769	189848	194269	191478	775837	215276	187207	215640	157713	758620	212444	180816	182827	182533	674392	189640	164017	175443	145291	719713	206329	160263	178097	175051	681824	221292	165289	175854	150030	637371	169528	162118	121417	214187	686634	225334	191088	195859	190939	579749	241420	168415	165329	136808	577773	180959	144550	121426	131574	484159	99729	123660	129412	131357	362819	350342	167109
Các khoản giảm trừ doanh thu###Deduction revenues	2114	449	4643	1003	1360	440	1839	8184	1764	2100	1692	2628	10495	3060	2631	1377	3427	20814	5345	5683	5566	4221	4827	1018	1208	1145	1456	10148	6984	1008	986	1240	7254	9842	1395	976	1142	25542	4592	4338	26957	11081	56620	2504	13040	331	2321	22147	2549	3514	645	2343	2254	801	1069	981	1273	9250	4463	1309	2842	636	6085	1907	1738
Doanh thu thuần###Net Sales	146556	185288	752014	218937	179289	182789	170999	804180	235005	187748	192577	188850	765342	212216	184577	214263	154286	737806	207100	175133	177261	178312	669565	188623	162809	174297	143836	709565	199345	159255	177111	173811	674570	211450	163894	174878	148888	611829	164935	157781	94461	203107	630014	222830	178048	195528	188618	557602	238871	164901	164684	134465	575519	180158	143481	120445	130301	474909	95266	122351	126570	130721	356733	348435	165370
Giá vốn hàng bán###Cost of goods sold	105158	137407	564820	155288	134760	139853	134918	595819	174598	141632	141704	137885	514896	139846	130101	143946	101003	498251	139393	118348	117618	122892	464037	129325	112579	120028	102104	469738	133037	103150	114477	113368	461091	156406	114043	117674	103169	440905	115296	113438	56109	163440	466344	174044	129083	152080	143109	410131	208090	115225	134110	99402	436118	139136	109923	87779	100016	351098	63873	84235	97557	104650	268680	295863	122922
Lợi nhuận gộp###Gross profit	41398	47881	187194	63649	44529	42935	36081	208360	60407	46117	50872	50964	250446	72370	54476	70317	53283	239555	67707	56785	59643	55419	205528	59297	50230	54269	41731	239826	66308	56105	62634	60442	213479	55044	49851	57203	45719	170924	49640	44343	38351	39667	163670	48786	48965	43448	45509	147470	30780	49677	30574	35063	139401	41022	33558	32666	30285	123811	31393	38116	29013	26072	88053	52572	42448
