CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	27059	52614	1092624	333965	215392	279053	309667	154837	75912	27421	59869	1415	571939	566827	31812	-1000	4949	287296	270163	-182	1232	10354	329116	121182	70672	74173	50908	377925	19516	266694	43192	51099	1539385	1103068	60021	160050	40967	522620	247412	167596	96156	975174	1092438	1268471
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-39	39	0	0	21	0	0	0	0	0	0	0	0	59	0	10213	0	0	0	0	0	3900	1302	3939
Doanh thu thuần###Net Sales	27059	52614	1092624	333226	215392	279053	309667	154837	75912	27421	59869	1415	571939	566827	31812	-1000	4949	287296	270163	-182	1271	10315	329116	121182	70651	74173	50908	377925	19516	266694	43192	51099	1539385	1103009	60021	149837	40967	522620	247412	167596	96156	971274	1091137	1264532
Giá vốn hàng bán###Cost of goods sold	5242	42147	764112	178046	163063	104586	295561	122171	71670	3858	55073	812	299949	303492	30949	-7517	3853	219177	197121	332	6175	-1351	296934	113929	70068	58137	45240	318337	7071	260579	29107	44006	1380539	997286	56710	144420	40936	439273	242158	148836	81624	826455	1010687	1195413
Lợi nhuận gộp###Gross profit	21817	10467	328512	155180	52329	174467	14106	32666	4242	23562	4796	602	271989	263335	863	6517	1096	68118	73041	-513	-4903	11666	32182	7253	583	16036	5668	59588	12446	6115	14085	7093	158845	105723	3311	5417	31	83347	5254	18760	14533	144819	80450	69119
Doanh thu hoạt động tài chính###Financial activities Revenues	8593	2135	44168	9432	26478	2688	5095	18071	4006	4207	5818	4041	138725	4940	3788	124768	5225	1971	68453	2024	57	90	3494	2917	381	1881	191	4150	350	701	1465	2050	25749	2756	1568	8447	7971	16979	5768	4232	3659	25347	64966	25077
Chi phí tài chính###Financial Expenses	2973	0	14377	-14217	0	11805	0	15758	8942	4450	0	0	44889	-28145	974	59745	3545	40540	88795	4044	7458	1492	13262	2687	3925	4873	593	30340	6294	56	8954	3443	25424	43661	38	2201	2386	37637	13713	9155	7659	89207	42449	25946
Chi phí bán hàng###Selling Expenses	1648	1437	51372	31515	1676	39656	2152	2113	0	0	124	0	273	0	0	0	0	0	0	0	6	0	8	0	0	-8	8	0	212	0	0	0	0	490	0	0	0	2088	381	738	569	768	2137	13838
Chi phí quản lý doanh nghiệp###Managing Expenses	8357	9362	42602	23894	14591	4998	14094	14540	3304	4370	2758	3692	38166	21349	2786	6499	2371	5091	-840	5673	5421	6579	24132	5921	5575	7818	4751	31406	13468	5840	9198	5494	187472	164310	9803	11148	5345	43542	20662	8863	8656	28803	27191	21704
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	17432	1804	264330	123420	62540	120696	2955	18326	-3998	18950	7732	952	312027	275072	892	65041	405	23928	53539	-8206	-18262	3686	-1508	1562	-8536	5453	507	1992	-7179	920	-2279	206	-28302	-99982	-4963	515	272	15799	-23735	4236	1308	52075	68452	32708
