CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Giá vốn hàng bán###Cost of goods sold	44826	69578	251380	69512	57195	57355	67287	236611	66150	54812	59805	55845	227566	62947	52372	52877	59370	205259	58320	44319	49703	50681	189604	55461	45134	45966	43003	175335	56032	36283	39894	43126	163824	48429	35558	37697	42177	146278	48418	36763	30921	30176	144339	41261	34601	31647	35406	133900	45119	36315	30009	22622	84175	24305	20522	20114	18860	87527	21626	16069	21278	28555	93280	27753	24286	22467	18756	64942	17884	15329	12582	19148	76578
Lợi nhuận gộp###Gross profit	13953	18863	67525	21838	12683	14603	18432	51880	17210	10645	10695	13329	61200	18646	12134	14299	16098	59483	19974	14681	12899	14098	45289	13445	12414	10049	9422	35400	11050	8068	5715	10568	37191	10152	5900	9521	11581	33255	11199	7520	5895	8575	53359	12366	10558	13294	18566	28477	8819	6324	7364	6094	26474	7395	6310	6443	6242	21823	6628	5498	5175	4522	25637	5107	8271	8193	4085	23547	6479	6170	4156	6742	21522
Doanh thu hoạt động tài chính###Financial activities Revenues	93	260	451	99	142	91	119	539	166	220	105	48	770	166	243	173	190	399	188	64	107	40	893	136	368	302	88	700	310	44	344	50	747	105	142	438	67	359	46	43	59	148	10046	228	492	302	737	1583	99	1037	73	373	1106	363	111	204	417	2031	702	690	423	215	1309	884	163	164	99	1149	695	85	276	93	555
Chi phí tài chính###Financial Expenses	284	206	1323	171	336	412	404	1198	239	553	251	154	1130	234	306	231	322	429	132	35	78	184	544	180	75	155	134	266	141	101	9	1	66	13	30	18	5	679	4	44	94	537	3535	561	724	1355	895	2597	669	546	659	407	327	168	25	59	75	341	42	86	37	176	415	218	55	45	98	270	75	62	68	64	365
Chi phí bán hàng###Selling Expenses	3496	4290	15524	4873	3625	3474	3552	13625	4091	2569	3802	3163	13838	3617	3349	3653	3059	11683	3293	2656	2851	2882	11063	3353	2379	2611	2555	8917	2702	2309	2125	1756	8057	2250	1897	1862	2048	6303	2524	1307	1446	1026	5620	1548	1205	1361	1266	5360	1516	2036	865	1037	3248	944	880	763	723	3458	927	717	810	1004	3459	1043	936	804	676	2465	842	516	535	572	2373
Chi phí quản lý doanh nghiệp###Managing Expenses	2517	3355	10267	2791	2364	2674	2439	9748	3259	1694	2638	2300	9711	2787	2351	1714	2288	12292	4581	2012	2459	3240	10078	2306	2580	1857	2105	6636	1838	1573	1552	1685	6283	1701	1332	1376	1884	5898	2150	1380	1247	1096	5975	1987	1365	1195	1338	5579	1706	1430	1410	1183	4502	1360	989	1062	1067	4357	1258	787	1144	1168	4526	1138	1049	1311	1028	4243	1097	1033	987	1125	4136
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7749	11272	40861	14102	6501	8133	12155	27848	9787	6049	4110	7759	37292	12175	6371	8874	10620	35479	12156	10043	7618	7832	24497	7742	7747	5727	4716	20281	6679	4129	2373	7175	23532	6294	2783	6702	7710	20735	6567	4833	3167	6064	48276	8498	7756	9686	15803	16524	5027	3350	4503	3840	19503	5285	4528	4763	4794	15699	5104	4598	3608	2389	18546	3592	6393	6198	2382	17718	5160	4643	2841	5074	15203
Thu nhập khác###Other incomes	133	123	640	239	112	280	9	1108	646	15	211	236	600	445	68	38	71	897	546	71	244	158	3195	887	2813	32	8	727	247	493	240	127	1599	930	299	129	241	808	277	502	1	28	332	226	23	1	82	2437	2186	25	309	87	402	273	61	35	34	805	411	37	315	42	399	1209	41	42	50	353	118	66	93	76	539
Chi phí khác###Other Expenses	0	2	532	210	24	298	0	120	80	0	5	35	381	69	4	257	51	628	483	6	73	348	1091	217	1353	63	3	935	113	940	120	140	482	324	58	136	10	1915	514	746	453	202	152	93	3	0	56	775	433	20	157	69	397	95	102	48	48	550	58	179	268	45	151	111	11	7	3	91	0	75	0	15	241
Lợi nhuận khác###Other profits	133	121	108	28	88	-18	9	988	566	15	206	201	219	376	65	-219	21	269	63	65	171	-191	2104	670	1460	-31	5	-208	133	-447	120	-13	1117	606	242	-7	231	-1108	-237	-244	-453	-174	180	134	20	1	26	1662	1752	4	152	18	5	177	-41	-14	-14	255	353	-142	48	-3	248	1097	30	35	46	263	118	-10	93	61	297
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	7882	11392	40969	14131	6589	8116	12164	28836	10352	6064	4316	7961	37511	12551	6435	8655	10641	35748	12220	10107	7789	7641	26600	8413	9207	5696	4721	20074	6813	3681	2493	7162	24649	6900	3025	6695	7942	19627	6331	4589	2714	5890	48456	8632	7776	9687	15829	18186	6779	3354	4655	3858	19508	5462	4487	4749	4780	15954	5457	4455	3655	2386	18794	4689	6423	6233	2429	17981	5278	4633	2934	5136	15500
Chi phí thuế TNDN###Corporate Income Tax Expenses	1617	2299	8328	2741	1329	1683	2447	5861	2133	1221	856	1603	7680	2514	1283	1798	2136	7125	2492	2008	1556	1548	4093	1320	1486	853	710	1504	514	277	200	542	2109	628	278	0	0	2658	0	0	0	1310	1623	352	450	529	951	1044	420	73	149	217	1157	290	234	240	257	802	265	416	0	121	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1656	2308	8305	2836	1229	1748	2481	5763	2145	1141	921	1508	7549	2507	1274	1615	2136	7926	2487	1998	1762	1548	4357	1320	1486	853	710	1504	514	277	200	542	2109	628	278	556	638	2658	340	671	533	1310	1623	352	450	507	951	1044	420	73	165	217	1157	290	234	240	257	802	265	416	0	121	0	0	319	299	157	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-38	-9	24	-96	99	-65	-34	98	-12	80	-65	95	131	7	9	183	0	-801	4	10	-205	0	-264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	6265	9094	32641	11390	5261	6433	9717	22975	8219	4843	3460	6358	29831	10037	5153	6857	8505	28623	9728	8100	6233	6094	22508	7093	7721	4844	4011	18570	6298	3404	2293	6619	22540	6272	2746	6139	7303	16969	5990	3918	2181	4579	46834	8280	7326	9180	14878	17142	6360	3281	4489	3641	18352	5172	4253	4509	4523	15152	5192	4040	3655	2265	18794	4689	6104	5934	2271	17981	5278	4633	2934	5136	15500
---Cac Chi So Tai Chinh---																																																																									
EBITDA	0.49	0.58	-0.38	-0.38	-0.10	0.05	0.74	0.75	0.75	0.77	0.77	0.04	0.13	0.13	0.12	0.58	-0.90	0.62	0.62	0.50	0.63	0.92	0.46	0.46	0.60	0.40	0.10	-0.09	-0.09	-0.30	-0.37	-0.24	-0.04	-0.04	0.42	0.18	0.18	0.61	0.61	0.52	0.75	0.79	0.32	0.32	0.44	0.37	0.12	0.27	0.27	0.40	0.56	0.65	0.56	0.56	0.57	0.35	0.34	0.50	0.50	0.44	0.65	0.57	-0.02	-0.02	-0.03	-0.04	-0.04	0.70	0.70	0.52	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	58.00	64.68	103.49	103.49	125.04	115.52	101.64	63.36	63.36	79.71	70.33	87.83	44.05	44.05	43.71	55.17	42.77	39.04	39.04	40.71	35.87	25.41	25.86	25.86	35.65	26.63	23.91	23.11	23.11	22.92	20.77	17.29	15.09	15.09	13.93	12.65	9.83	9.16	9.16	10.21	7.90	12.83	7.27	7.27	6.78	7.78	7.36	7.68	7.68	7.36	7.01	6.94	6.74	6.74	6.40	5.16	3.73	3.19	3.19	4.39	3.77	5.18	11.08	11.08	9.55	8.18	10.04	7.80	7.80	9.35	0.00	0.00	0.00
