CAN DOI KE TOAN	 2019	 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	Q4 2007
Chi phí bán hàng###Selling Expenses	0	201	22	202	41	15	26	120	1183	246	308	283	345	1027	321	339	269	98	415	94	111	70	140	478	91	78	33	26	575	72	87	229	134	614	205	139	119	150	371	262	109	141	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	15213	6231	756	9794	1281	945	4669	2192	9099	3110	2086	1646	1665	20054	9387	2559	6191	2161	11212	3998	2245	2900	2433	22171	3621	2526	2415	2313	32022	12908	3220	5530	3189	11624	3187	2934	2013	2273	9565	3566	2153	2443	1840	13615	6450	8062
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-13750	-4665	-609	-13166	-1560	-1501	-5397	-3569	-12410	-4057	-2739	-2436	-2586	-21388	-5400	-3244	-11198	-2025	-10486	-7209	-1711	-2426	-2010	-18080	-2857	-1233	-1077	-1032	-27682	-13628	-1019	-3572	-1101	-3612	-3056	2335	552	236	5944	599	1848	1379	1967	5407	7098	296
Thu nhập khác###Other incomes	874	754	27	5786	1144	453	3464	675	7424	1174	4923	377	250	2878	2290	92	139	1817	12794	19186	235	48	304	1338	162	369	169	781	10577	5989	1218	2357	1425	10294	3701	3307	367	134	12648	9760	2836	37	33	47087	7352	5955
Chi phí khác###Other Expenses	307	57	9	12489	10000	1	-3338	6197	262	86	45	22	1	1611	63	86	1440	3	1148	3281	394	32	144	918	10	153	13	632	4925	4264	43	56	101	2175	39	2229	36	17	5555	2421	2788	74	301	42596	799	730
Lợi nhuận khác###Other profits	567	697	17	-6703	-8856	451	6802	-5522	7162	1088	4878	355	248	1267	2227	6	-1301	1814	11646	15905	-160	15	160	420	152	217	156	149	5652	1725	1175	2301	1324	8118	3662	1079	331	117	7092	7340	48	-37	-268	4492	6553	5224
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-13183	-3968	-592	-19869	-10416	-1049	1405	-9091	-5248	-2969	2139	-2081	-2338	-20121	-3173	-3237	-12499	-211	1160	8696	-1871	-2411	-1850	-17660	-2705	-1016	-921	-884	-22030	-11903	156	-1271	223	4507	4930	3413	883	353	13037	7939	1896	1342	1698	9899	13651	5520
Chi phí thuế TNDN###Corporate Income Tax Expenses	80	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0	122	0	0	2	0	-391	0	0	0	56	1407	166	707	-9	85	3075	2055	380	301	340	2009	1365	556
Chi phí thuế TNDN###Corporate Income Tax Expenses	80	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	84	134	53	-46	56	1302	166	707	224	85	3380	2359	380	301	340	2009	1365	556
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0	122	0	0	-2	0	-475	0	0	-455	0	105	0	0	0	0	-304	-304	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-13263	-4040	-592	-19869	-10416	-1049	1405	-9091	-5248	-2969	2139	-2081	-2338	-20121	-3173	-3237	-12499	-211	1160	8696	-1871	-2908	-1850	-17782	-2705	-1016	-923	-884	-21639	-12037	102	-770	167	3100	440	2706	658	268	9961	5884	1515	1041	1359	7890	12286	4964
---Cac Chi So Tai Chinh---																																														
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.10	9.50	9.60	10.00	10.00	9.89	9.40	9.00	9.40	9.40	11.10	11.40	3.70	3.60	3.60	3.80	4.90	4.90	4.70	4.70	4.70	3.20	3.90	3.40	3.40	2.80	3.10	4.60	3.91	3.91	3.63	4.66	5.50	3.17	3.17	5.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
