CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446803	402144	391212	378792	357704	353691	376982	379625	369139	393625	401546	0	292714	281807	282057	292212	213094	196831	211829	187678	160035	158492	157707	157696	156199	141171	126652	147704	148297	124067	128548	116729	105414	105414	37124



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	17900	28609	247908	42153	50711	85827	69217	423665	109534	79523	166479	68259	187488	116732	23460	24747	23482	287250	33658	90735	110189	55190	195567	41262	50632	76265	10216	347503	106787	171618	47794	8600	164131	59973	35178	34120	17467	171729	44305	28555	79349	19860	146772	85735	24415	28448	12128	133095	61376	24586	25194	23159	98678	33057	27575	22905	15142	97569	36564	24466	21353	15186	46557	32508	40694
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	18588	0	17929	659	0	2846	0	0	2846	0	0	0	0	0	0	1643	0	0	1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	17900	28609	247908	42153	50711	85827	69217	405078	109534	61594	165821	68259	184643	116732	23460	21901	23482	287250	33658	90735	110189	55190	193924	41262	50632	74622	10216	347503	106787	171618	47794	8600	164131	59973	35178	34120	17467	171729	44305	28555	79349	19197	146772	85735	24415	28448	12128	133095	61376	24586	25194	23159	98678	33057	27575	22905	15142	97569	36564	24466	21353	15186	46557	32508	40694
Giá vốn hàng bán###Cost of goods sold	5092	25786	234740	39622	45737	88151	59947	366711	100500	51177	156605	58244	153638	86570	30668	18540	17226	252273	27169	83694	95220	50774	164611	33772	42726	66074	6867	316524	100226	164680	39137	5748	144457	53186	30293	28455	14053	153177	40598	22768	73756	16554	127407	78504	20677	21273	9670	113267	47748	21413	21643	19843	86181	29037	24584	20402	12158	82187	33025	18859	17614	12689	37395	26143	36085
Lợi nhuận gộp###Gross profit	12807	2823	13168	2532	4973	-2324	9270	38367	9033	10417	9216	10015	31005	30163	-7208	3361	6256	34977	6488	7041	14970	4415	29313	7490	7907	8548	3349	30979	6560	6938	8657	2852	19674	6787	4885	5666	3414	18552	3708	5787	5593	2643	19366	7232	3738	7175	2458	19827	13627	3173	3552	3317	12497	4020	2991	2503	2984	15382	3539	5607	3739	2497	9162	6365	4609
Doanh thu hoạt động tài chính###Financial activities Revenues	-425	2002	38093	11904	7943	14029	10	512	1	27	468	16	4458	35	53	4315	55	274	58	78	130	9	85	4	9	16	5	246	8	65	152	14	1392	15	45	1232	69	303	152	75	62	16	269	18	14	223	19	93	23	20	20	31	2856	2517	232	39	68	97	56	15	10	15	78	8	49
Chi phí tài chính###Financial Expenses	6899	6127	35919	8975	10557	9242	7146	30337	8028	8311	7731	7970	25267	8136	4871	8019	4211	17247	4022	3035	5122	4136	19657	5126	5314	6432	2178	17600	3134	4712	5588	2284	12034	2747	2818	2906	3553	9440	2283	3200	2761	1196	6437	1250	1141	2981	896	3615	1469	1113	733	787	4488	3101	615	300	473	3451	990	1117	857	487	458	284	258
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	767	898	5836	948	1547	1082	1321	7747	893	2004	1720	1417	8632	1628	1782	1948	1720	7651	1937	2344	1813	1514	6749	1662	1785	2057	1227	10876	1108	1450	2822	915	6011	1134	1523	2225	1081	5475	1117	981	1095	1402	5475	1627	1430	1945	887	3426	1298	870	810	553	3250	954	686	851	759	5012	1663	980	1114	662	2454	1080	3419
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	4716	-2201	9504	4514	812	1381	814	794	113	130	232	645	1563	20434	-13807	-2292	380	10353	588	1741	8164	-1226	2992	707	817	74	-51	2749	2326	840	399	-332	3021	2922	589	1768	-1152	3928	459	1681	1785	61	7723	4372	1182	2471	695	12879	10882	1210	2028	2007	7615	2482	1922	1391	1820	7015	942	3525	1778	1363	6329	5010	981
Thu nhập khác###Other incomes	-3804	3909	2463	1000	0	-354	364	445	247	61	0	0	936	0	0	0	0	12046	239	0	10742	3105	0	227	300	377	91	563	96	0	89	379	622	0	0	-1146	1640	1692	0	801	204	648	1995	0	4823	1711	0	0	0	0	0	0	506	4	0	364	138	959	556	0	0	403	1093	0	293
Chi phí khác###Other Expenses	774	1698	10887	5511	775	518	475	238	17	60	0	52	2453	474	94	30	193	19114	442	0	16734	967	313	601	702	0	0	841	553	0	288	0	499	0	0	39	328	1425	0	916	0	509	2852	0	4674	2717	0	0	0	0	0	0	124	0	0	0	124	452	60	0	0	392	697	0	436
Lợi nhuận khác###Other profits	-4578	2211	-8424	-4512	-775	-872	-111	207	230	1	0	-52	-1517	-474	-94	-30	-193	-7068	-203	0	-5992	2138	-313	-374	-402	377	91	-278	-457	0	-199	379	124	0	0	-1186	1312	266	0	-115	204	139	-857	0	149	-1006	0	0	0	0	0	0	382	4	0	364	14	507	496	0	0	11	396	0	-143
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	138	10	1080	2	36	510	703	1001	343	131	232	593	46	19959	-13901	-2322	187	3285	384	1741	2172	912	2679	333	415	451	40	2471	1869	840	200	46	3145	2922	589	582	161	4194	459	1566	1989	200	6866	4372	1331	1466	695	12879	10882	1210	2028	2007	7997	2486	1922	1754	1835	7522	1438	3525	1778	1374	6725	5010	838
Chi phí thuế TNDN###Corporate Income Tax Expenses	28	2	1035	0	7	847	141	238	69	26	46	119	0	0	0	-37	37	2300	77	348	2396	201	791	84	91	265	9	482	411	185	-10	10	883	757	147	0	0	890	0	0	0	50	1555	1093	333	366	174	3220	2721	302	507	502	1399	435	336	307	459	2106	403	987	497	384	1883	1402	235
Chi phí thuế TNDN###Corporate Income Tax Expenses	28	2	1035	0	7	847	141	238	69	26	46	119	0	0	0	-37	37	2270	77	348	2396	201	602	84	91	99	9	544	411	185	44	10	1040	757	147	145	40	890	80	276	422	50	1555	1093	333	366	174	3220	2721	302	507	502	1399	435	336	307	459	2106	403	987	498	385	1883	1403	235
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	189	0	0	166	0	-62	0	0	-54	0	-157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	110	8	45	2	29	-337	562	763	274	105	185	0	46	0	0	0	0	984	307	1392	-224	712	1889	248	324	186	31	1989	1458	655	209	36	2262	2165	442	436	121	3304	379	1290	1567	150	5312	3279	998	1099	521	9659	8162	907	1521	1505	6597	2051	1586	1447	1376	5416	1035	2538	1280	990	4842	3607	603
---Cac Chi So Tai Chinh---																																																																	
EBITDA	0.44	0.73	0.05	0.05	0.37	0.12	0.30	-0.11	-0.11	-0.30	-0.15	-1.01	0.67	0.67	0.67	0.20	0.80	1.00	1.00	1.24	0.82	0.83	0.74	0.74	0.58	0.68	1.17	1.68	1.68	2.21	2.25	2.22	0.83	0.83	-0.02	0.46	0.78	0.67	0.67	0.64	0.75	0.56	0.41	0.41	0.98	0.86	1.13	1.34	1.34	1.46	1.48	1.16	1.03	1.03	0.66	0.46	0.05	0.56	0.56	0.68	1.30	1.93	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.00	1.70	1.90	1.90	3.00	2.40	2.60	3.30	3.30	2.70	2.00	2.40	1.60	1.60	2.50	2.60	3.00	3.10	3.10	2.80	3.40	3.00	2.90	2.90	3.00	4.20	4.50	5.20	5.20	5.10	4.70	6.40	4.80	4.80	3.10	3.70	4.80	6.60	6.60	5.20	9.80	8.00	12.20	12.20	10.70	15.30	22.68	18.98	18.98	15.42	13.94	10.74	9.91	9.91	11.15	7.30	4.36	5.24	5.24	5.96	11.19	10.83	0.00	0.00	0.00
