CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Doanh thu thuần###Net Sales	7301	3045	21511	12369	1584	2996	4562	30411	9456	13045	5805	2105	13567	3944	1831	3523	4269	24221	11536	3382	3707	5606	84008	46908	21192	14662	1247	31576	11778	1008	9069	9878	39363	28234	846	4095	6188	24065	8931	4453	9924	757	25360	12540	9908	2763	496	13819	6590	2410	4783	36	15935	19926
Giá vốn hàng bán###Cost of goods sold	6679	2522	19633	11804	1359	2492	4016	25686	7416	11848	4899	1523	11692	3099	1574	2785	3522	18469	9750	2108	2088	4268	71688	41518	17871	11803	806	25442	10040	852	6902	8088	29828	21134	780	2935	4924	19103	5363	3908	9075	757	18696	7758	7838	2651	450	8432	3500	1900	2950	31	10894	13994
Lợi nhuận gộp###Gross profit	622	522	1878	565	225	505	545	4726	2040	1197	906	583	1875	845	257	739	747	5752	1786	1274	1619	1338	12320	5390	3321	2859	440	6134	1738	155	2166	1790	9535	7100	65	1160	1264	4961	3567	546	848	0	6664	4782	2070	113	47	5387	3090	510	1833	6	5041	5932
Doanh thu hoạt động tài chính###Financial activities Revenues	6	15	259	132	4	255	3	414	1	289	120	0	1062	245	553	263	0	224	210	13	0	0	267	1	1026	264	1	301	31	2	266	1	3	838	0	1	1	132	2	2	128	1	141	5	46	89	1	195	1	190	0	4	7	101
Chi phí tài chính###Financial Expenses	-439	51	199	24	496	4	-188	2467	1318	256	748	145	596	411	529	-90	-256	1258	-269	869	634	16	604	240	1591	85	-347	-997	-954	-261	506	-286	101	982	0	139	-183	187	748	0	-190	-382	3321	1572	475	1259	0	1366	1989	190	-841	4	-91	3119
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	1	8	1	5	1	1	2	1	0	0	1	8	2	0	1	5	10	4	1	4	1	10	1	3	1	5	23	2	3	0	0	57	47	0	8	1	108	116
Chi phí quản lý doanh nghiệp###Managing Expenses	529	426	1692	348	388	491	448	2506	677	729	752	348	2184	1057	452	1172	437	2257	840	655	754	354	4884	1844	1545	1226	297	3516	1630	129	961	960	3991	2415	0	901	712	4488	1972	451	608	276	3016	1964	939	160	0	2467	1410	306	634	0	1631	1476
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	539	59	245	325	-655	265	289	167	46	501	-475	90	153	-379	-171	-84	565	2451	1424	-242	231	968	7098	3307	1211	1811	490	3907	1090	290	965	1112	5436	4538	64	116	735	408	848	94	557	103	445	1248	699	-1218	48	1691	-356	204	2033	4	3400	1322
Thu nhập khác###Other incomes	0	0	30	1	26	3	0	127	23	42	57	5	749	724	6	0	19	810	173	405	374	0	200	517	0	-100	101	1001	992	8	0	0	45	0	25	20	0	285	127	31	1	123	33	30	0	1	2	1074	927	47	100	0	39	376
Chi phí khác###Other Expenses	0	0	25	2	23	0	0	78	0	3	32	43	309	21	22	0	18	5	1	2	2	0	75	69	0	7	0	933	314	132	9	49	820	740	63	14	3	282	7	80	97	0	229	226	1	0	2	263	221	42	0	0	11	0
Lợi nhuận khác###Other profits	0	0	5	-1	4	3	0	49	22	39	24	-38	441	703	-16	0	1	805	172	403	371	0	125	449	0	-107	101	68	678	-124	-9	-49	-775	-740	-38	6	-3	3	120	-48	-96	123	-196	-195	-1	1	0	811	706	5	100	0	27	376
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	539	59	250	324	-651	268	289	215	68	540	-450	52	593	324	-187	-84	566	3256	1596	160	602	968	7223	3755	1212	1704	591	3974	1768	166	956	1063	4661	3798	26	122	733	411	968	45	462	226	249	1052	699	-1217	48	2502	351	209	2133	4	3427	1698
Chi phí thuế TNDN###Corporate Income Tax Expenses	108	12	41	5	-71	13	58	0	0	0	-10	10	43	-22	0	-69	113	611	277	32	104	213	1531	826	267	317	130	951	394	37	121	266	1165	949	6	0	0	69	0	0	0	57	44	263	175	0	10	626	88	52	533	1	300	207
Chi phí thuế TNDN###Corporate Income Tax Expenses	108	12	41	5	-71	13	58	0	0	0	-10	10	43	-22	0	-69	113	611	277	32	104	213	1531	826	267	317	130	951	394	37	121	266	1165	949	6	30	183	69	166	11	46	57	44	263	175	0	10	626	88	52	533	1	300	207
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	431	47	209	319	-581	255	231	215	68	540	-440	42	551	346	-187	-15	453	2646	1319	128	498	755	5691	2929	945	1387	461	3024	1374	130	835	797	3495	2848	19	91	549	342	802	34	415	170	206	789	524	-1217	38	1877	263	157	1600	3	3127	1491
---Cac Chi So Tai Chinh---																																																						
EBITDA	0.02	-0.02	0.14	0.14	0.17	-0.04	-0.02	0.01	0.01	-0.07	0.00	-0.01	-0.22	-0.22	-0.31	-0.53	-0.50	0.12	0.12	0.20	0.44	0.42	0.30	0.30	0.24	0.09	0.31	0.66	0.66	0.79	0.92	1.26	0.43	0.43	0.18	0.01	-0.03	-0.06	-0.06	0.13	0.39	0.44	0.60	0.60	0.81	0.96	1.29	1.52	1.52	1.95	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.40	7.00	7.50	7.50	10.00	10.00	11.90	11.90	11.90	10.20	10.97	10.87	10.49	10.49	10.97	12.17	9.25	10.00	10.00	10.25	11.51	11.51	8.61	8.61	8.33	8.15	6.99	6.73	6.73	6.66	6.66	5.04	2.46	2.46	1.96	4.42	5.37	5.37	5.37	4.87	4.59	2.63	2.13	2.13	2.46	2.80	5.16	6.32	6.32	10.04	0.00	0.00	0.00	0.00
