CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007	 2006
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394137	394192	374153	377475	335510	332780	333919	339120	337253	288152	285816	262044	249848	258369	253984	0	250323	229052	230282	258881	234486	173731	146787	134126	141759	90832



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	597687	294838	1519304	347413	367137	444022	360734	1676896	425940	442538	453117	356256	1886382	493182	485686	502460	406208	1657631	472246	419355	397754	368281	1955406	477205	489504	489254	498069	1707873	568959	460522	344726	333534	1238164	353520	305246	302889	277609	962915	323041	240749	235105	165289	651760	158556	180915	169254	138493	775485	199620	247113	216656	109793	287583	37065	384934	262539
Các khoản giảm trừ doanh thu###Deduction revenues	434	2116	8453	874	1350	2016	4213	9424	3724	2615	2224	1885	5258	2503	1230	881	643	8614	1428	1207	4850	1130	8528	1680	2831	2168	1848	5601	1731	1179	771	1920	4431	1552	1316	490	1073	3169	903	1321	502	445	1530	629	326	0	0	311	-3	0	3	0	4	0	0	0
Doanh thu thuần###Net Sales	597253	292722	1510851	346538	365787	442006	356521	1667472	422216	439924	450893	354371	1881124	490678	484455	501579	405565	1649016	470818	418148	392905	367152	1946878	475525	486673	487086	496220	1702271	567227	459343	343955	331614	1233733	351967	303930	302400	276536	959746	322138	239428	234602	164845	650229	157926	180589	169254	138493	775174	199623	247113	216653	109793	287580	37065	384934	262539
Giá vốn hàng bán###Cost of goods sold	586956	284339	1463866	338953	353616	427223	344309	1608770	406434	421058	436686	343657	1806305	474551	463204	479374	389603	1582324	452257	399938	378263	352959	1884573	471695	469303	466126	475522	1646221	553458	444343	332844	315389	1188549	329144	291818	296762	272556	943519	316250	238180	230105	160385	614196	151732	170067	162344	126458	706716	199450	216500	189707	99764	271966	34092	366866	248373
Lợi nhuận gộp###Gross profit	10297	8383	46985	7586	12171	14783	12212	58703	15782	18866	14207	10714	74819	16127	21251	22205	15962	66692	18561	18210	14642	14193	62306	3830	17370	20961	20699	56050	13769	15001	11111	16225	45184	22823	12113	5638	3980	16227	5888	1248	4497	4460	36033	6194	10522	6911	12035	68457	173	30613	26946	10029	15614	2973	18068	14165
Doanh thu hoạt động tài chính###Financial activities Revenues	9680	3085	13053	3276	2966	4141	2923	16505	3572	3389	5519	3359	13572	3960	3439	3524	2768	14465	4677	3136	4708	2430	12941	5454	3636	2007	2222	21058	8868	3293	4586	3974	16207	3665	2933	7417	2359	14966	3974	2186	5798	2770	21176	2130	5852	4291	7391	19514	4659	6699	7110	1032	13039	7416	8490	8867
Chi phí tài chính###Financial Expenses	1679	3054	7258	1505	2170	2023	1768	7974	1754	2561	1780	1780	4931	1467	1322	1164	1098	6593	3369	1299	961	1457	11178	2589	3990	2545	1847	3000	-137	1296	1040	674	6087	166	798	2596	1715	8071	2246	1051	1282	525	6539	402	334	1210	3142	12502	1577	5124	2708	2290	6133	2723	5435	799
Chi phí bán hàng###Selling Expenses	926	1718	13947	1864	2888	5366	3694	16764	3635	5235	4904	3045	16531	4335	3748	4855	3505	12434	3694	2948	3065	2607	10922	2131	2414	3509	2835	5812	1958	1406	1534	914	50	-50	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	5332	5131	19708	5433	5313	4135	4924	21849	5859	6238	5370	4606	24310	5414	6554	5198	5373	26443	6405	5184	6517	6469	23271	6716	6392	5686	4598	19956	5495	4474	5142	4473	19115	7019	4121	4165	3583	17018	4606	4210	4365	3205	19407	5767	4187	5818	3260	14684	4869	4495	3698	1637	8933	1370	9745	7097
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	12634	2854	20903	2333	5392	7396	5626	36432	9474	9678	7205	10094	53104	9627	13066	16859	14564	53683	17666	13192	14200	9500	48062	5606	10473	17356	14689	48340	19773	11976	8674	13847	36139	19352	10126	6294	1040	10421	3009	-1826	4629	3500	35205	2154	11853	4174	13024	67645	-1614	27694	27651	7133	13586	6296	11378	15136
Thu nhập khác###Other incomes	54	361	3046	870	783	549	766	3085	3	1586	1448	1	957	1	945	10	0	426	12	15	271	15	2451	1001	0	86	1363	4955	4945	3	1	6	90	0	0	52	38	225	205	0	19	0	13	11	2	0	0	54	27	5	22	1	112	22	7	339
Chi phí khác###Other Expenses	33	8	130	0	73	57	0	53	35	0	10	8	191	1	191	0	0	312	2	0	-279	572	134	0	0	130	4	623	1	729	-580	726	1732	643	756	0	0	819	0	470	349	0	22	0	22	0	0	0	0	0	0	0	56	0	23	98
Lợi nhuận khác###Other profits	21	353	2915	870	709	492	766	3032	-32	1586	1439	-8	765	1	755	10	0	114	9	15	550	-558	2317	1001	0	-44	1359	4332	4944	-726	581	-720	-1642	-643	-756	52	38	-595	205	-470	-330	0	-9	11	-20	0	0	54	27	5	22	1	57	22	-16	241
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	12655	3207	23818	3203	6102	7889	6392	39464	9442	11265	8643	10086	53869	9628	13821	16869	14564	53797	17675	13207	14751	8942	50378	6607	10473	17312	16048	54424	24717	11250	9255	13127	40989	22239	11234	6972	2698	9826	6451	-1325	4048	3037	35196	6334	31670	5870	12353	67699	3322	28843	27066	8617	16758	6318	18309	15091
Chi phí thuế TNDN###Corporate Income Tax Expenses	1959	637	4024	352	1331	1215	1187	5754	1024	2241	1560	1007	9656	1929	2973	3016	1901	8884	1789	2847	2616	1508	7721	-1178	1898	3557	3211	10803	3148	2374	1094	2805	5317	1758	2355	362	0	3478	0	0	0	1083	5557	1292	2238	651	2476	13488	-113	6039	5903	1729	1425	0	1814	1819
Chi phí thuế TNDN###Corporate Income Tax Expenses	1959	637	4024	352	1331	1215	1187	5754	1024	2241	1560	1007	9656	1929	2973	3016	1901	8682	1789	2644	2488	1508	7923	-1178	1898	3901	3211	10803	3148	2374	1094	2805	5317	1758	2355	362	653	3478	1414	1041	279	1083	5557	1292	2238	211	2476	13488	-113	6084	5903	1729	1407	287	1624	1985
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	202	128	0	-202	0	0	-344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	190	-166
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	11251	2565	20788	3030	5058	6995	5387	34950	8652	9424	7084	9177	47014	8374	11648	14931	13149	46570	15886	10361	12135	7434	44491	7786	8575	13754	12837	46298	21569	8877	8161	10322	35671	20481	8879	6610	2044	6348	5037	-2366	3768	1954	29639	5042	10011	5659	9877	54211	3435	22759	21162	6887	15333	6031	16495	13272
---Cac Chi So Tai Chinh---																																																								
EBITDA	0.26	0.82	0.71	0.71	0.64	0.30	-0.07	0.02	0.02	0.00	0.27	1.01	0.59	0.59	0.99	-0.43	-0.83	-0.71	-0.71	-1.16	-1.00	-0.64	-0.13	-0.13	-0.13	0.32	0.40	0.18	0.18	0.21	0.28	-0.07	-0.02	-0.02	-0.32	-0.06	-0.02	0.12	0.12	0.24	0.17	0.22	0.26	0.26	0.73	0.91	1.34	1.90	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	31.30	26.00	32.60	32.60	27.00	20.80	18.54	21.87	21.87	24.47	46.55	38.71	46.39	46.39	43.94	50.60	49.77	42.61	42.61	48.44	41.34	41.27	53.83	53.83	50.09	42.81	32.53	32.00	32.00	27.52	20.90	22.79	12.53	12.53	8.15	9.43	9.13	9.78	9.78	16.52	20.28	20.63	13.61	13.61	16.37	16.37	23.26	23.31	23.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00
