CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	89	183	47	12	12	19	20	57	0	35	156	0	0
Vốn chủ sở hữu ###Owners equity	245148	253105	251851	251851	246245	236118	253051	251870	252163	137255	135917	148543	139571	139571	135141	132931	129747	135664	135664	130464	112743	111786	115842	115842	112755	110904	110302	113813	113813	113570	112791	111024	109005	109005	101553	101364	105089	104870	104870	112492	111066	118844	120022	121157	121429	117026	132632	128898	128933	125725	122369	90889	91489	91489	83372	81375	84907	82814	82823	80563	78146	82580	81187	81117	79095	13645	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395260	426475	481408	481408	462337	477408	474526	501820	501820	513069	529550	538674	558515	562633	581542	582054	535960	535245	535461	492503	595079	500080	407155	407148	346714	332924	256958	241196	240764	157542	162586	162520	190545	190545	0	143494	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	31628	25394	127826	64569	15194	24626	23437	128495	33935	18328	29978	46255	205385	64730	26684	56347	57623	291222	67523	74767	90855	58077	377541	154338	95207	77748	50249	429250	155096	94815	131495	47844	226783	92341	56013	16163	62265	278699	121560	41218	60219	55701	280415	84629	60906	15993	90499	465878	179631	86194	106274	93780	304086	89551	60016	94571	59949	218739	80246	57001	49770	31722	142481	49430	90969	122084	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	31628	25394	127826	64569	15194	24626	23437	128495	33935	18328	29978	46255	205385	64730	26684	56347	57623	291222	67523	74767	90855	58077	377541	154338	95207	77748	50249	429246	155092	94815	131495	47844	226783	92341	56013	16163	62265	278699	121560	41218	60219	55701	280415	84629	60906	15993	90499	465878	179631	86194	106274	93780	304086	89551	60016	94571	59949	218739	80246	57001	49770	31722	142481	49430	90969	122084	90693
Giá vốn hàng bán###Cost of goods sold	32681	25430	123367	83793	6645	14242	18687	96210	31853	13240	21017	30101	182236	62153	20788	49402	49894	229216	23778	65996	85588	53854	339272	128535	91795	73119	45823	400472	146716	88137	122998	42621	212490	84926	53101	17266	57198	228559	97096	35042	48149	48272	250933	82539	49395	10261	80349	411103	162200	74366	93755	80783	275405	81423	54162	86738	53081	198583	77889	49197	44626	26870	126095	45295	78705	109193	0
Lợi nhuận gộp###Gross profit	-1053	-36	4459	-19224	8549	10384	4750	32285	2082	5088	8961	16155	23149	2578	5896	6945	7730	62006	43745	8771	5267	4223	38269	25803	3412	4629	4426	28774	8376	6679	8497	5223	14292	7415	2912	-1103	5068	50140	24464	6176	12071	7429	29483	2090	11510	5732	10150	54775	17431	11828	12518	12997	28681	8127	5853	7832	6868	20156	2357	7804	5144	4852	16386	4135	12264	12891	0
Doanh thu hoạt động tài chính###Financial activities Revenues	264	94	861	78	169	173	441	3378	169	217	1192	1800	13039	5400	1603	3984	2028	13588	4097	2750	4222	2518	10686	4246	2595	2374	1471	786	614	106	60	5	378	3	5	349	21	712	51	10	57	595	3166	218	1567	806	576	4573	848	1597	1255	872	662	360	219	49	34	218	21	35	85	76	113	-7	121	171	0
Chi phí tài chính###Financial Expenses	1402	580	1911	539	524	557	291	1181	585	399	51	146	478	0	0	56	422	2943	528	267	1604	545	2560	372	586	602	999	2224	646	186	708	684	6253	1237	1869	1384	1763	21554	8591	333	7847	4783	7385	-2588	4249	2472	1738	17310	4032	4631	4920	3727	5030	1566	1743	239	1482	897	-3343	2016	1423	811	2986	517	2469	5222	0
Chi phí bán hàng###Selling Expenses	0	0	375	200	13	153	9	84	0	9	12	63	1911	255	482	470	703	1239	400	287	449	101	607	41	246	157	162	825	-119	394	450	100	687	248	47	204	187	806	296	296	88	127	467	120	134	120	92	499	118	108	177	96	299	136	9	147	6	148	69	11	34	34	323	152	170	288	0
Chi phí quản lý doanh nghiệp###Managing Expenses	5149	4631	21514	6353	4316	7114	3731	12130	1580	2679	4216	3654	13627	4072	1186	6090	2010	43572	34242	3386	3178	2765	10920	3263	2383	2801	2473	9927	2898	2442	2342	2245	10203	2698	2548	2536	2421	13416	3042	3681	4082	2612	14956	4845	3180	3867	3063	13518	5993	2649	2120	2541	8430	2694	1662	2319	1755	7674	1767	2305	1691	1889	6131	968	5267	5751	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-7340	-5153	-18480	-26238	3866	2733	1160	22268	86	2218	5873	14091	20172	3650	5831	4313	6623	27841	12672	7581	4258	3330	34868	26372	2792	3442	2262	16583	5566	3763	5056	2198	-2472	3235	-1546	-4879	718	15075	12586	1876	111	503	9841	-69	5513	78	5832	28021	8137	6038	6557	7506	15585	4092	2658	5176	3659	11655	3884	3507	2081	2195	7060	2491	4479	1800	2497
