CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5748	0	3703	84	482	850	888	0	0
Vốn chủ sở hữu ###Owners equity	691853	751290	759526	759062	832786	730994	807410	774309	777668	708497	661080	538969	529829	542578	466096	462903	452671	353294	365365	356557	337838	347133	346442	363568	361265	350959	324500	327542	330606	315452	312151	307754	281912	282405	285890	290534	331831	348465	335944	333500	331374	334577	344001	399597	352421	333245	341792	339103	330281	277092	260805	209446	130727	134929	130162	131048	0	117177	110326	28143
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12412	0	16527	15924	19365	18305	17989	20285	18687	17952	17450	16785	14392	14291	14250	13351	12991	9903	9878	14668	9632	8822	8822	8834	8850	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717889	764418	737946	808472	815300	826085	934952	913934	890119	871332	852742	876241	828288	969997	811728	0	808866	703040	701914	606083	547794	450453	370351	369649	346632	365683	308352	321239	189458	134066



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	32676	41151	1284093	316656	246869	362944	523191	1172595	534061	311986	403582	206829	857674	718465	40265	55515	47517	191636	116519	57273	-614	18660	121581	46589	48715	116748	36835	183890	114446	27727	27079	14638	68330	11726	15383	7758	27467	116361	28610	66457	27457	35171	333344	103114	66457	101168	77344	241264	54386	76679	67554	42645	256469	84984	64643	72069	35041	228720	138818	102242
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5212	0	0	4091	1121	2830	0	0
