CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007	 2006
Chi phí tài chính###Financial Expenses	3861	4285	14925	3632	3899	3841	3551	14611	3419	3879	3928	3386	7626	2663	2027	1819	1115	4854	1151	1138	1359	1205	3321	921	701	831	914	4939	1197	1222	1327	1193	6956	1643	1453	2169	1751	11440	2667	3018	2941	3045	15898	3998	4107	3990	3782	12502	3377	3588	3027	2510	9113	260	2079	592
Chi phí bán hàng###Selling Expenses	48945	33570	126576	43045	35581	28326	19616	87455	29426	21660	20415	15955	68041	19853	16246	17613	14288	58579	15123	13698	16845	12913	58412	18097	13678	14596	12040	45387	15195	10265	11572	8355	33093	10158	6956	8022	7957	37811	12362	11018	7089	7342	34494	7409	9095	10765	7226	15109	5487	3957	2009	3655	7199	36506	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	21511	12917	37374	10359	3387	15510	8521	35992	10891	10985	9278	4681	49612	17230	7822	7742	12065	29287	5777	9322	6652	7411	30037	8891	7280	9261	4599	25982	7253	5547	6838	5662	28283	8045	6725	7991	4221	32957	11450	5961	9960	4022	24671	4905	4539	8930	5158	21285	5093	5771	4292	6129	34883	8694	10195	9845
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	82031	26342	134339	38080	34250	32632	28646	96792	22041	23688	29593	21622	111048	26926	22923	33712	32191	98737	27955	28584	27512	14866	61876	19662	14809	16854	10974	12958	4600	4512	1444	2764	13770	5969	11717	-4648	2680	19341	-1511	5176	11952	36	20534	7503	4143	5483	6962	52606	19128	10752	3775	18951	41948	10341	11430	10642
Thu nhập khác###Other incomes	125	552	1076	659	113	162	142	2739	543	568	1451	252	3029	1704	1017	222	113	2614	800	682	417	658	5663	2190	1295	811	1281	9238	8479	116	554	81	7185	2066	2935	2600	421	8703	7064	426	2387	1701	4435	868	29	3066	17	1619	610	3	1000	6	1666	968	2449	4329
Chi phí khác###Other Expenses	1437	75	1056	306	534	175	41	495	80	214	97	105	3812	1111	741	714	629	3781	1648	443	638	1052	3921	1302	1318	1255	95	3528	2586	31	458	448	4362	1045	2566	660	182	3476	2758	217	372	54	2748	872	641	987	270	1972	430	537	977	28	954	222	610	196
Lợi nhuận khác###Other profits	-1312	477	20	353	-421	-13	101	2244	463	354	1354	147	-783	593	276	-492	-516	-1167	-848	239	-221	-395	1742	888	-23	-444	1186	5710	5892	84	96	-367	2823	1022	369	1940	238	5227	4306	208	2015	1647	1686	-3	-611	2079	-253	-353	180	-534	23	-22	712	746	1840	4134
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	80718	26819	134359	38433	33829	32620	28747	99036	22504	24042	30947	21769	110265	27518	23199	33221	31674	97570	27107	28823	27291	14472	63618	20550	14785	16410	12161	18711	10492	4596	1540	2397	16610	7006	12094	-2727	2930	24568	2808	5384	13984	1682	22220	22899	15694	10481	6709	52254	19308	10218	3798	18929	42660	11087	13269	14775
Chi phí thuế TNDN###Corporate Income Tax Expenses	12627	3134	26338	5532	5449	7454	7765	20522	4433	4537	7954	3547	18437	4877	3257	5354	6825	11072	3521	3433	2945	1697	7607	2975	1270	599	1823	1698	1636	370	-679	660	2979	-1847	6352	0	0	5906	0	0	0	423	1860	-237	723	1964	1618	11813	3413	2442	1002	4956	2153	1564	4174	4810
Chi phí thuế TNDN###Corporate Income Tax Expenses	15555	3511	27000	5837	6273	7236	7837	17028	3011	4664	6058	3419	18346	4653	3394	4394	7143	12268	2934	4012	3235	2042	7318	2781	1237	1007	1660	3273	2094	461	145	733	2819	-1670	3034	993	514	6338	-3700	1144	8407	560	2882	609	1070	1352	793	11574	2898	2038	-146	6784	7652	2625	4174	4810
Chi phí thuế TNDN###Corporate Income Tax Expenses	-2928	-377	-662	-305	-824	218	-73	3494	1422	-126	1896	129	92	224	-137	960	-318	-1195	586	-578	-289	-345	289	194	34	-408	164	-1575	-458	-90	-824	-73	160	-177	3317	-1493	-82	-432	-1611	4089	-2265	-137	-1022	-846	-346	612	824	239	515	403	1148	-1828	-5500	-1190	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	68277	23714	109393	33213	28854	25643	21092	80354	18942	20074	22993	18083	90803	23310	19726	27652	24632	86648	23587	25389	24345	12774	56077	17575	13515	15811	10337	17098	8856	4226	2219	1737	13631	8853	5743	-2227	2498	18662	8120	152	7841	1260	20360	7764	2841	7657	5091	40441	15895	7776	2796	13973	40507	9653	9096	9965
---Cac Chi So Tai Chinh---																																																								
EBITDA	0.22	0.14	-0.56	-0.56	-0.29	0.05	0.29	0.25	0.25	0.19	0.11	-0.19	-0.16	-0.16	0.10	0.11	0.18	0.26	0.26	0.28	0.69	0.55	0.63	0.63	0.48	0.09	0.23	0.13	0.13	0.35	0.29	0.65	0.29	0.29	0.30	1.00	1.19	1.18	1.18	1.08	0.77	0.71	0.43	0.43	1.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	49.17	35.08	36.82	36.82	32.72	34.68	28.65	24.19	24.19	22.23	20.70	25.44	28.01	28.01	35.48	31.04	29.34	32.39	32.39	33.02	26.07	19.65	15.77	15.77	10.57	8.00	6.63	6.63	6.63	5.02	4.11	3.91	3.32	3.32	2.55	2.94	2.37	1.89	1.89	1.99	2.69	2.59	1.99	1.99	2.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
