CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Giá vốn hàng bán###Cost of goods sold	229373	212963	886205	254450	226390	210725	194561	932355	244814	259201	223071	205335	923236	232436	225715	239508	226770	1015232	280231	255072	258006	220057	1100081	258662	281724	302046	258243	1066511	269830	278288	295278	223361	732839	236442	190884	169544	136067	485903	153394	113580	121026	101937	474862	128318	137454	118814	90416	380578	112153	98926	88559	86930	332410	89194	70726	81887	92268	395610	151248	86421	98141	72100	525353	169626	124365	133326	91454	284778	57051	82094	78664	66969	283839
Lợi nhuận gộp###Gross profit	24505	18013	108194	32146	25047	30475	21027	78783	24519	20878	18127	14932	63268	14816	15215	18142	14749	70981	21193	13492	18417	18396	81690	21357	20265	24749	15564	72064	16861	17391	24472	13114	49498	13160	12987	13530	9795	24755	7084	7012	6411	3683	52488	4907	14274	22341	12835	40912	16142	10284	8509	6575	31135	5433	6370	5925	11964	52192	14356	7557	14106	10438	69161	20140	16147	19505	13985	57790	18787	12462	15621	10920	48521
Doanh thu hoạt động tài chính###Financial activities Revenues	1558	119	1671	538	320	292	521	1292	616	247	305	125	2584	630	502	1394	58	7272	1560	658	5292	390	3979	3578	1783	1365	338	71376	70155	2434	1036	271	23825	10757	831	11017	1220	9055	2806	1952	11262	1777	61769	35730	18231	9952	5048	25587	12901	5949	3597	3737	29247	16562	1775	9715	1196	25456	6177	4406	20950	196	6856	1112	2744	5981	260	26898	9295	4093	11382	2128	6175
Chi phí tài chính###Financial Expenses	4251	3952	19990	4967	4728	5879	4424	19305	6094	4625	4782	4326	19815	4992	4698	5367	4758	14892	5488	3637	2114	1851	7019	2555	1548	1713	1695	8342	5147	2117	1993	1605	4679	1269	1070	1096	1244	5070	9126	1307	10206	-7916	34928	23267	4792	10417	835	9132	11053	1837	1341	1181	4084	1238	1003	1120	855	19259	3561	1790	12261	1064	13177	4771	5781	2817	3287	20548	6714	4735	4857	4242	10518
Chi phí bán hàng###Selling Expenses	0	32	348	272	64	4	9	254	26	35	43	149	407	101	135	120	52	485	156	117	105	109	431	136	84	106	105	410	149	77	75	109	591	180	71	115	226	1725	87	57	1442	25	1089	0	1	264	0	0	0	0	0	0	59	9	36	2938	4	730	9	5	-22	737	8413	2320	1868	2254	1972	19407	1225	3795	10467	3921	18521
Chi phí quản lý doanh nghiệp###Managing Expenses	11945	11638	51967	15547	12366	11817	12236	53017	15324	12337	13286	11844	52440	14064	13055	13763	12341	52328	16373	11456	14102	10678	46837	15116	11585	10977	9190	39951	11963	9769	10395	7872	47105	20846	8938	10646	9130	44663	12055	10416	10131	12136	50863	14871	13333	16423	7865	36535	10876	7810	8315	7144	30943	7679	6029	5086	7022	36572	8641	9884	9108	8632	39045	12758	8801	8864	7196	30252	13698	7029	4865	4659	15601
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	9997	2490	38530	11919	8443	13770	4927	7548	3741	4144	302	-1262	-7062	-3695	-2061	80	-2514	9386	376	-1502	7053	6150	31383	7128	8830	13317	4913	94738	73652	10905	15990	6309	20948	1622	3740	12691	415	-756	-11378	-2817	-4106	1215	43001	2499	14380	5190	9183	20832	7114	6586	2450	1986	25297	13069	1077	6496	5279	21088	8322	285	13709	202	15382	1403	2442	11552	1791	14482	6445	998	6814	225	10056
Thu nhập khác###Other incomes	-1526	2656	3914	612	1131	1556	797	26403	16566	1625	16917	457	3680	439	317	789	2139	13446	15936	985	-11251	16061	7432	1045	1730	930	3727	2390	916	1218	192	64	5129	2943	577	1407	201	7497	2663	1648	1492	386	955	375	140	357	138	7253	650	2136	4142	73	3029	1207	1104	659	59	34579	567	82	33587	434	7129	3609	752	457	58	43939	1205	36319	2564	3851	4503
Chi phí khác###Other Expenses	-816	2481	4521	1232	1317	2002	203	3502	7042	1123	4140	728	3462	844	1019	961	637	4907	10695	1191	-13668	15266	8819	990	1216	3169	3445	3379	2018	991	292	74	4294	1062	121	2910	201	4432	1585	1533	883	431	1240	559	103	274	167	4615	679	394	22	69	3771	902	828	422	57	42367	292	207	41463	406	4761	840	600	239	10	41750	4827	32020	4838	64	2715
Lợi nhuận khác###Other profits	-710	175	-607	-620	-187	-447	594	22901	9524	502	12777	-270	219	-405	-702	-172	1502	8540	5241	-206	2417	795	-1388	55	514	-2239	282	-989	-1103	226	-99	-10	835	1881	457	-1504	0	3065	1078	115	609	-45	-285	-184	37	84	-29	2637	-30	1742	4120	5	-742	305	276	237	2	-7788	275	-125	-7876	28	2369	2769	152	218	48	2189	-3623	4299	-2274	3787	1788
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	9288	2665	37923	11298	8257	13323	5521	30449	13265	4646	13080	-1533	-6843	-4101	-2763	-92	-1012	17926	5617	-1708	9470	6944	29995	7183	9344	11078	5195	106141	72549	11132	15890	6300	30784	6690	7241	13256	2323	2309	-7411	2470	1243	3819	42716	3743	14417	5274	9154	23469	7085	8328	6571	1991	24555	13374	1353	6733	5281	13300	8597	160	5833	230	17750	4173	2594	11769	1839	16671	2822	5297	4540	4012	11844
Chi phí thuế TNDN###Corporate Income Tax Expenses	984	815	5875	1718	959	1781	1448	10066	3689	1004	4222	1114	3582	542	1003	1247	774	6621	2891	38	2612	1234	6749	1050	1708	3545	925	17240	12980	367	2431	1418	9787	373	1737	2888	0	780	0	0	0	644	3198	-1345	5178	3320	2492	6027	1841	1177	1671	519	4874	3345	338	3	1320	1372	1364	62	75	382	1512	624	726	1615	514	4903	1284	1633	1702	612	3668
Chi phí thuế TNDN###Corporate Income Tax Expenses	984	815	5792	1583	959	1781	1448	9982	3619	1004	4209	1114	3341	369	934	1247	774	7178	3088	38	2612	1234	6635	1039	1708	3545	822	17216	13068	367	2423	1310	8840	479	1737	2303	1141	1817	-83	789	-214	644	6368	-1219	5086	3347	2492	6097	1841	1177	1692	498	4853	3345	338	3	1320	1416	1364	62	32	382	1512	624	726	1615	515	4903	1536	1664	1703	612	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	83	135	0	0	0	84	70	0	14	0	241	173	68	0	0	-557	-197	0	0	0	114	11	0	0	103	24	-88	0	9	108	947	-106	0	585	0	-1036	0	0	81	0	-3171	-126	92	-92	0	-70	0	0	0	21	21	0	0	0	0	-44	0	0	-44	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	9864	1951	36342	10058	7641	13830	5241	23110	10825	4644	8914	-2177	-6252	-4014	-2601	485	-1298	17026	2725	-1745	6858	5710	32130	6134	7636	7533	4269	101524	59569	10765	13459	4882	20997	6317	5504	10368	1182	1529	-7329	1681	1376	3175	39518	5088	9238	2019	6662	17442	5244	7151	4879	1472	19681	10029	1015	6730	3961	11929	7234	98	5845	-152	16238	3548	1868	10154	1324	11768	1286	3633	2837	3400	8176
---Cac Chi So Tai Chinh---																																																																									
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.50	11.00	11.70	11.70	10.10	29.50	20.50	20.90	20.90	14.00	9.00	9.10	7.20	7.20	8.70	6.30	10.90	12.70	12.70	14.00	10.60	10.20	12.10	12.10	6.10	9.60	9.30	12.20	12.20	7.68	9.97	9.09	6.38	6.38	3.06	4.72	4.72	7.00	7.00	6.98	6.49	6.49	5.60	5.60	7.54	7.87	12.65	17.04	17.04	13.63	10.63	9.41	9.73	9.73	10.14	8.78	5.33	5.65	5.65	10.19	10.16	20.05	34.53	34.53	29.37	21.13	23.13	14.40	14.40	18.21	0.00	0.00	0.00
