CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006	Q1 2006	 2005
Doanh thu thuần###Net Sales	-6653	104804	487382	210787	124371	90368	92275	450796	296595	113647	42468	8066	71860	61386	2747	3519	4217	11352	4854	2119	2031	2348	8055	2641	2295	1760	1364	4173	1717	820	972	664	7741	1394	1625	2953	1769	9583	2849	2546	2639	1550	9613	3119	2583	1967	2504	10176	5173	1002	2317	1683	5623	1752	1338	1536	997	5815	5512	4341	3302
Giá vốn hàng bán###Cost of goods sold	-14381	49872	248690	93121	62945	61245	62838	225251	172098	44165	12360	6821	29396	21688	1663	3060	2993	7422	3243	1270	1280	1630	5527	1469	1507	1512	1024	4361	1518	1045	1138	661	5449	921	1205	2223	1099	6970	1613	2569	2195	1327	8272	2435	1248	1298	1497	5590	2162	709	1450	1105	3583	1091	716	966	556	3306	3324	2634	1904
Lợi nhuận gộp###Gross profit	7729	54932	238692	117665	61426	29122	29437	225545	124497	69482	30108	1245	42464	39697	1084	459	1224	3929	1612	849	751	718	2528	1172	788	248	340	-189	199	-225	-165	3	2292	472	419	730	670	2614	1235	-22	444	222	1341	683	1336	669	1007	4586	3011	293	867	578	2041	661	622	570	440	2509	2188	1707	1398
Doanh thu hoạt động tài chính###Financial activities Revenues	3	9	27	7	10	3	7	17	14	1	1	0	274	0	70	204	0	5	0	5	0	0	2	46	0	1	1	5	2	1	1	1	7	1	1	3	2	45	3	15	12	16	89	13	21	30	24	51	14	13	13	11	239	173	2	3	12	164	93	5	4
Chi phí tài chính###Financial Expenses	1334	1458	2165	649	618	417	398	2454	655	479	888	433	968	728	210	2	29	855	243	229	179	205	1006	252	264	401	136	4821	4631	69	63	58	323	68	58	101	83	909	133	190	294	264	782	238	322	308	139	43	22	11	10	0	5	0	0	0	5	34	0	0	0
Chi phí bán hàng###Selling Expenses	0	36	2615	35	2548	31	0	159	73	83	1	2	531	259	240	33	0	18	1	2	13	2	38	5	5	10	18	213	10	103	100	0	219	19	58	69	74	454	98	106	122	127	445	147	400	193	128	208	0	262	54	24	184	115	56	25	80	171	119	138	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1220	1444	9095	5010	1307	2475	780	2742	1045	853	736	281	1967	533	270	454	615	2145	609	582	498	456	1917	502	469	429	518	2707	563	1074	646	447	1634	445	220	532	406	1652	153	185	357	260	2155	490	562	971	685	2485	897	558	528	371	1223	520	288	248	252	1222	894	918	1010
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	5139	52003	224686	111977	56963	26203	28267	220208	122738	68068	28484	529	39271	38178	435	173	580	916	760	41	61	55	-431	460	50	-557	-365	-7925	-5039	-1510	-987	-501	122	-58	84	31	109	-356	853	-488	-317	-413	-1953	-179	73	-773	79	1900	2106	-524	288	193	867	199	280	300	116	1246	1268	654	392
Thu nhập khác###Other incomes	157	0	537	419	1	117	0	46	0	0	0	0	316	209	0	108	0	0	0	14	0	0	0	0	0	0	477	275	89	2553	-87	361	1347	857	490	0	0	179	66	0	60	53	2609	0	2609	0	0	168	0	168	0	0	0	0	0	0	0	0	0	0	0
Chi phí khác###Other Expenses	168	114	547	124	146	145	116	591	135	210	132	114	368	114	123	116	15	105	16	47	36	20	223	67	16	30	587	1796	300	5435	50	23	1325	768	556	11	2	352	58	19	36	238	3387	27	2576	583	0	56	0	55	2	0	0	0	0	0	0	0	0	0	14
Lợi nhuận khác###Other profits	-11	-114	-10	295	-145	-28	-116	-545	-135	-210	-132	-114	-52	94	-123	-8	-15	-105	-16	-33	-36	-20	-223	-67	-16	-30	-110	-1522	-211	-2882	-136	339	22	89	-66	-11	-2	-173	8	-19	24	-186	-778	-27	33	-583	0	111	0	113	-2	0	0	0	0	0	0	0	0	0	-14
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5128	51889	224676	112272	56818	26175	28151	219663	122604	67858	28352	415	39219	38273	312	165	565	811	744	7	25	35	-654	392	34	-587	-476	-9447	-5250	-4393	-1123	-163	145	31	18	20	107	-530	862	-507	-294	-599	-2731	-205	106	-1356	79	2012	2106	-411	286	193	867	199	280	300	116	1247	1268	654	377
Chi phí thuế TNDN###Corporate Income Tax Expenses	184	0	331	-293	-75	167	201	187	169	0	5	0	73	70	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-27	27	-20	20	272	211	0	36	24	76	25	0	36	0	144	158	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	184	0	266	-293	0	92	201	187	169	0	5	0	73	70	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-28	28	0	47	0	0	0	0	0	27	-20	20	272	263	0	36	24	76	25	51	37	-1	144	158	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	65	0	-75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	5196	53053	228847	114757	58163	26473	28485	223854	124894	69172	28347	420	39914	38947	333	163	565	811	744	7	25	35	-654	392	34	-587	-476	-9447	-5250	-4393	-1123	-163	145	31	18	48	79	-530	814	-507	-294	-599	-2731	-205	80	-1336	59	1739	1843	-411	250	169	791	174	229	262	117	1103	1109	654	377
---Cac Chi So Tai Chinh---																																																													
EBITDA	1.34	0.61	-0.03	-0.03	0.39	0.92	0.85	0.76	0.76	0.74	0.54	0.34	-0.07	-0.07	-0.94	-1.12	-1.52	-1.54	-1.54	-1.07	-0.13	0.56	0.63	0.63	0.49	0.53	0.75	1.05	1.05	1.32	1.58	1.23	0.79	0.79	0.33	0.52	0.60	0.58	0.58	0.65	0.65	0.82	1.37	1.37	1.84	1.96	2.03	1.84	1.84	1.48	1.38	1.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.90	10.90	24.50	24.50	19.00	19.51	21.57	25.22	25.22	19.91	10.62	11.95	12.14	12.14	9.29	10.82	9.76	6.04	6.04	2.39	2.26	2.65	2.26	2.26	2.39	2.65	2.19	2.52	2.52	3.25	3.52	4.25	4.78	4.78	2.92	2.72	2.12	1.86	1.86	1.73	2.52	3.12	3.38	3.38	4.38	4.71	6.84	8.82	8.82	13.26	10.48	9.68	11.47	11.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00
