CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q1 2008	 2007	Q1 2007	 2006
Doanh thu thuần###Net Sales	917779	743533	3450105	878015	733700	776058	826554	2936178	907505	641049	773774	612658	2246200	511973	514949	654130	565147	2078964	375087	568123	565395	570359	2425927	642975	580043	688008	680087	2616496	819081	603750	598386	545207	2493762	819094	551639	645216	448256	3127581	835441	694479	691954	885794	3689933	1338807	656742	881900	812258	2268062	688688	519076	565029	495269	1582479	497344	388055	368261	328819	1551832	379869	1167975	364677	1159664	1024855	1024855
Giá vốn hàng bán###Cost of goods sold	848719	686484	3200372	756790	681525	730408	741288	2715520	827530	616398	725757	545159	2033567	430308	478547	602076	522208	1876467	325417	513962	513152	527697	2213434	576771	528593	642764	624352	2383131	755388	552030	570403	506725	2213457	654996	491483	643978	418872	2841712	723035	673139	646900	794603	3313584	1169092	632243	804769	709311	1973045	552837	475163	524082	423582	1404225	426317	345523	333392	298993	1317463	290878	1026194	322302	999218	927581	927581
Lợi nhuận gộp###Gross profit	69060	57049	249733	121225	52176	45650	85266	220658	79975	24651	48017	67500	212632	81666	36403	52054	42939	202496	49670	54160	52243	42662	212493	66204	51450	45243	55735	233364	63693	51720	27983	38481	280305	164097	60156	1238	29385	285869	112406	21340	45054	91191	376348	169715	24500	77131	102948	295017	135851	43913	40948	71687	178253	71027	42532	34868	29827	234369	88990	141781	42375	160446	97274	97274
Doanh thu hoạt động tài chính###Financial activities Revenues	1132	10	2101	1082	10	995	15	1914	964	12	927	11	1733	866	9	844	13	1981	779	23	1169	10	198	82	11	85	20	229	82	17	108	22	659	519	19	42	79	922	132	75	192	522	3602	394	2594	356	212	3127	619	1961	350	197	6590	6127	144	215	104	1751	150	1601	1055	2439	379	379
Chi phí tài chính###Financial Expenses	3458	14092	34187	7593	11439	-4741	19895	39432	10762	8314	11416	8940	28446	9838	7167	3754	7687	28347	7625	5912	10936	6041	29350	7295	7288	8583	6183	41683	7288	8907	11012	10338	59795	12401	13971	16983	16440	91058	17742	21011	25876	26435	93561	26339	25057	20596	21569	50644	14145	12913	13813	9612	38574	11928	7410	8807	10430	26198	14201	11996	2539	8047	9620	9620
Chi phí bán hàng###Selling Expenses	419	341	1652	371	339	570	372	1759	484	320	599	355	1210	339	241	331	299	1102	275	265	271	290	1354	317	309	366	361	10651	9748	292	323	287	43867	15181	13087	12810	2789	20908	6076	5175	5159	4499	29500	5678	7201	8436	8185	26247	8667	5938	7435	4207	34301	16672	8294	5728	3607	34852	6554	28298	9859	39318	30675	30675
Chi phí quản lý doanh nghiệp###Managing Expenses	45450	31793	115873	55833	43828	49811	53384	104920	31423	24843	8367	39712	157529	43568	32517	45438	35924	157305	36891	39165	44535	37148	161980	54665	35516	35805	45709	152136	47160	39982	36975	29337	150176	47342	27900	34131	18009	128132	38365	27251	28869	32811	146825	47050	28168	36264	35343	139249	72166	23074	22142	21867	66001	15860	17196	17176	15768	110587	43932	66591	20443	59959	38787	38787
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	20864	10833	100122	58510	-3421	1005	11629	76461	38271	-8815	28562	18503	27181	28788	-3514	3376	-958	17723	5659	8842	-2330	-808	20008	4009	8348	573	3502	29124	-421	2556	-20221	-1459	27127	89693	5217	-62644	-7774	46691	50356	-32021	-14659	27968	110064	91043	-33332	12190	38062	82005	41492	3949	-2093	36198	45967	32694	9775	3372	126	64483	24453	36496	10589	55561	18571	18571
Thu nhập khác###Other incomes	2245	565	40136	26587	7163	2506	2041	3930	2851	475	382	223	3851	213	695	1890	1456	9520	606	2572	914	5428	12894	2614	4892	2397	2463	19408	6061	7762	4696	3223	43785	-23515	31320	10240	2871	34217	14741	2070	2182	2194	42359	-160939	76459	83733	41369	110025	46969	22178	24275	16586	59120	18595	11994	13283	15248	82888	24446	58380	17252	42568	38887	38887
Chi phí khác###Other Expenses	132	2029	13568	110	91	147	2589	1010	144	753	79	33	1106	640	1065	507	221	2893	398	201	703	907	7906	1675	1672	1557	1264	12286	8726	1861	3377	2643	35729	-481	18750	4397	508	39206	24076	1298	1059	1842	37458	-160525	75642	81634	38969	115106	50617	19996	19897	14602	47772	11152	11318	11963	13340	77643	22799	54048	15621	41586	31898	31898
Lợi nhuận khác###Other profits	2114	-1463	26567	26477	7073	2358	-548	2919	2706	-278	303	189	2745	-427	-370	1383	1235	6627	208	2371	211	4521	4988	939	3220	840	1199	7122	-2665	5901	1319	580	8056	-23034	12570	5843	2363	-4989	-9335	772	1124	351	4902	-414	817	2099	2400	-5082	-3648	2182	4377	1985	11347	7443	676	1320	1908	5245	1646	4332	1631	982	6989	6989
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	22978	9369	126690	84987	3652	3363	11082	79381	40977	-9093	28865	18693	29926	28361	-3885	4759	277	24350	5867	11213	-2119	3713	24996	4948	11568	1413	4702	36246	-3086	8457	-18902	-879	35183	66659	17787	-56801	-5411	41702	41021	-31249	-13535	28319	114966	90628	-32515	14289	40462	76923	37844	6131	2285	38183	57314	40137	10451	4691	2034	69728	26099	40828	12220	56543	25560	25560
Chi phí thuế TNDN###Corporate Income Tax Expenses	4600	2274	25905	17564	195	1208	2216	16080	7301	-1709	6724	3739	6174	6004	-777	1002	55	5267	1416	2073	-254	743	5925	1644	2076	520	940	7914	0	0	0	0	8983	8453	0	0	0	8938	0	0	0	5562	13193	4291	2347	3098	2733	7916	4571	1882	2048	1781	8478	0	1045	-1292	1965	0	0	0	0	0	7133	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	4600	2274	69757	17564	195	1208	2216	16080	7301	-1709	6724	3739	6174	6004	-777	1002	55	5267	1416	2073	-254	743	5925	1644	2076	520	940	7914	0	0	0	0	8983	8453	0	0	0	8938	5509	-3063	-2499	5562	13193	4291	2347	3098	2733	7916	4571	1882	2048	1781	8478	6712	1045	0	1965	0	0	0	0	0	7133	7133
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-43852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	18379	7095	100785	67422	3458	2155	8865	63301	33676	-7383	22140	14954	23752	22357	-3108	3758	222	19084	4450	9140	-1865	2971	19071	3304	9492	892	3761	28332	-3086	8457	-18902	-879	26200	58206	17787	-56801	-5411	32764	35512	-28186	-11037	22757	101773	86338	-34862	11191	37729	69007	33273	4249	237	36402	48836	33425	9406	4691	69	69728	26099	40828	12220	56543	18427	18427
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.41	0.45	0.03	0.03	0.55	0.47	0.16	0.23	0.23	0.29	0.28	0.70	-0.15	-0.15	-0.23	0.67	0.86	0.87	0.87	0.90	-0.08	0.15	0.09	0.09	0.13	0.57	0.50	0.58	0.58	0.77	0.84	0.99	0.51	0.51	0.68	0.68	0.95	1.27	1.27	1.33	1.44	1.27	0.98	0.98	0.66	0.59	0.63	0.78	0.78	1.22	1.17	1.15	1.08	1.08	0.98	1.03	0.47	0.52	0.52	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.00	5.08	4.82	4.82	4.39	4.74	4.40	3.96	3.96	4.18	3.22	3.43	3.82	3.82	2.90	2.64	2.96	3.34	3.34	3.15	3.43	2.89	2.73	2.73	2.70	2.89	3.15	3.03	3.03	2.91	2.73	3.35	2.45	2.45	2.07	2.86	2.97	2.97	2.97	3.12	2.87	3.62	1.64	1.64	2.48	2.50	2.17	2.15	2.15	2.69	3.42	2.94	2.51	2.51	2.50	2.09	1.92	1.97	1.97	0.00	0.00	0.00	0.00	0.00
