CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Vốn chủ sở hữu ###Owners equity	13012	12896	13964	13964	14096	13321	12980	13933	13936	14054	13302	12954	13356	13357	14090	13212	12884	13429	13580	14061	13320	12876	13404	13401	14272	13614	12979	13731	13727	14250	13457	13009	13664	13624	14471	13676	13390	13234	12271	13688	12901	12294	12133	12183	13321	12609	12012	11923	11940	13165	12579	11946	11914	11914	13114	12434	11792	11712	11712	12670	11908	11241	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18417	16875	19185	19177	22111	17659	17452	19160	19158	20370	16913	15858	17406	17112	18696	0	16363	19530	19573	17120	21435	15783	17714	17714	18597	22459	16875	17611	17611	17835	22188	16147	8590



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	7183	1520	57475	9874	24863	19612	3126	52669	10627	21188	16383	4494	53642	8609	27184	14238	3610	50830	10560	20086	16859	3326	48873	9175	16451	19682	3565	47166	9068	18866	15944	3287	47133	8417	17724	17377	3615	42342	8828	14256	16379	2879	39022	7625	13634	17763	2816	35505	8024	11616	13869	1996	31437	7757	10517	10243	2920	30588	6966	10685	12937	24113	22755
Các khoản giảm trừ doanh thu###Deduction revenues	26	0	462	36	94	163	169	255	139	64	36	16	575	342	205	27	1	586	103	99	374	10	692	515	147	5	25	516	439	26	9	43	217	54	126	-79	117	1188	771	151	76	189	696	358	190	147	83	613	143	231	140	99	409	121	93	89	105	512	200	148	165	327	424
Doanh thu thuần###Net Sales	7156	1520	57014	9838	24770	19450	2956	52414	10488	21124	16347	4478	53067	8268	26979	14211	3610	50244	10457	19987	16485	3316	48181	8660	16303	19677	3540	46650	8629	18841	15936	3244	46916	8363	17599	17457	3498	41154	8057	14104	16303	2689	38326	7267	13444	17616	2734	34892	7881	11385	13729	1897	31028	7635	10424	10154	2815	30076	6767	10537	12772	23787	22331
