CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	241	0	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
Doanh thu thuần###Net Sales	1770	7744	1741	2150	1960	1892	43621	2042	7662	5465	28451	21997	3671	13957	2922	1994	8528	2237	2337	-7609	11563	12938	2287	2267	2332	6051	7857	1892	2277	1872	1816	74520	39817	2321	9550	22782	177082	28281	51466	79433	17902	174571	23775	36967	53061	41845	142234	24879	42885	31311	43213	133291	88642	26074	10239	12667	173606	30514	53598	44181	35641	117337	70170	26987	58495
Giá vốn hàng bán###Cost of goods sold	1306	5373	1365	1486	1357	1165	41405	1398	6744	4405	27306	17784	2474	12423	1823	1201	5844	-10581	1582	-8311	10920	8660	1120	1335	1370	4835	4619	1380	1337	1050	855	66523	34752	1693	7669	22426	161550	26236	50111	69294	15802	149689	19590	28021	46768	36599	125506	27013	32109	27808	38652	112153	74054	23013	7764	11804	164885	29526	50469	42697	32661	109758	66338	24857	55432
Lợi nhuận gộp###Gross profit	464	2371	376	664	603	727	2216	644	918	1061	1145	4213	1197	1534	1100	793	2684	12818	755	703	643	4277	1167	932	962	1216	3238	512	941	822	961	7998	5066	629	1881	355	15533	2045	1355	10139	2099	24882	4185	8946	6293	5246	16728	-2134	10776	3504	4560	21138	14587	3061	2474	862	8721	988	3129	1484	2980	7578	3832	2130	3063
Doanh thu hoạt động tài chính###Financial activities Revenues	1	3	2	1	0	0	63	1	12	27	23	518	35	171	240	73	1067	130	408	350	180	30	3	25	1	2	59	3	1	1	55	950	12	35	-587	1557	2367	495	280	783	808	8886	1187	1360	4156	1402	14119	3808	3024	5527	1824	1635	354	123	129	201	1928	296	1137	446	49	327	104	8	10
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	47	0	0	47	0	513	33	170	263	73	1231	663	407	25	135	796	153	220	222	232	1264	301	288	345	330	890	0	0	454	403	365	159	1	306	-306	2338	585	686	22	1	15	10	33	-45	58	11	10	0	0	18	291	21	0	0	13	49	23	7	53
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	75	0	0	153	81	0	37	36	53	53	0	0	0	161	0	0	31	131	28	28	0	2809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	418	2283	608	521	567	587	3993	795	1347	930	935	3660	1081	1136	1030	598	2407	13679	397	573	499	2200	357	335	1097	460	5464	531	374	3651	594	4106	681	800	1001	821	5537	1865	1356	1908	1046	10035	2611	2365	0	1585	6030	1392	1724	1714	1200	4191	2702	803	401	351	3075	778	1780	462	183	1630	485	821	1212
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	47	91	-231	144	37	141	-1761	-151	-416	110	233	558	118	400	46	195	113	-1394	358	454	189	1237	660	326	-356	526	-3584	-398	279	-3210	56	3898	4343	-137	-161	689	11835	517	278	8678	2037	21368	2149	7255	7618	5061	24803	272	12042	7362	5127	18572	12228	2381	2202	694	7283	484	2486	1468	2833	6226	3428	1310	1809
Thu nhập khác###Other incomes	0	0	0	0	0	0	210	110	100	0	0	0	0	0	0	0	0	0	0	0	0	239	227	12	0	0	4360	562	103	3367	0	798	795	0	0	4	0	0	0	0	0	0	0	0	0	0	467	259	89	119	0	1723	48	456	495	724	2883	2030	365	381	267	390	248	0	1065
