CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2564279	2498184	2805816	0	2707245	2693799	2607936	2714579	2712127	2970848	2916256	0	2724649	2734901	2685827	2425436	2393232	2357331	2345236	2141020	1948248	1886074	1792351	1792056	1598148	1454533	1388028	1363252	1359828	1320675	1335898	1262582	1073543	1072193	812458	654175	607213	572573	572573	498959



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	3106713	3146660	18274374	5218763	4505665	4366059	4216981	14881843	5225791	3491845	3163226	2988353	13794725	3622713	3468769	3575565	3150716	13661872	4290947	3351941	3306606	2732923	9898431	3126342	2726995	2225164	1858563	7939698	2521948	2025628	1795843	1595775	6595628	2029433	1601032	1597538	1374547	5433311	1951707	1305198	1132244	1178461	6174259	1886210	1841121	1205353	1257598	4188214	1463061	1044148	936293	764194	3093442	1127022	831058	555922	581698	2120656	524497	495073	662949	528486	1750036	751127	412029	328460	348781	1171328	35648	1670439
Các khoản giảm trừ doanh thu###Deduction revenues	-313	927	8067	2025	9427	3995	2174	10188	804	1588	7033	3138	13418	231	8517	2959	966	12750	4479	1523	3835	1766	8489	430	5458	1080	1937	9456	3005	3306	599	2292	13263	1924	1854	5509	3473	19236	6576	6336	874	4138	18947	11392	1911	3656	1826	14665	6855	2053	2898	2859	14413	10020	4388	-1196	1715	3033	1320	1071	-442	1538	5334	384	3660	880	397	12728	0	14208
Doanh thu thuần###Net Sales	3107026	3145733	18266306	5216738	4496238	4362064	4214807	14871655	5224987	3490258	3156193	2985215	13781307	3622482	3460251	3572606	3149750	13649123	4286468	3350419	3302771	2731157	9889942	3125912	2721537	2224085	1856626	7930242	2518944	2022322	1795244	1593484	6582366	2027509	1599178	1592029	1371074	5414075	1945130	1298862	1131370	1145031	6155312	1874818	1839211	1201697	1255772	4173549	1456206	1042095	933396	761335	3079029	1117001	826670	557118	579982	2117623	523177	494002	663391	526949	1744702	750744	408369	327579	348385	1158600	35648	1656231
Giá vốn hàng bán###Cost of goods sold	2941048	2945064	17213839	4926901	4263052	4105861	3941278	13851911	4886755	3239782	2931462	2776327	13060917	3420386	3288579	3398590	2978980	12936368	4042848	3183847	3148459	2581763	9398256	2980558	2632378	2093032	1731821	7429963	2368319	1901597	1667332	1495204	6186678	1930848	1497271	1495697	1270154	5029510	1825918	1204377	1044314	1040256	5749106	1762364	1728608	1114455	1165200	3906776	1351963	980807	877532	710120	2822263	1037407	770509	487443	526417	1945127	473759	454858	615958	491302	1635311	710120	381541	305042	327178	1091814	32446	1577272
Lợi nhuận gộp###Gross profit	165978	200669	1052468	289837	233185	256203	273529	1019744	338231	250476	224731	208888	720390	202096	171673	174016	170771	712754	243620	166572	154312	149394	491686	145354	89159	131053	124805	500279	150625	120725	127912	98280	395687	96660	101906	96332	100919	384565	119212	94485	87056	104775	406206	112454	110603	87242	90572	266773	104243	61288	55864	51215	256766	79594	56161	69674	53566	172496	49418	39144	47434	35646	109390	40623	26828	22538	21207	66786	3202	78959
