CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	 2006
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2966	1978	989	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	2051	0
Doanh thu thuần###Net Sales	18594	18919	89234	23887	21297	21117	22933	112159	32142	22523	22891	34602	104251	24545	29263	25563	24880	87544	24695	28770	19867	17145	85183	16179	18240	29018	21745	112474	30204	18809	26109	37352	165762	40871	40049	44672	40171	182908	44448	46086	49027	43347	195311	51149	45770	58028	40364	95098	26634	27586	26746	14132	52098	24283	56325	56325	76249	56833
Giá vốn hàng bán###Cost of goods sold	13429	14627	61747	11797	18381	16163	15406	65097	15431	13646	17417	18603	51559	11112	15557	9934	14956	59748	10317	22071	16198	13497	55158	12710	12040	19379	11028	64852	21409	11893	14475	17075	63398	17276	18733	13228	14691	52972	14678	13236	12619	12440	45876	15678	9555	9200	10495	35521	9794	9286	8864	7577	29075	12973	32027	32027	35275	25110
Lợi nhuận gộp###Gross profit	5166	4292	27487	12091	2916	4954	7527	47062	16711	8876	5475	15999	52692	13433	13707	15629	9924	27796	14379	6699	3669	3648	30026	3469	6200	9639	10717	47622	8795	6916	11634	20277	102364	23594	21317	31444	25480	129936	29771	32850	36408	30907	149434	35470	36215	48828	29868	59577	16840	18300	17882	6555	23023	11310	24298	24298	40974	31724
Doanh thu hoạt động tài chính###Financial activities Revenues	649	860	3832	718	873	1022	1219	7831	1547	1426	3901	956	6782	1793	1450	1562	1977	6703	3881	974	1283	565	6191	2057	1921	1395	817	7509	997	1648	2273	2296	16533	3252	4971	5057	3252	25140	5385	7325	5652	6394	20163	5021	4827	4559	1998	7403	3577	917	1695	1167	6300	2316	5522	5522	1136	273
Chi phí tài chính###Financial Expenses	0	1	11065	10876	176	13	0	68	68	0	0	0	15680	338	1	15342	0	13112	12834	0	0	279	56	55	0	0	0	0	0	0	741	0	81	0	7	74	0	34	34	0	0	0	24	24	0	100	0	11	0	0	1	10	63	51	119	119	89	95
Chi phí bán hàng###Selling Expenses	311	315	1210	283	345	258	325	1237	331	325	200	382	1694	595	482	248	370	1392	398	392	271	332	1299	241	381	421	256	1594	590	567	242	195	975	285	362	184	144	834	271	189	181	192	773	169	224	210	103	502	184	110	151	57	916	270	526	526	383	489
Chi phí quản lý doanh nghiệp###Managing Expenses	2453	2594	11221	3134	2640	2598	2849	11965	3758	3013	2688	2506	12468	3838	3094	2963	2573	10837	3604	2328	2583	2322	11874	3560	3054	2466	2794	12327	3439	3221	2929	2739	10953	3153	2658	2789	2354	9760	3423	2512	2109	1716	6971	2024	1605	2113	1184	4880	1352	1375	1028	1120	3952	1312	4569	4569	2893	2228
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3050	2242	7822	-1484	629	3107	5571	41622	14101	6965	6489	14068	29632	10456	11580	-1361	8958	9158	1424	4954	2098	1281	22987	1670	4686	8148	8483	41210	5764	4775	9995	19639	106888	23409	23261	33454	26234	144448	31426	37474	39770	35393	161829	38275	39213	50964	30579	61588	18881	17733	18397	6536	24393	11993	24605	24605	38745	29184
Thu nhập khác###Other incomes	41	0	78	39	0	39	0	81	41	0	41	0	80	40	0	40	0	15951	15770	123	52	6	322	108	175	33	5	156	53	73	30	0	395	29	336	30	0	18876	18841	7	29	0	1610	33	1330	160	88	1699	1484	142	34	39	169	489	1082	1082	1995	329
Chi phí khác###Other Expenses	171	216	741	169	112	70	390	1640	1109	160	121	250	602	261	32	14	295	7618	6850	35	179	555	1129	343	-3393	2102	2078	9144	2200	2152	2286	2506	11893	5037	2139	4513	204	13614	8976	825	3025	513	2719	824	1499	298	75	1157	941	70	70	75	0	0	163	163	1	249
Lợi nhuận khác###Other profits	-130	-216	-663	-130	-112	-31	-390	-1558	-1068	-160	-80	-250	-522	-220	-32	25	-295	8333	8920	88	-127	-549	-807	-235	3568	-2068	-2072	-8988	-2147	-2079	-2256	-2506	-11499	-5008	-1803	-4484	-204	5263	9865	-818	-2997	-513	-1109	-791	-170	-138	13	542	543	72	-37	-36	169	489	919	919	1994	80
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2920	2026	7159	-1614	517	3076	5180	40064	13033	6805	6409	13818	29111	10236	11548	-1336	8663	17490	10344	5042	1971	732	22180	1436	8254	6079	6411	32221	3617	2696	7738	17133	95389	18401	21458	28970	26031	149711	41291	36656	36773	34880	160720	37483	123371	50826	30592	62130	19424	17805	18360	6500	24562	12482	25524	25524	40740	29264
Chi phí thuế TNDN###Corporate Income Tax Expenses	471	245	955	-224	111	408	601	4861	1868	792	781	1430	2345	1211	332	-297	1098	605	-31	386	172	101	1561	111	573	431	446	2141	-402	270	43	1444	8834	1677	2945	0	0	11427	0	0	0	2925	11270	2658	3376	3812	1922	4571	1551	1088	1422	377	1564	1203	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	471	245	955	-224	111	408	601	4861	1868	792	781	1430	2345	1211	332	-297	1098	605	-31	386	172	101	1561	111	573	431	446	2141	-402	270	43	1444	8834	1677	2945	2463	1916	11427	4737	1726	2405	2925	11270	2658	3376	3925	1922	4571	1551	1088	1422	377	1564	1203	1038	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2449	1781	6204	-1390	406	2669	4579	35203	11165	6013	5628	12388	26765	9024	11215	-1039	7565	16886	10375	4656	1799	632	20619	1325	7681	5648	5965	30080	4019	2426	7695	15690	86555	16724	18513	26507	24115	138284	36554	34930	34368	31955	149450	34825	35667	46901	28669	57559	17873	16717	16939	6123	22998	11279	24487	25524	40740	29264
---Cac Chi So Tai Chinh---																																																										
EBITDA	-0.02	-0.10	-0.42	-0.42	-0.07	-0.20	-0.17	-0.02	-0.02	-0.11	-0.13	-0.05	-0.21	-0.21	0.19	1.38	1.32	1.54	1.54	1.86	0.64	0.66	0.32	0.32	0.13	0.15	0.17	0.22	0.22	0.27	0.34	0.41	0.97	0.97	0.58	0.42	0.34	0.18	0.18	0.24	0.27	0.46	0.77	0.77	0.46	0.37	0.45	0.47	0.47	0.49	0.69	0.28	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	38.00	35.22	38.15	38.15	38.45	38.45	36.13	33.44	33.44	37.17	31.91	27.70	30.99	30.99	30.75	28.83	26.43	32.68	32.68	27.82	32.84	30.43	33.15	33.15	26.18	28.99	38.92	35.62	35.62	37.46	37.72	38.79	37.55	37.55	36.83	40.98	33.40	27.52	27.52	24.88	26.00	24.62	23.44	23.44	22.36	22.99	24.64	22.64	22.64	22.33	22.31	14.82	14.37	14.37	0.00	0.00	0.00	0.00
