CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007
Chi phí quản lý doanh nghiệp###Managing Expenses	13310	12143	43609	7335	16324	3631	14655	60210	28296	11284	14830	8973	68292	28274	16506	13500	14394	72529	17727	18700	60	16286	67691	23836	6315	20596	15965	61354	23291	12816	13443	12117	52376	15964	11311	11383	13453	53661	15936	13284	10599	12550	49418	14986	9665	12909	12529	32097	12238	8714	7972	6608	28924	10635	5978	5084	5519	17499	5123	4470	6903	12644
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3643	-11599	1444	12221	-11289	-2367	4543	14533	4405	3219	4327	2536	13482	9280	270	1232	2708	256	6130	-1567	4713	6307	27816	-1510	7984	13796	4860	-3120	1318	4607	13563	-21695	33538	14712	4275	8899	9232	29455	12684	18862	-10170	11989	183772	15515	16210	9819	153926	36854	12725	8758	4306	12291	27523	10779	2190	10169	6349	8384	-16107	6328	17584	16099
Thu nhập khác###Other incomes	411	0	150	3	47	98	1	548	15	245	-19	298	1020	285	4	300	431	444	89	0	-156	175	1054	-8	385	394	266	3503	84	2057	199	249	3498	1569	717	605	293	8708	3907	1098	3592	111	8950	2381	661	19592	35	779	178	225	-57	432	771	105	28	81	556	2811	2652	0	183	1669
Chi phí khác###Other Expenses	75	0	1387	1386	0	1664	1	5	-9	5	9	0	72	25	13	0	34	92	91	0	-284	284	346	245	49	36	0	111	23	88	5	18	300	0	0	48	252	1481	1329	146	7	0	5434	193	0	18960	0	321	0	0	22	299	22	-203779	0	0	226	2305	0	19	61	253
Lợi nhuận khác###Other profits	336	0	-1237	-1382	47	-1566	0	543	24	240	-28	298	947	259	-9	300	397	352	-3	0	128	-109	708	-253	337	358	266	3392	61	1970	195	232	3197	1568	717	557	40	7227	2579	952	3585	111	3517	2189	661	632	35	458	178	225	-79	133	749	309	28	81	330	506	2651	-19	122	1415
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3979	-11599	207	10839	-11242	-3933	4543	15077	4429	3460	4299	2835	14429	9539	261	1532	3105	608	6128	-1567	4841	6198	28524	-1762	8321	14154	5126	272	1379	6577	13758	-21463	36735	16280	4993	9456	9273	36681	15262	19814	-6585	12100	187289	17704	181422	10451	153961	37312	12904	8983	4226	12424	28272	11088	2218	10250	6679	8890	-13456	6309	17706	17514
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	2168	0	174	0	2964	806	834	760	567	1231	1368	0	0	0	0	545	454	-652	949	4162	0	1908	2976	1249	3679	-669	1147	1475	0	9005	3729	1756	2483	0	9293	0	0	0	2371	44696	5314	3661	2651	38493	1460	220	845	320	73	1665	58	751	2371	1314	1084	-2333	1073	2442	3707
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	2168	0	174	0	2964	806	834	760	567	1231	1368	0	0	0	0	545	454	-652	949	4162	0	1908	2976	1249	3679	-669	1147	1475	0	9005	3729	1756	2483	2107	9293	5475	6177	-1326	2371	44696	5394	3661	2652	38493	1460	220	845	320	73	1665	0	751	2371	1314	1084	-2333	1073	2442	3707
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3979	-11599	207	8671	-11242	-4108	4543	12113	3623	2626	3539	2268	13198	8171	261	1532	3105	608	5582	-2021	5494	5249	24631	-1762	6413	11178	3877	-3347	2048	5430	12283	-21463	27730	12551	3236	6972	7165	27388	12510	13638	-5259	9729	142593	12309	13210	7798	115468	35852	12684	8138	3907	12352	26607	11030	1467	7878	5365	7805	-11122	5235	15264	13807
---Cac Chi So Tai Chinh---																																																														
EBITDA	0.64	0.73	0.26	0.26	0.38	0.34	0.39	0.61	0.61	0.64	0.72	0.98	0.36	0.36	0.50	0.71	0.98	1.48	1.48	1.50	1.26	1.35	1.14	1.14	1.21	1.35	1.42	1.34	1.34	1.40	1.47	1.43	1.72	1.72	1.46	1.43	1.44	1.41	1.41	1.51	1.53	1.69	1.95	1.95	1.67	1.69	1.50	1.40	1.40	1.20	1.26	1.30	1.30	1.30	1.28	1.26	1.22	-5.55	-5.55	-5.55	-5.55	-5.55
Giá giao dịch cuối quý###Last Price of Quarter	7.10	6.00	8.00	8.00	6.20	7.70	7.51	7.98	7.98	7.88	6.57	9.57	7.32	7.32	6.66	6.57	6.57	6.47	6.47	7.13	7.32	6.95	7.04	7.04	7.82	8.95	7.30	8.17	8.17	10.95	9.64	12.00	10.70	10.70	6.97	6.89	6.32	5.98	5.98	6.42	8.12	8.12	6.44	6.44	8.99	8.25	9.56	8.20	8.20	10.81	13.13	12.56	13.81	13.81	16.84	9.42	4.20	49.78	49.78	49.78	49.78	49.78
