CAN DOI KE TOAN	 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
KET QUA KINH DOANH	 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	56426	56534	15727	12831	60669	14189	13289	18536	14655	99752	28189	24928	24271	22365	89550	26006	23734	15003	24725	95703	22029	21953	27463	24258	92357	26411	23436	21626	20884	100104	24183	25854	24884	25182	104465	30096	25018	23390	25960	109251	27792	26425	28646	26388	64989	23106	17408	14589	9886	68168	15025	17668	19882	15069	59871	14038	14207	16368	15258	60518	15794	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	1	4	11	7	0	1	3	4	2	0	1	1	135	2	9	81	42	151	46	0
Doanh thu thuần###Net Sales	56426	56534	15727	12831	60669	14189	13289	18536	14655	99752	28189	24928	24271	22365	89550	26006	23734	15003	24725	95703	22029	21953	27463	24258	92357	26411	23436	21626	20884	100104	24183	25854	24884	25182	104465	30096	25018	23390	25960	109245	27791	26425	28645	26384	64978	23099	17408	14588	9883	68164	15023	17668	19882	15067	59736	14036	14198	16287	15216	60368	15748	64856
Giá vốn hàng bán###Cost of goods sold	42900	41826	12255	9414	45734	10523	9709	14033	11469	89576	24254	21394	22721	21207	79976	23680	21111	12988	22197	85515	19059	18898	26236	21322	81144	23084	19892	19910	18316	83145	20755	21410	20150	20910	88719	26128	21054	19658	21805	93473	23911	22263	24546	22752	55172	19702	14429	12239	8802	56081	13806	13878	16118	12432	48481	11528	11448	13324	12181	49748	13279	0
Lợi nhuận gộp###Gross profit	13527	14708	3472	3418	14936	3666	3580	4504	3186	10177	3935	3534	1550	1158	9574	2327	2623	2015	2528	10188	2970	3056	1227	2935	11213	3326	3545	1716	2567	16958	3429	4444	4734	4272	15745	3968	3964	3732	4155	15771	3880	4162	4099	3632	9806	3397	2979	2349	1081	12084	1217	3790	3763	2635	11255	2508	2750	2963	3034	10620	2469	0
Doanh thu hoạt động tài chính###Financial activities Revenues	573	432	126	53	176	55	41	33	48	290	124	35	54	77	709	174	222	203	109	438	124	78	132	104	752	106	162	288	199	528	141	53	150	184	1997	625	192	100	2421	2455	1035	473	155	793	5614	5298	53	73	899	2335	776	638	425	116	622	89	253	145	135	506	125	0
Chi phí tài chính###Financial Expenses	16	20	1	3	47	6	2	9	30	580	11	2	530	37	512	9	22	667	21	113	59	20	26	9	98	18	41	26	15	369	9	17	21	322	1031	89	27	485	588	1025	345	106	165	410	2973	2419	10	28	515	629	61	157	68	38	169	93	27	4	45	100	39	0
Chi phí bán hàng###Selling Expenses	882	1964	723	566	2361	596	522	670	573	2374	653	764	593	364	2430	529	581	787	533	2389	636	572	653	528	2358	547	695	545	571	3795	760	856	1180	998	3257	1004	850	732	671	3427	907	1050	780	692	2044	742	521	471	311	3216	1120	976	701	643	2483	637	564	842	440	2610	813	0
Chi phí quản lý doanh nghiệp###Managing Expenses	11148	11150	2539	2542	12300	3751	2551	3902	2096	14458	4145	3426	4280	3033	12746	3333	2752	3175	2841	13279	2516	2310	2820	2501	10415	2431	2589	3282	2123	10184	2920	2605	2470	2189	9267	2424	2088	1630	3195	8827	2191	2203	2188	2207	7916	2959	2055	1726	1093	8274	2084	2458	2188	1538	7562	1874	2110	1832	1747	5858	1460	0
