CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	61077	26332	15160	3935	3935	1769	2497	1650	624	221	2	46507	5675	10011	13788	17032	161136	22105	25662	54146	59223	244480	69802	67517	57789	49610	97406	62442	22118	5808	7003	148361	11775	43245	45439	47903	246555	60981	52742	77738	56549	219940	53466	45958	78786	49557	200679	55332	49250	121941	38155	259483	50772	54200	77753	76759	190373	104870	26464	59060	26272	187882	187882	304727
Các khoản giảm trừ doanh thu###Deduction revenues	0	5	0	0	0	5	66	40	26	0	0	23	1	13	4	5	97	97	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	53	0	0	0	0	284	400	0	0	0	0	0	0	346	3590	588	0	0	888	0	0	866	22	0	0	0	0	0	220	220	922
Doanh thu thuần###Net Sales	61077	26327	15160	3935	3935	1764	2431	1610	598	221	2	46484	5674	9998	13784	17027	161039	22009	25662	54146	59223	244480	69802	67517	57789	49610	97406	62442	22118	5808	7003	148308	11775	43192	45439	47903	246555	60981	52458	77338	56549	219940	53466	45958	78786	49557	200333	51742	48662	121941	38155	258595	50772	54200	76887	76736	190373	104870	26464	59060	26272	187662	187662	303805
Giá vốn hàng bán###Cost of goods sold	50302	25543	12692	4343	4343	2252	6590	3234	1207	1272	878	44554	5811	10293	14276	13880	140249	17408	22918	43582	46871	211035	67683	64436	53929	44714	81547	47177	19509	6527	8298	140238	11958	37478	43141	47235	238605	60644	50829	74076	51461	200699	47105	43986	70071	47282	190272	49840	51991	115882	33784	245303	49294	51880	71941	72081	181226	100031	25952	55281	23335	171307	171637	283608
Lợi nhuận gộp###Gross profit	10775	784	2468	-408	-408	-488	-4159	-1623	-609	-1051	-875	1930	-137	-294	-492	3147	20790	4601	2743	10564	12352	33445	2119	3081	3860	4896	15859	15265	2609	-719	-1296	8070	-183	5713	2298	668	7950	337	1629	3262	5088	19242	6361	1972	8715	2275	10061	1902	-3329	6059	4371	13292	1478	2320	4945	4655	9146	4839	512	3779	2937	16355	16025	20197
Doanh thu hoạt động tài chính###Financial activities Revenues	12	5	0	0	0	4	4	2	1	1	0	431	31	1	219	64	54	3	37	4	9	276	15	5	27	102	140	6	6	8	9	1341	16	26	38	112	714	431	37	39	65	766	196	37	253	280	8007	30	10621	35	28	845	28	483	309	25	316	56	15	245	8	68	68	813
Chi phí tài chính###Financial Expenses	4020	4950	1176	1288	1288	1249	4842	1287	1285	2107	163	4109	901	947	985	847	4412	1171	872	1453	916	2508	-307	1212	580	940	8703	5009	1019	1317	1204	5675	1460	1403	1798	920	11561	2167	1856	3012	2190	9120	1255	2211	5282	372	5682	1080	3196	463	200	9655	8538	37	919	26	7606	4974	0	2632	673	5462	5462	3942
Chi phí bán hàng###Selling Expenses	222	1199	298	253	253	248	919	363	242	171	143	464	156	83	94	131	16031	79	283	6436	9233	20403	234	146	225	213	862	302	222	180	158	1161	251	208	314	388	1987	306	367	575	745	2717	496	613	947	661	2910	596	451	917	414	2224	484	376	651	713	1817	549	375	893	595	1946	1946	1120
Chi phí quản lý doanh nghiệp###Managing Expenses	4007	3525	1053	1032	1032	703	4423	1351	739	1154	1179	9433	1206	1205	1921	1655	21613	2590	2393	3001	3282	10711	2467	2519	2983	4046	8012	2703	2224	1574	1363	7725	1777	1837	2080	2039	11219	2383	1537	2681	2207	8036	1810	1834	2958	1192	8905	1840	2082	2147	1812	7236	1561	1736	2047	1930	6324	2164	1472	2691	1470	6407	6128	7541
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2537	-8884	-58	-2981	-2981	-2684	-14339	-4623	-2873	-4482	-2361	-11646	-2369	-2529	-3273	578	-21212	764	-768	-321	-1070	99	-261	-791	98	-200	-1577	7256	-850	-3782	-4012	-5150	-3655	2292	-1856	-2567	-16104	-4088	-2094	-2967	11	135	2996	-2649	-219	330	570	-1585	1562	2567	1972	-4978	-9076	655	1638	2011	-6285	-2792	-1320	-2191	207	2608	2557	8408
Thu nhập khác###Other incomes	1789	1585	1628	38	38	0	2323	4253	0	30	1634	917	94	0	636	52	1663	2	404	80	1185	758	5	4	-2	543	1769	1507	47	211	4	1065	177	0	828	0	428	321	13	7	86	444	120	185	335	160	4790	321	1704	447	210	11438	10927	26	68	68	10584	10157	70	344	80	89	12	0
Chi phí khác###Other Expenses	1715	407	357	95	95	17	2540	4995	102	597	439	183	77	28	18	3	45	3	16	3	32	469	136	85	248	0	115	0	2	110	3	743	1	412	270	0	1930	19	0	204	0	31	22	1	5	2	752	3	1459	154	849	488	-24	1	15	0	154	92	49	12	5	77	0	0
Lợi nhuận khác###Other profits	74	1178	1271	-57	-57	-17	-217	-741	-102	-568	1195	735	17	-28	619	49	1618	0	388	78	1153	289	-131	-81	-250	543	1654	1507	45	100	1	322	176	-412	559	0	-1501	302	13	-197	86	414	98	184	330	158	4038	318	245	293	-640	10950	10951	25	53	68	10430	10064	21	332	75	12	0	-2680
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2612	-7706	1213	-3037	-3037	-2701	-14556	-5364	-2976	-5050	-1166	-10911	-2352	-2557	-2655	627	-19594	763	-380	-244	83	388	-392	-872	-152	343	76	8763	-806	-3682	-4011	-4827	-3479	1879	-1298	-2567	-17605	-3786	-2081	-3164	97	549	3094	-2465	112	488	4609	-1266	1807	2860	1333	5972	1874	679	1690	2079	4145	7272	-1299	-1859	282	2620	2569	5728
Chi phí thuế TNDN###Corporate Income Tax Expenses	-4556	1	0	0	0	1	22	22	0	0	0	0	0	0	0	0	26	40	0	20	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	253	22	117	152	0	73	0	1267	-63	90	143	67	292	564	11	71	311	299	0	0	0	21	196	193	430
Chi phí thuế TNDN###Corporate Income Tax Expenses	108	1	0	0	0	1	22	22	0	0	0	0	0	0	0	0	26	40	0	20	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	275	22	117	152	0	73	0	1267	-63	90	0	67	292	69	11	71	312	299	0	0	0	21	196	193	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-4663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	495	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	7167	-7707	1213	-3037	-3037	-2702	-14577	-5386	-2976	-5050	-1166	-10911	-2352	-2557	-2655	627	-19620	724	-380	-264	83	378	-392	-872	-152	343	76	8763	-806	-3682	-4011	-4827	-3479	1879	-1298	-2567	-17880	-3786	-2081	-3440	74	432	2942	-2465	38	488	3342	-1203	1716	2717	1266	5680	1310	669	1620	1767	3846	7272	-1299	-1859	261	2423	2376	5298
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.50	7.50	7.50	7.50	7.50	7.50	7.20	7.20	6.50	6.50	7.70	8.00	8.00	9.70	9.70	8.10	9.90	9.90	8.00	6.00	4.60	3.80	3.80	3.70	3.50	4.50	2.00	2.00	3.40	2.80	1.70	1.70	1.70	1.70	2.70	3.00	2.30	2.30	3.80	4.90	6.14	11.46	11.46	16.04	20.56	16.31	16.52	16.52	18.58	8.63	6.08	6.43	6.43	9.43	5.74	8.29	19.22	19.22	11.39	10.64	22.61	10.68	10.68	0.00
