CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	48330	47560	235186	81562	112932	20200	19491	180631	16200	33001	56169	75319	182920	41939	45631	42758	52702	154083	56711	49741	22995	24635	126900	39432	27913	29875	29680	75325	47405	23601	4218	101	14538	824	750	8554	4895	48671	17000	15155	10017	6498	71581	13980	10012	23054	24535	111966	51502	14377	25969	20118	91759	34205	45919	7106	4458	58335	103634
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11	11	49	15	9	11	14	165	71	51	12	30	176	29	45	37	65	176	92	17	2	65	175	100	13	17	44	9058	420	8518	32	74	10014	10470
Doanh thu thuần###Net Sales	48330	47560	235186	81562	112932	20200	19491	180631	16200	33001	56169	75319	182920	41939	45631	42758	52702	154083	56711	49741	22995	24635	126900	39432	27913	29886	29669	75276	47390	23592	4207	87	14373	753	699	8542	4865	48495	16971	15111	9980	6433	71405	13887	9996	23052	24470	111791	51402	14364	25951	20074	82701	33786	37400	7073	4384	48321	93164
Giá vốn hàng bán###Cost of goods sold	56383	42445	210849	72425	93941	24756	18277	170167	21110	25643	54821	68373	155362	37107	38100	32079	44611	134034	47829	43475	22077	20653	94258	33710	20087	19226	21236	53602	31797	12621	4463	3440	28185	4208	4180	12294	8927	54736	20351	15513	10782	7716	52419	10518	7262	15775	18573	88875	40025	11944	20160	16746	70967	26023	36477	6275	3110	41412	50823
Lợi nhuận gộp###Gross profit	-8053	5115	24337	9136	18991	-4556	1214	10464	-4909	7358	1348	6945	27558	4831	7530	10679	8091	20049	8883	6266	918	3982	32642	5722	7826	10660	8433	21674	15593	10971	-256	-3353	-13812	-3455	-3481	-3752	-4061	-6241	-3379	-402	-802	-1284	18986	3369	2733	7277	5897	22916	11377	2420	5791	3328	11734	7763	923	798	1274	6909	42341
Doanh thu hoạt động tài chính###Financial activities Revenues	1	1	4373	482	2	1	4	92	7	1	2	83	18	8	3	5	3	27	14	5	5	4	555	64	1	13	476	16	9	4	1	2	109	1025	3	101	3	286	2	20	274	15	1181	6	196	615	356	311	148	97	29	38	2950	2403	2314	7	12	6066	1183
Chi phí tài chính###Financial Expenses	3705	3524	10334	3063	3106	3343	2421	3656	2191	945	-323	843	7389	1723	1136	3662	1343	4764	3135	1332	-841	1138	4635	-1022	620	4190	847	3889	2482	302	603	381	2178	1211	352	521	221	1810	731	358	668	169	2645	2645	0	0	0	1919	1401	127	271	120	820	120	149	67	68	381	3704
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	2	6	26	19	234	120	0	49	65	320	244	19	16	41	174	54	57	55	8	335	16	48	170	102	1077	182	124	372	399	3517	898	2106	338	176	3422	4121
Chi phí quản lý doanh nghiệp###Managing Expenses	2355	3117	13784	3247	3239	3150	3720	15627	4136	4318	3683	3606	16392	3743	4052	4480	3365	14731	6644	2664	3036	2387	9650	3327	2845	2284	1202	11309	3050	2525	2193	1798	7568	2473	2032	2567	1479	7856	1492	2399	1771	1996	7381	1805	2061	1746	1602	7179	3113	952	1901	1214	4465	2423	810	565	667	5864	6998
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-14112	-1524	4592	3308	12649	-11048	-4922	-8728	-11230	2096	-2011	2579	3795	-627	2344	2542	3386	581	-882	2273	-1272	461	18858	3479	4357	4174	6841	6258	9951	8148	-3100	-5595	-23770	-6358	-5882	-6754	-5800	-15915	-5653	-3196	-3022	-3442	9701	-1090	820	5976	4550	13052	6829	1315	3275	1633	5881	6725	173	-165	375	3307	28700
Thu nhập khác###Other incomes	1139	1195	14796	5127	11187	1158	1208	6331	1476	1177	289	3373	5475	1213	1986	1296	1208	5002	1567	1154	1902	379	5011	1530	1141	1184	1156	3243	1138	1328	597	179	5453	1007	2720	1499	6	264	97	60	144	0	2646	605	24	0	30	2910	2308	25	204	373	1855	254	16	406	40	2268	126
Chi phí khác###Other Expenses	131	360	2655	971	642	84	69	2401	833	1025	-541	1084	5036	409	737	2973	549	1685	287	259	512	627	2409	973	648	423	365	1601	419	998	61	123	3049	1310	2087	88	71	1325	52	85	36	442	3392	1281	276	53	34	3444	3051	161	231	0	109	53	4	28	6	4947	5129
Lợi nhuận khác###Other profits	1007	835	12141	4156	10546	1074	1138	3931	643	152	830	2289	440	804	1249	-1677	659	3317	1280	895	1390	-248	2602	557	493	761	791	1642	720	329	537	56	2404	-303	634	1411	-65	-1061	45	-25	108	-442	-746	-676	-252	-53	-5	-534	-743	-136	-27	372	1746	201	12	378	34	-2679	-5003
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-13105	-690	16733	7464	23194	-9973	-3784	-4797	-10586	2247	-1182	4868	4235	177	3593	865	4044	3897	398	3168	118	213	21460	4037	4849	4934	7632	7900	10670	8478	-2563	-5538	-20236	-6661	-5248	-5343	-5866	-16975	-5608	-3221	-2914	-3884	8955	9270	568	5922	4545	12518	6086	1179	3248	2006	7627	6927	185	213	409	628	23698
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	3959	10	5012	0	0	4199	0	1826	1669	974	1231	35	622	28	329	819	0	634	139	47	766	888	1067	0	0	0	2347	1865	0	0	0	0	0	0	0	0	0	0	0	0	960	0	67	596	457	1296	653	118	325	201	763	693	18	21	41	251	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	3959	10	5012	0	0	4199	0	1826	1669	974	1231	35	622	28	329	819	0	634	139	47	381	888	1067	0	0	0	2347	1865	0	0	0	0	0	0	0	0	0	0	0	0	1345	0	67	596	457	1296	653	118	325	201	763	0	18	21	41	251	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-13105	-690	12773	7454	18182	-9973	-3784	-8996	-10586	422	-2851	3894	3004	142	2971	837	3715	1703	398	2535	-21	166	20694	3149	3783	4934	7632	7900	8323	6613	-2563	-5538	-20236	-6661	-5248	-5343	-5866	-16975	-5608	-3221	-2914	-3884	7995	-1766	501	5326	4087	11222	5433	1061	2923	1805	6864	6234	166	192	368	377	23698
---Cac Chi So Tai Chinh---																																																											
EBITDA	-0.03	-0.48	0.14	0.14	-0.06	0.18	0.14	0.15	0.15	-0.09	-0.15	-0.19	-0.08	-0.08	0.63	0.34	-0.44	0.07	0.07	0.31	0.27	0.23	0.15	0.15	0.33	0.45	0.82	0.65	0.65	0.95	1.20	1.23	2.10	2.10	1.55	1.66	1.76	1.60	1.60	1.57	1.56	1.43	1.46	1.46	1.55	1.37	1.43	1.63	1.63	1.72	1.86	1.92	1.77	1.77	1.50	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.00	6.00	5.90	5.90	5.80	5.80	8.20	9.10	9.10	9.10	7.80	8.80	8.30	8.30	8.20	6.10	6.00	7.10	7.10	6.00	9.90	12.80	12.30	12.30	11.80	14.00	14.00	9.40	9.40	11.50	9.50	12.90	13.50	13.50	10.60	13.60	12.50	7.80	7.80	6.50	11.40	10.50	7.10	7.10	11.70	10.80	12.68	15.16	15.16	20.39	25.42	31.88	31.02	31.02	30.24	0.00	0.00	0.00	0.00
