CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Vốn chủ sở hữu ###Owners equity	121767	120098	119964	115695	117538	117118	119065	136698	136980	129662	134721	136661	140413	298917	408663	469196	454971	454932	451073	475378	479939	480447	486414	493047	489248	470356	345263	344797	339949	333278	338800	450481	353970	327769	341969	364322	477307	363432	363655	357379	381859	551486	381157	377973	367535	364320	352322	352322	343402	331184	332650	326191	326147	315841	303691	307985	300858	300858	42824	29303	29217	25478	25478	15737
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122489	122382	121081	121133	118926	118926	116289	108713	103132	101296	83912	99337	105296	111799	114627	115402	112675	109700	113511	170329	170329	167000	148866	138207	122438	122438	107774	93149	79565	81129	82627	94232	84207	0	23138	23138	0	0	0	2922	2922	2787
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1938282	1920642	1950239	1949774	1973183	1953728	2294694	2169851	2169851	2432097	2461736	2462570	2227281	2225260	2174757	0	1923081	2527346	2527346	1914082	1471223	1328682	1215446	1215446	965964	932276	822986	736996	742010	779866	827276	947798	773829	773829	467929	428506	367617	335096	335096	391522



KET QUA KINH DOANH	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	63511	72657	28278	0	28538	15841	204564	95468	91696	11551	5849	192657	107965	33987	65194	95864	866777	217260	216311	244237	189610	757026	265428	137092	163193	192240	742629	345358	176211	147779	93784	801941	102406	180327	257478	261729	1158386	322850	289272	251691	294573	1634854	407484	454526	374883	397962	858962	234431	225734	205150	193648	858195	241961	244750	203482	70505	307142	143975	72799	57061	38526	272444	93057	439241
Các khoản giảm trừ doanh thu###Deduction revenues	0	8522	970	0	1202	6350	15109	2445	12568	0	95	5410	4630	780	-90	90	25732	4960	7292	10889	2759	5218	1044	1556	1997	621	2274	974	1301	0	0	543	97	0	12	434	712	574	44	94	0	1109	0	0	0	1109	2420	1650	8	616	146	2832	487	659	1579	8	4610	1999	1461	954	194	1674	22	3
Doanh thu thuần###Net Sales	63511	64134	27308	0	27336	9490	189456	93023	79128	11551	5754	187248	103335	33207	65284	95774	841045	212299	209019	233347	186852	751808	264384	135536	161196	191619	740355	344384	174910	147779	93784	801398	102309	180327	257467	261296	1157674	322276	289228	251597	294573	1633746	407484	454526	374883	396853	856543	232780	225726	204535	193502	855363	241474	244092	201904	70498	302533	141976	71337	56107	38331	270770	93035	439238
Giá vốn hàng bán###Cost of goods sold	47055	40106	18291	0	7330	8934	167673	85954	65390	9162	8308	173377	96468	25224	48371	78362	712557	183434	183957	199593	147309	631565	232992	99340	133999	166160	626109	312699	144554	120304	69054	674890	81242	158128	225049	210470	952350	263894	233500	203657	252531	1438236	353864	391385	335941	357046	747585	197265	199151	178572	172596	778107	222265	221558	179156	59259	246710	122888	57437	41978	29626	228162	84844	397896
Lợi nhuận gộp###Gross profit	16456	24028	9017	0	20006	556	21782	7070	13738	2389	-2554	13871	6866	7984	16914	17412	128489	28865	25061	33754	39542	120243	31392	36196	27197	25459	114246	31685	30355	27475	24730	126508	21067	22198	32418	50826	205324	58383	55728	47940	42042	195510	53620	63141	38942	39807	108958	35516	26574	25962	20906	77256	19208	22534	22747	11238	55822	19088	13901	14129	8704	42608	8191	41342
Doanh thu hoạt động tài chính###Financial activities Revenues	4142	11	2	1	4	4	14	4	1	7	2	136	92	30	21	25	2653	90	50	508	898	4618	1166	1002	1108	1342	5251	1011	1559	1231	1450	1919	149	88	1417	265	16440	187	136	15114	1002	11670	931	8248	525	1965	9323	3167	3037	-1674	4793	9620	7410	2193	2048	1895	1113	471	218	445	87	1901	75	2934
Chi phí tài chính###Financial Expenses	12050	24510	10658	91	17865	1087	13557	3980	8225	2994	-2691	110850	115819	14129	44838	15577	83766	16722	23264	23134	19539	64354	20743	19993	11583	12035	55224	11777	12031	20451	12000	82843	11651	24082	23980	23129	87083	23000	17061	33164	13659	45353	16343	14140	5542	9327	10552	7008	2455	-3211	4300	17517	3823	5388	11113	5090	14891	2415	4141	4010	4324	17033	-3987	20695
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	51	45	33	650	250	261	92	47	440	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	7640	8699	2514	1433	1691	1636	10635	1847	2135	4460	2078	113823	12867	10705	18022	5462	51816	10971	12442	14415	12768	45249	13102	10267	9264	8424	45476	12613	11133	11198	10532	87490	21949	19063	23401	23077	115394	30220	29220	25940	27392	100996	36521	27812	19992	16672	48110	11859	13694	11943	10613	33620	10154	6876	7377	5472	24993	10154	5343	5778	3502	17486	6122	19331
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	908	-9170	-4153	-1523	455	-2162	-2395	1248	3379	-5058	-1940	-210666	-121727	-19441	-49789	-5732	-15518	-766	-12856	-6568	4627	9976	-4095	4464	7457	6342	18797	8306	8750	-2943	3648	-42034	-12385	-20910	-13591	4852	18636	5100	9322	3858	1947	60390	1247	29437	13933	15774	59619	19816	13461	15556	10786	35739	12642	12463	6306	2570	17051	6989	4635	4785	965	9989	6131	4251
Thu nhập khác###Other incomes	903	10968	8631	0	0	216	4600	4000	1250	50	0	1266	455	89	827	503	9267	12487	18631	20	0	4002	89	328	1901	1841	20893	10256	1013	9223	402	31873	10667	18372	278	2556	36469	2622	517	2598	30733	17965	13768	1611	561	2025	9844	3793	4655	1265	86	11182	668	3671	1658	5185	3163	831	5	1852	64	6470	1046	4933
Chi phí khác###Other Expenses	142	765	209	320	35	0	19800	1600	1240	52	0	1919	372	1002	6703	662	8206	9956	18878	1168	74	4361	282	672	1834	1729	20867	10694	254	9517	402	17709	1261	14399	357	1693	27245	1929	571	184	24561	7210	4149	572	529	1960	8744	3292	4347	1059	0	3194	566	1606	1022	0	2058	0	0	1649	0	5370	0	4711
Lợi nhuận khác###Other profits	761	10204	8422	-320	-35	216	-15200	2400	10	-2	0	-653	82	-913	-5876	-159	1061	2531	-247	-1148	-74	-359	-193	-344	66	111	26	-438	758	-294	0	14164	9406	3974	-78	863	9224	693	-54	2414	6172	10755	9619	1039	32	65	1101	500	308	206	86	7988	101	2065	636	5185	1105	831	5	204	0	1100	0	222
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1669	1033	4269	-1843	420	-1947	-17596	3648	3389	-5060	-1940	-211319	-121645	-20354	-55665	-5891	-14457	1765	-13103	-7715	4552	9617	-4287	4121	7523	6453	18823	7868	9508	-3237	3648	-27870	-2979	-16936	-13670	5714	27861	5793	9267	5181	9210	71145	10866	30475	13965	15839	60720	17347	14321	16889	12162	43986	12743	14528	6942	7756	18156	7820	4640	4989	1029	11090	7177	4473
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	9	0	0	106	0	139	9	15	-222	260	1094	12	319	449	315	1233	520	262	222	0	1118	0	0	0	265	436	295	186	19	18	5918	3167	1578	238	936	2884	1625	171	1064	24	578	250	0	13	0	201	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	9	0	0	106	0	139	9	15	-222	260	1094	12	319	449	315	1233	520	262	222	229	1118	379	251	224	265	-1749	295	186	19	18	9358	4711	1257	2454	936	2884	1625	171	1064	24	578	251	0	13	0	201	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2186	0	0	0	0	-3440	-1545	321	-2216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1669	1033	4269	-1843	420	-1947	-17596	3648	3389	-5060	-1940	-211328	-121645	-20354	-55771	-5891	-16009	1757	-13118	-7494	4292	13950	-4300	3802	7075	6138	17591	7348	9247	-3459	3419	-28988	-3358	-17187	-13894	5450	27424	5497	9081	5162	9192	65227	7700	28897	13727	14903	57836	15722	14151	15825	12138	43408	12492	14528	6928	7756	17955	7820	4640	4989	1029	11090	7177	4086
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.30	3.90	3.90	3.30	3.80	3.10	3.70	3.70	3.00	3.60	4.90	4.80	4.80	5.40	7.30	8.80	9.60	9.60	11.00	9.80	10.40	11.40	11.40	12.80	9.50	14.00	11.80	11.80	6.30	6.70	5.70	5.60	5.60	6.40	9.70	10.60	8.30	8.30	14.60	14.90	24.40	34.00	34.00	38.57	49.93	49.45	48.40	48.40	56.23	29.59	23.92	24.38	24.38	31.84	17.44	53.98	120.71	120.71	50.12	39.15	30.59	7.61	7.61	0.00
